rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.17103308711613,82.94193217358684,301366,一博科技,bottom_area,2025-03-27,54.96,2025-03-27,53.97,1.8343524180100095,2.74226422086345,28.51655629139073,False,0.0,5.0094,2,2,2,100.0,26.366966057256242,36.479591836734706,13.165647581989989,1.8343524180100095,历史2/2次成功; 当前距低点1.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,89.30426832356974,80.4984324543504,600203,福日电子,bottom_area,2025-03-27,9.53,2025-03-27,9.35,1.9251336898395692,3.636363636363635,29.962546816479403,False,-0.1048,5.7389,3,3,3,100.0,20.149125092390385,24.045801526717554,13.074866310160429,1.9251336898395692,历史3/3次成功; 当前距低点1.93%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
3,84.32885148002572,73.61568675054264,300895,铜牛信息,bottom_area,2025-03-27,48.08,2025-03-27,47.98,0.20842017507295002,6.711129637348908,27.303030303030308,False,-1.9376,8.1994,1,1,1,100.0,35.27357392316647,35.27357392316647,14.791579824927048,0.20842017507295002,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
4,83.98826897482483,73.5537677776078,603315,福鞍股份,bottom_area,2025-03-27,13.21,2025-03-27,13.16,0.3799392097264492,5.015197568389058,32.05988642230253,False,-5.3725,8.0383,2,2,2,100.0,30.59155470851666,41.68490153172865,14.62006079027355,0.3799392097264492,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-5.37%; 状态bottom_area; 底部未确认
5,77.53157960671625,67.66512195121953,300720,海川智能,bottom_area,2025-03-27,20.54,2025-03-27,20.5,0.19512195121950804,3.7560975609756078,30.508474576271187,False,-3.5681,3.5787,3,5,3,60.0,57.75229601757511,75.69193742478939,14.804878048780493,0.19512195121950804,历史3/5次成功; 当前距低点0.20%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
6,77.16253734629862,67.74794859575881,002633,申科股份,bottom_area,2025-03-27,11.69,2025-03-27,11.63,0.5159071367153801,6.96474634565777,31.708749266001174,False,-6.6294,10.3285,1,1,1,100.0,17.71084337349396,17.71084337349396,14.48409286328462,0.5159071367153801,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-6.63%; 状态bottom_area; 底部未确认
7,76.97418680103392,73.16706187635536,002757,南兴股份,bottom_area,2025-03-27,20.41,2025-03-25,19.48,4.7741273100616,12.217659137576998,29.369108049311087,True,-5.4217,10.8937,2,2,2,100.0,33.3444738886872,50.75376884422111,10.225872689938399,4.7741273100616,历史2/2次成功; 当前距低点4.77%; 最新日涨幅-5.42%; 状态bottom_area; 底部已确认
8,76.27894604468825,67.74477264929462,688023,安恒信息,bottom_area,2025-03-27,52.8,2025-03-27,52.21,1.1300517142309832,3.639149588201491,27.365052865887584,False,-0.7146,2.059,2,4,2,50.0,33.50156213839389,39.261744966442954,13.869948285769015,1.1300517142309832,历史2/4次成功; 当前距低点1.13%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
9,76.26345083520178,69.24676352702535,600126,杭钢股份,bottom_area,2025-03-27,10.16,2025-03-26,9.93,2.316213494461233,8.559919436052363,32.44897959183673,True,-3.3302,5.3138,2,3,2,66.66666666666666,37.69389047166824,55.84045584045584,12.683786505538766,2.316213494461233,历史2/3次成功; 当前距低点2.32%; 最新日涨幅-3.33%; 状态bottom_area; 底部已确认
10,75.58083802966519,70.21462522713509,300509,新美星,bottom_area,2025-03-27,7.89,2025-03-25,7.62,3.543307086614168,6.167979002624668,29.769585253456217,False,-1.2516,2.583,1,1,1,100.0,18.028846153846153,18.028846153846153,11.456692913385833,3.543307086614168,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
11,74.51109887283644,70.74539487926316,600696,退市岩石,confirmed_rebound,2025-03-27,10.22,2025-03-26,9.76,4.7131147540983696,18.64754098360656,29.58152958152958,True,-10.0352,7.4245,1,1,1,100.0,46.45858343337334,46.45858343337334,10.286885245901631,4.7131147540983696,历史1/1次成功; 当前距低点4.71%; 最新日涨幅-10.04%; 状态confirmed_rebound; 底部已确认
12,74.50497930577635,64.78693852676204,002123,梦网科技,bottom_area,2025-03-27,14.81,2025-03-27,14.81,0.0,2.2957461174881826,27.650219833903268,False,-2.0503,4.3294,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
13,73.92130792641827,64.50168410484042,002093,国脉科技,bottom_area,2025-03-27,10.85,2025-03-27,10.83,0.18467220683286772,7.109879963065555,31.801007556675064,False,-6.223,10.7856,2,3,2,66.66666666666666,35.086398224476845,52.409638554216855,14.815327793167132,0.18467220683286772,历史2/3次成功; 当前距低点0.18%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
14,73.09758951902974,63.56312132089543,002406,远东传动,bottom_area,2025-03-27,7.89,2025-03-27,7.89,0.0,7.351077313054512,27.481617647058833,False,-5.3957,21.3538,3,5,3,60.0,37.81248021986791,67.88321167883211,15.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-5.40%; 状态bottom_area; 底部未确认
15,72.13362665021381,65.52063907186958,002725,跃岭股份,bottom_area,2025-03-27,11.83,2025-03-24,11.56,2.3356401384083005,7.698961937716252,27.795128044971896,False,-1.2521,2.4441,2,3,2,66.66666666666666,16.877590971902357,18.562874251497018,12.664359861591699,2.3356401384083005,历史2/3次成功; 当前距低点2.34%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
16,71.7270659084941,63.26606694090553,603028,赛福天,bottom_area,2025-03-27,6.61,2025-03-27,6.56,0.7621951219512304,7.317073170731714,28.22757111597375,False,-9.2033,16.8929,2,3,2,66.66666666666666,35.522608345632634,43.67816091954023,14.237804878048768,0.7621951219512304,历史2/3次成功; 当前距低点0.76%; 最新日涨幅-9.20%; 状态bottom_area; 底部未确认
17,71.18103529242251,62.1083132955153,300713,英可瑞,bottom_area,2025-03-27,16.45,2025-03-27,16.42,0.182704019488414,4.5676004872107185,29.527896995708147,False,-4.1934,9.5306,3,5,3,60.0,19.972464838434856,23.73271889400922,14.817295980511586,0.182704019488414,历史3/5次成功; 当前距低点0.18%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
18,70.99925350012711,62.862530620643206,002173,创新医疗,bottom_area,2025-03-27,9.41,2025-03-27,9.32,0.9656652360515007,3.0042918454935554,29.872084273890138,False,-1.6719,7.9135,3,5,3,60.0,23.40993203677754,27.109266943291825,14.0343347639485,0.9656652360515007,历史3/5次成功; 当前距低点0.97%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
19,70.48890941173731,64.84475191848298,300753,爱朋医疗,bottom_area,2025-03-27,22.88,2025-03-27,22.21,3.0166591625393884,5.763169743358836,28.285437520180817,False,-2.1386,13.8197,2,3,2,66.66666666666666,21.59176420648454,28.044496487119456,11.983340837460611,3.0166591625393884,历史2/3次成功; 当前距低点3.02%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
20,68.71133550855265,65.1516390981497,688031,星环科技,bottom_area,2025-03-27,52.08,2025-03-27,49.77,4.641350210970454,7.253365481213581,28.16108545034642,False,2.439,5.3857,2,3,2,66.66666666666666,20.684144690836938,22.70402945387605,10.358649789029545,4.641350210970454,历史2/3次成功; 当前距低点4.64%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
21,67.33885947449545,59.680290001518344,002599,盛通股份,bottom_area,2025-03-27,9.92,2025-03-25,9.82,1.0183299389002,4.582484725050909,27.313101406365654,False,-1.7822,4.2924,1,2,1,50.0,22.107969151670947,22.107969151670947,13.981670061099798,1.0183299389002,历史1/2次成功; 当前距低点1.02%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
22,65.51617205715726,58.887649339244774,000409,云鼎科技,bottom_area,2025-03-27,12.06,2025-03-26,11.85,1.7721518987341847,3.966244725738402,29.464285714285722,False,-0.7407,11.7801,1,3,1,33.33333333333333,46.53130287648054,46.53130287648054,13.227848101265815,1.7721518987341847,历史1/3次成功; 当前距低点1.77%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
23,65.50456774883502,62.15381726499586,000736,中交地产,bottom_area,2025-03-27,5.37,2025-03-25,5.13,4.678362573099419,7.992202729044837,29.822161422708614,True,-1.6484,2.522,2,3,2,66.66666666666666,18.300092822558383,19.029126213592225,10.32163742690058,4.678362573099419,历史2/3次成功; 当前距低点4.68%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
