rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.66328195970169,80.42599154961346,688181,八亿时空,bottom_area,2023-05-05,34.47,2023-05-05,34.11,1.0554089709762517,2.931691586045148,27.084224027362126,False,-1.3169,0.9446,2,2,2,100.0,25.76518281418983,28.477257745550418,18.944591029023748,1.0554089709762517,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
2,92.55464411050387,79.42253183902191,000935,四川双马,bottom_area,2023-05-05,18.41,2023-05-05,18.12,1.600441501103748,3.532008830022078,32.68945022288261,False,-0.5402,0.587,1,1,1,100.0,43.71794871794874,43.71794871794874,18.399558498896255,1.600441501103748,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
3,91.21033221398729,78.12305174990125,300582,英飞特,bottom_area,2023-05-05,12.87,2023-04-27,12.68,1.49842271293375,4.337539432176662,32.40938166311301,False,-1.6055,2.1414,1,1,1,100.0,35.48094373865699,35.48094373865699,18.50157728706625,1.49842271293375,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
4,91.12317752833908,77.34141446600475,688289,圣湘生物,bottom_area,2023-05-05,18.16,2023-04-26,17.98,1.0011123470522787,12.45828698553948,27.058823529411757,False,-1.8378,1.2421,1,1,1,100.0,25.182530200451346,25.182530200451346,18.998887652947722,1.0011123470522787,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
5,89.63276140387224,77.02845128915105,300661,圣邦股份,bottom_area,2023-05-05,121.59,2023-04-25,119.58,1.6808830908178667,6.790433182806494,30.20079383609619,False,-2.2667,0.7883,1,1,1,100.0,31.832606108687024,31.832606108687024,18.319116909182135,1.6808830908178667,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
6,89.32505720058259,76.12528657890145,300353,东土科技,bottom_area,2023-05-05,10.75,2023-05-04,10.62,1.2241054613936044,6.30885122410546,31.48387096774194,False,-0.463,2.7193,1,1,1,100.0,21.377672209026137,21.377672209026137,18.775894538606398,1.2241054613936044,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
7,88.68624295168125,75.47391909202501,300390,天华新能,bottom_area,2023-05-05,34.4,2023-05-05,34.01,1.146721552484565,6.292266980299914,31.223458038422656,False,-4.205,2.3058,1,1,1,100.0,27.142173288654863,27.142173288654863,18.853278447515436,1.146721552484565,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
8,88.32549186913852,75.7895399996556,688182,灿勤科技,bottom_area,2023-05-05,17.17,2023-05-05,16.9,1.5976331360946932,4.023668639053253,27.746900384779828,False,-1.6046,4.2638,1,1,1,100.0,24.15130940834142,24.15130940834142,18.40236686390531,1.5976331360946932,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
9,88.12758975468255,73.99417910447762,605133,嵘泰股份,bottom_area,2023-05-05,26.91,2023-05-05,26.8,0.41044776119402776,4.477611940298504,30.099113197704753,False,-3.3752,4.6853,1,1,1,100.0,60.01483679525222,60.01483679525222,19.589552238805975,0.41044776119402776,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
10,87.43327552626404,75.52375959079285,000629,钒钛股份,bottom_area,2023-05-05,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-1.4218,0.6015,1,1,1,100.0,27.173913043478265,27.173913043478265,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
11,86.71573187260486,78.07831794944727,300409,道氏技术,bottom_area,2023-05-05,12.8,2023-04-26,12.28,4.234527687296428,8.55048859934854,28.811594202898554,True,-1.6897,0.9386,2,2,2,100.0,42.9195756800168,50.03460207612457,15.765472312703574,4.234527687296428,历史2/2次成功; 当前距低点4.23%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
