rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.58896491157199,84.80223845063621,688075,安旭生物,bottom_area,2023-06-19,66.4,2023-05-10,64.65,2.7068832173240525,7.764887857695276,30.37906525953047,True,-1.0432,1.2935,5,5,5,100.0,27.010388097500325,40.134529147982065,7.293116782675948,2.7068832173240525,历史5/5次成功; 当前距低点2.71%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
2,86.00157971923824,80.84792700198051,601666,平煤股份,bottom_area,2023-06-19,7.53,2023-06-15,7.4,1.756756756756755,3.2432432432432337,27.236971484759092,False,-0.3968,0.8664,3,3,3,100.0,19.964152727881192,27.30923694779115,8.243243243243246,1.756756756756755,历史3/3次成功; 当前距低点1.76%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
3,82.01426153093827,79.0373087785725,688302,海创药业,bottom_area,2023-06-19,55.25,2023-06-19,53.61,3.05913075918672,5.390785301249768,28.367183324425444,False,0.5094,1.7281,1,1,1,100.0,37.054445750097926,37.054445750097926,6.94086924081328,3.05913075918672,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
4,79.74230861483002,76.86167829012143,688176,亚虹医药,bottom_area,2023-06-19,11.42,2023-06-15,11.08,3.0685920577617316,3.4296028880866496,31.520395550061803,False,2.1467,2.087,1,1,1,100.0,25.473484848484844,25.473484848484844,6.931407942238269,3.0685920577617316,历史1/1次成功; 当前距低点3.07%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
5,79.05902415557352,73.8613720484597,002378,章源钨业,bottom_area,2023-06-19,5.67,2023-06-15,5.59,1.4311270125223625,2.683363148479434,28.149100257069414,False,-0.8741,0.5306,1,1,1,100.0,11.743772241992884,11.743772241992884,8.568872987477638,1.4311270125223625,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
6,78.9932265272223,75.77424542459839,600955,维远股份,bottom_area,2023-06-19,18.62,2023-06-12,18.11,2.8161236885698595,4.638321369409166,28.924646781789644,False,-1.1677,0.4086,2,2,2,100.0,22.33874964805201,25.969084423305596,7.183876311430142,2.8161236885698595,历史2/2次成功; 当前距低点2.82%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
7,78.64478130387057,75.07855017075948,601388,怡球资源,bottom_area,2023-06-19,2.8,2023-05-30,2.73,2.564102564102558,4.3956043956043995,27.777777777777775,False,-1.7544,0.5242,2,2,2,100.0,15.509161381254394,18.333333333333325,7.435897435897443,2.564102564102558,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
8,77.52442784462188,71.60180906971918,605080,浙江自然,bottom_area,2023-06-19,29.16,2023-06-19,28.92,0.8298755186721938,2.6970954356846386,31.760264275601703,False,-0.715,0.424,2,2,2,100.0,15.397447592966563,20.335021425788852,9.170124481327807,0.8298755186721938,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
9,76.87480709346141,70.978973042362,600935,华塑股份,bottom_area,2023-06-19,3.72,2023-05-31,3.69,0.8130081300813075,3.2520325203252063,27.788649706457928,False,-1.3263,0.1853,1,1,1,100.0,28.50877192982458,28.50877192982458,9.186991869918693,0.8130081300813075,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
10,76.76574785196168,73.20445027120056,002041,登海种业,bottom_area,2023-06-19,15.54,2023-06-07,15.16,2.506596306068595,4.221635883905018,28.49056603773585,False,-0.6394,0.4676,1,1,1,100.0,21.395106715252467,21.395106715252467,7.4934036939314055,2.506596306068595,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
11,76.30442414974985,73.79421122686868,600283,钱江水利,bottom_area,2023-06-19,14.64,2023-06-15,14.18,3.2440056417489482,4.79548660084626,27.095115681233935,False,0.4804,3.8548,1,1,1,100.0,11.131957473420883,11.131957473420883,6.755994358251052,3.2440056417489482,历史1/1次成功; 当前距低点3.24%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
12,76.14627636414077,70.32631016784575,688289,圣湘生物,bottom_area,2023-06-19,17.05,2023-06-12,16.91,0.8279124778237763,2.956830277942046,31.399594320486813,False,-1.6157,0.7457,1,1,1,100.0,25.182530200451346,25.182530200451346,9.172087522176223,0.8279124778237763,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
13,76.11263561464757,72.97386815141832,600256,广汇能源,bottom_area,2023-06-19,7.37,2023-06-01,7.17,2.7894002789400303,5.718270571827059,29.49852507374631,False,-0.8075,0.8439,1,1,1,100.0,23.62204724409449,23.62204724409449,7.210599721059971,2.7894002789400303,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
14,75.80992609925343,72.10283924843421,002084,海鸥住工,bottom_area,2023-06-19,3.89,2023-06-01,3.8,2.368421052631587,5.526315789473683,27.06333973128599,False,-1.7677,0.8829,1,1,1,100.0,13.778705636743219,13.778705636743219,7.631578947368413,2.368421052631587,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
15,75.65493367174292,72.00402534442023,002768,国恩股份,bottom_area,2023-06-19,23.43,2023-06-12,22.88,2.4038461538461573,5.244755244755242,27.48019017432647,False,-2.0075,1.0751,1,1,1,100.0,13.681691264459511,13.681691264459511,7.596153846153843,2.4038461538461573,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
16,75.44600570110266,74.03505917716944,601598,中国外运,bottom_area,2023-06-19,4.67,2023-05-25,4.49,4.008908685968813,9.799554565701547,27.110389610389607,True,-2.7083,0.7821,2,2,2,100.0,18.41597301708783,18.82640586797067,5.991091314031188,4.008908685968813,历史2/2次成功; 当前距低点4.01%; 最新日涨幅-2.71%; 状态bottom_area; 底部已确认
17,75.2593555792943,72.94285429804184,000723,美锦能源,bottom_area,2023-06-19,6.77,2023-06-14,6.55,3.3587786259541943,4.8854961832061115,30.907172995780595,False,-1.1679,0.5459,1,1,1,100.0,30.434782608695667,30.434782608695667,6.641221374045806,3.3587786259541943,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
18,74.57951691432629,68.30954064199155,001219,青岛食品,bottom_area,2023-06-19,17.9,2023-06-19,17.83,0.39259674705552605,1.8508132361189114,27.490849938999602,False,-1.486,2.5648,3,4,3,75.0,13.170221641280364,16.264559068219636,9.607403252944474,0.39259674705552605,历史3/4次成功; 当前距低点0.39%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
19,73.8102625852849,71.09203761755487,601669,中国电建,bottom_area,2023-06-19,5.78,2023-06-07,5.61,3.030303030303029,4.812834224598923,29.78723404255319,False,-1.3652,0.9938,1,1,1,100.0,16.457680250783696,16.457680250783696,6.9696969696969715,3.030303030303029,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
20,72.9164593535497,70.78201284642898,002481,双塔食品,bottom_area,2023-06-19,4.51,2023-06-12,4.36,3.440366972477052,6.880733944954123,29.677419354838708,False,-2.1692,0.7155,1,1,1,100.0,19.817470664928287,19.817470664928287,6.559633027522949,3.440366972477052,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
21,72.81319655500926,71.19143647740732,600995,南网储能,bottom_area,2023-06-19,11.15,2023-06-07,10.74,3.817504655493484,4.934823091247666,32.7909887359199,False,-0.9769,0.9799,1,1,1,100.0,26.64165103189493,26.64165103189493,6.182495344506517,3.817504655493484,历史1/1次成功; 当前距低点3.82%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
22,72.52954342592041,71.10847971772024,300601,康泰生物,bottom_area,2023-06-19,25.72,2023-06-14,24.74,3.9611964430072777,5.578011317704134,28.03955788248983,False,-0.3101,0.8197,2,2,2,100.0,11.290363482671175,11.580726965342352,6.038803556992723,3.9611964430072777,历史2/2次成功; 当前距低点3.96%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
23,70.49136764685012,68.72022775622575,000703,恒逸石化,bottom_area,2023-06-19,6.79,2023-06-12,6.55,3.6641221374045836,5.954198473282451,27.222222222222225,False,-0.8759,0.1764,1,1,1,100.0,11.475409836065575,11.475409836065575,6.335877862595416,3.6641221374045836,历史1/1次成功; 当前距低点3.66%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
24,68.42221022844765,65.2509240591398,000545,金浦钛业,bottom_area,2023-06-19,2.86,2023-06-12,2.79,2.508960573476697,4.3010752688172085,28.277634961439592,False,-1.0381,0.517,2,3,2,66.66666666666666,17.55208333333334,24.6875,7.491039426523304,2.508960573476697,历史2/3次成功; 当前距低点2.51%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
25,61.87221164650303,61.80292585518556,600984,建设机械,bottom_area,2023-06-19,4.46,2023-06-12,4.25,4.941176470588235,7.9999999999999964,32.0,True,-1.3274,0.5927,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,5.058823529411765,4.941176470588235,历史2/3次成功; 当前距低点4.94%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
26,55.988739585980966,54.98894066480273,000792,盐湖股份,bottom_area,2023-06-19,19.25,2023-05-30,18.5,4.054054054054054,7.5675675675675595,29.49695121951219,True,-1.7356,0.3588,1,2,1,50.0,24.904214559386965,24.904214559386965,5.9459459459459465,4.054054054054054,历史1/2次成功; 当前距低点4.05%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
27,52.146729654849096,51.07224640461766,688161,威高骨科,bottom_area,2023-06-19,44.68,2023-06-08,43.0,3.9069767441860455,8.767441860465123,28.571428571428577,True,-3.3946,1.2995,1,2,1,50.0,12.258889147106666,12.258889147106666,6.0930232558139545,3.9069767441860455,历史1/2次成功; 当前距低点3.91%; 最新日涨幅-3.39%; 状态bottom_area; 底部已确认
