rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.1018832159152,83.98340114968774,300668,杰恩股份,bottom_area,2026-02-04,24.9,33.3,2026-01-30,24.0,3.7499999999999942,8.333333333333332,27.92792792792792,25.225225225225223,True,1.9239,5.3129,3,3,3,100.0,29.588178224127592,36.04488078541374,16.250000000000007,3.7499999999999942,历史3/3次成功; 当前距低点3.75%; 最新日涨幅1.92%; 状态bottom_area; 底部已确认
2,87.03379727850881,78.76230235248745,300878,维康药业,bottom_area,2026-02-04,27.1,35.66,2026-01-30,25.93,4.512148091014276,10.64404165059777,27.28547392035894,24.004486819966335,True,-2.518,1.8406,2,2,2,100.0,52.183757400460976,82.807881773399,15.487851908985725,4.512148091014276,历史2/2次成功; 当前距低点4.51%; 最新日涨幅-2.52%; 状态bottom_area; 底部已确认
3,85.52452421560979,76.20319929843444,600435,北方导航,bottom_area,2026-02-04,16.71,22.55,2026-01-30,16.12,3.6600496277915626,4.83870967741934,28.514412416851435,25.8980044345898,False,0.24,2.2633,1,1,1,100.0,29.183400267737625,29.183400267737625,16.33995037220844,3.6600496277915626,历史1/1次成功; 当前距低点3.66%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
4,85.42585883544162,75.74499170831642,600531,豫光金铅,bottom_area,2026-02-04,17.98,24.79,2026-02-04,17.39,3.3927544565842425,6.670500287521565,29.850746268656714,27.470754336425973,False,-0.4981,17.4874,1,1,1,100.0,45.91651542649727,45.91651542649727,16.607245543415758,3.3927544565842425,历史1/1次成功; 当前距低点3.39%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
5,83.26932674318289,70.5546759879357,301023,奕帆传动,bottom_area,2026-02-04,46.69,65.18,2026-02-04,46.27,0.9077155824508203,3.090555435487356,29.01196686100031,28.367597422522255,False,-2.8506,8.1721,1,1,1,100.0,27.388535031847127,27.388535031847127,19.09228441754918,0.9077155824508203,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
6,78.94845917728745,70.46753299492383,600271,航天信息,bottom_area,2026-02-04,10.22,13.99,2026-02-02,9.85,3.7563451776649845,5.1776649746192875,29.592566118656187,26.947819871336666,False,-0.0978,1.7671,1,1,1,100.0,21.999999999999996,21.999999999999996,16.243654822335017,3.7563451776649845,历史1/1次成功; 当前距低点3.76%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
7,77.95265831423482,70.24384644767001,000751,锌业股份,bottom_area,2026-02-04,5.85,7.82,2026-02-03,5.61,4.278074866310148,13.19073083778965,28.26086956521739,25.1918158567775,True,-6.5495,14.3017,1,1,1,100.0,28.21428571428572,28.21428571428572,15.721925133689851,4.278074866310148,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-6.55%; 状态bottom_area; 底部已确认
8,75.43928832255608,64.32807531380752,300652,雷迪克,bottom_area,2026-02-04,50.82,74.21,2026-02-04,50.19,1.2552301255230178,2.5104602510460357,32.36760544401024,31.518663252930867,False,-0.5479,2.2017,1,2,1,50.0,54.41115272575945,54.41115272575945,18.744769874476983,1.2552301255230178,历史1/2次成功; 当前距低点1.26%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
9,73.79055412950856,65.43043633084997,300753,爱朋医疗,bottom_area,2026-02-04,33.2,44.12,2026-01-30,32.11,3.3945811273746602,5.200872002491441,27.221214868540343,24.750679963735255,False,0.7893,10.8842,2,4,2,50.0,26.344523125076314,28.044496487119456,16.60541887262534,3.3945811273746602,历史2/4次成功; 当前距低点3.39%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
10,73.64104036100186,66.27064356349504,603132,金徽股份,bottom_area,2026-02-04,16.85,23.87,2026-02-03,16.17,4.2053184910327746,8.039579468150878,32.258064516129025,29.409300377042307,True,-1.2888,2.0145,2,3,2,66.66666666666666,34.634962668726324,36.062378167641334,15.794681508967226,4.2053184910327746,历史2/3次成功; 当前距低点4.21%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
11,70.16157182885878,61.97654582448501,000506,招金黄金,bottom_area,2026-02-04,21.05,28.52,2026-02-04,20.4,3.1862745098039325,10.637254901960794,28.471248246844322,26.19214586255259,False,-5.7744,11.7582,3,6,3,50.0,37.90995541310738,67.59259259259258,16.81372549019607,3.1862745098039325,历史3/6次成功; 当前距低点3.19%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
12,66.26770891994676,55.701175134978065,688256,寒武纪,bottom_area,2026-02-04,1068.0,1550.0,2026-02-03,1063.0,0.4703668861712135,18.32361241768579,31.41935483870968,31.096774193548388,False,-5.3191,2.8051,2,5,2,40.0,32.385008792733494,41.47104851330204,19.529633113828787,0.4703668861712135,历史2/5次成功; 当前距低点0.47%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
13,66.1696912307687,56.212486254775875,300687,赛意信息,bottom_area,2026-02-04,22.13,30.44,2026-02-04,21.9,1.0502283105022852,3.5159817351598317,28.05519053876479,27.29960578186597,False,-2.7253,3.306,1,3,1,33.33333333333333,23.299319727891156,23.299319727891156,18.949771689497716,1.0502283105022852,历史1/3次成功; 当前距低点1.05%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
14,65.19869899895293,58.56293397577809,300723,一品红,bottom_area,2026-02-04,34.26,45.88,2026-02-02,32.91,4.102096627165,4.497113339410526,28.269398430688764,25.326939843068885,False,1.301,1.5586,1,2,1,50.0,31.428571428571427,31.428571428571427,15.897903372835001,4.102096627165,历史1/2次成功; 当前距低点4.10%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
15,63.254239024437666,57.23901004799321,605365,立达信,bottom_area,2026-02-04,20.63,27.37,2026-01-30,19.74,4.508611955420469,7.294832826747727,27.87723785166241,24.625502374862997,True,0.7324,0.8849,1,3,1,33.33333333333333,39.54468802698146,39.54468802698146,15.491388044579532,4.508611955420469,历史1/3次成功; 当前距低点4.51%; 最新日涨幅0.73%; 状态bottom_area; 底部已确认
16,63.20398932014721,56.440174759833184,601069,西部黄金,bottom_area,2026-02-04,37.6,50.5,2026-02-03,36.23,3.7813966326249093,10.26773392216397,28.257425742574267,25.54455445544554,True,-5.2658,6.6247,1,2,1,50.0,39.579349904397695,39.579349904397695,16.218603367375092,3.7813966326249093,历史1/2次成功; 当前距低点3.78%; 最新日涨幅-5.27%; 状态bottom_area; 底部已确认
17,61.03329175164272,52.61744785157318,300639,凯普生物,bottom_area,2026-02-04,7.14,10.07,2026-02-04,7.01,1.8544935805991425,2.853067047075609,30.387288977159887,29.09632571996028,False,-2.3256,8.1469,1,6,1,16.666666666666664,33.27433628318583,33.27433628318583,18.14550641940086,1.8544935805991425,历史1/6次成功; 当前距低点1.85%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
