rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.06193119961979,81.16883803835916,688248,南网科技,bottom_area,2023-09-07,30.02,2023-08-25,29.1,3.1615120274914026,9.175257731958757,32.29409027454629,True,-2.215,2.0684,3,3,3,100.0,29.715513231395445,49.406593406593416,6.838487972508597,3.1615120274914026,历史3/3次成功; 当前距低点3.16%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
2,83.12457255953736,77.36574291345468,300614,百川畅银,bottom_area,2023-09-07,22.18,2023-09-01,21.91,1.2323140118667257,4.472843450479235,29.775641025641026,False,-2.9322,1.7381,2,2,2,100.0,11.480746561886047,11.8614931237721,8.767685988133275,1.2323140118667257,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
3,82.45771537615848,75.06955838649992,300561,汇金科技,bottom_area,2023-09-07,13.27,2023-09-07,13.26,0.07541478129713264,2.2624434389140324,28.20790471034109,False,-0.6737,6.4944,2,2,2,100.0,24.79303273041607,27.62128325508607,9.924585218702868,0.07541478129713264,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
4,80.85910754676831,76.72762029985314,601777,千里科技,bottom_area,2023-09-07,3.64,2023-08-25,3.56,2.247191011235957,8.146067415730338,27.93522267206478,True,-2.4129,0.671,1,1,1,100.0,27.96352583586626,27.96352583586626,7.752808988764043,2.247191011235957,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-2.41%; 状态bottom_area; 底部已确认
5,79.6650297931426,78.7502541140401,000411,英特集团,bottom_area,2023-09-07,11.88,2023-08-24,11.38,4.393673110720562,9.490333919156415,27.974683544303797,True,-2.3026,2.3946,3,3,3,100.0,31.816283905822544,47.98426745329401,5.606326889279439,4.393673110720562,历史3/3次成功; 当前距低点4.39%; 最新日涨幅-2.30%; 状态bottom_area; 底部已确认
6,79.5449829155743,72.53748220940835,000028,国药一致,bottom_area,2023-09-07,30.93,2023-09-07,30.88,0.16191709844559815,2.687823834196897,30.056625141562854,False,-1.9651,0.9318,2,2,2,100.0,12.240070934754426,14.150943396226415,9.838082901554403,0.16191709844559815,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
7,79.29510671073332,78.43352223734075,688185,康希诺,bottom_area,2023-09-07,72.19,2023-08-29,69.13,4.42644293360336,9.764212353536815,29.61718590918347,True,-1.9957,0.8124,6,6,6,100.0,13.848452290088234,19.236097367900253,5.573557066396641,4.42644293360336,历史6/6次成功; 当前距低点4.43%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
8,77.38552498822357,71.43570744505456,002755,奥赛康,bottom_area,2023-09-07,7.54,2023-08-24,7.48,0.8021390374331497,6.550802139037423,32.97491039426523,False,-2.2049,0.2253,1,1,1,100.0,30.831099195710454,30.831099195710454,9.19786096256685,0.8021390374331497,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
9,77.18542816710392,74.68376829417736,688339,亿华通,bottom_area,2023-09-07,53.05,2023-08-29,51.37,3.2703912789565894,7.416780221919413,27.392226148409897,True,-2.6069,0.8988,2,2,2,100.0,12.850862420421358,14.0971239981141,6.729608721043412,3.2703912789565894,历史2/2次成功; 当前距低点3.27%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
10,75.03749896254654,74.45970040886137,002339,积成电子,bottom_area,2023-09-07,6.83,2023-08-25,6.53,4.5941807044410385,9.494640122511488,27.201783723522855,True,-2.289,1.5229,3,4,3,75.0,48.70662588702658,82.94930875576038,5.405819295558962,4.5941807044410385,历史3/4次成功; 当前距低点4.59%; 最新日涨幅-2.29%; 状态bottom_area; 底部已确认
11,71.45677976357929,70.8261360861003,000572,海马汽车,confirmed_rebound,2023-09-07,4.38,2023-08-29,4.19,4.534606205250585,11.455847255369916,31.42389525368248,True,-2.4499,2.0715,2,2,2,100.0,17.82278620468623,22.92191435768261,5.465393794749416,4.534606205250585,历史2/2次成功; 当前距低点4.53%; 最新日涨幅-2.45%; 状态confirmed_rebound; 底部已确认
