rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.69301319840714,79.36008007737453,001218,丽臣实业,bottom_area,2024-07-16,14.44,2024-05-10,19.8,2024-07-09,14.23,1.4757554462403308,6.60576247364722,28.131313131313128,27.07070707070708,False,-1.2311901504787892,0.6002818817405267,2,2,2,100.0,25.18711018711019,29.999999999999993,2022-03-16; 2022-04-27,18.52424455375967,1.4757554462403308,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
2,89.66558181974388,76.64961026526493,603215,比依股份,bottom_area,2024-07-16,11.66,2024-05-15,17.09,2024-07-09,11.5,1.3913043478260883,6.956521739130441,32.70918665886483,31.772966647162082,False,-0.5119453924914752,0.5451096139887633,3,4,3,75.0,30.412818162948412,36.01562499999999,2022-03-16; 2022-04-27; 2024-02-06,18.608695652173914,1.3913043478260883,历史3/4次成功; 当前距低点1.39%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
3,88.0600743575538,76.99906435057241,605099,共创草坪,bottom_area,2024-07-16,18.35,2024-05-15,25.17,2024-07-09,17.88,2.6286353467561656,9.060402684563766,28.96305125148988,27.095748907429478,True,-3.421052631578936,0.16945340057754937,1,1,1,100.0,44.31372549019606,44.31372549019606,2024-02-05,17.371364653243837,2.6286353467561656,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-3.42%; 状态bottom_area; 底部已确认
4,87.86160137315798,76.20521203263915,603325,博隆技术,bottom_area,2024-07-16,60.8,2024-05-22,86.68,2024-07-16,59.5,2.1848739495798273,2.8403361344537776,31.356714351638214,29.85694508537149,False,-0.09858692080184639,0.8033185731837991,1,1,1,100.0,33.584541062801925,33.584541062801925,2024-02-06,17.815126050420176,2.1848739495798273,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
5,87.80848276552778,77.89680875354496,688151,华强科技,bottom_area,2024-07-16,11.49,2024-05-20,15.23,2024-07-09,11.11,3.4203420342034274,9.36093609360937,27.051871306631654,24.556795797767563,True,-1.2886597938144395,0.1968069666182874,2,2,2,100.0,31.9633795243483,32.022471910112344,2022-04-27; 2024-02-06,16.579657965796574,3.4203420342034274,历史2/2次成功; 当前距低点3.42%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
6,87.10702779057729,76.52083350000353,603282,亚光股份,bottom_area,2024-07-16,15.7,2024-05-08,21.15,2024-07-09,15.26,2.883355176933155,7.7326343381389355,27.848699763593377,25.768321513002363,True,-0.5069708491761693,0.2933791660439396,1,1,1,100.0,34.64991023339317,34.64991023339317,2024-02-06,17.116644823066846,2.883355176933155,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
7,86.92122038934518,75.25525679026023,301228,实朴检测,bottom_area,2024-07-16,10.76,2024-07-11,14.62,2024-07-16,10.54,2.087286527514238,3.130929791271348,27.906976744186046,26.402188782489738,False,-2.6244343891402844,7.2614517892576265,1,1,1,100.0,27.281021897810216,27.281021897810216,2022-02-28,17.912713472485763,2.087286527514238,历史1/1次成功; 当前距低点2.09%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
8,86.59956819040927,78.24367004532095,603970,中农立华,bottom_area,2024-07-16,13.69,2024-07-01,18.13,2024-07-11,13.11,4.424103737604883,8.848207475209765,27.688913403199116,24.489795918367346,True,0.5878030859661987,0.9430800145176426,3,4,3,75.0,44.492615951935996,67.10979812900048,2018-06-26; 2021-01-29; 2022-04-27,15.575896262395117,4.424103737604883,历史3/4次成功; 当前距低点4.42%; 最新日涨幅0.59%; 状态bottom_area; 底部已确认
9,84.96081665549059,72.24607996350134,002803,吉宏股份,bottom_area,2024-07-16,10.08,2024-05-21,14.75,2024-07-10,9.97,1.1033099297893625,6.018054162487458,32.40677966101694,31.661016949152543,False,-0.39525691699603405,1.5184753890157365,3,5,3,60.0,35.707669910866066,44.71615720524019,2017-01-17; 2018-08-20; 2022-04-27,18.89669007021064,1.1033099297893625,历史3/5次成功; 当前距低点1.10%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
10,84.36721134500742,76.91597615499253,688602,康鹏科技,bottom_area,2024-07-16,7.04,2024-06-20,9.37,2024-07-09,6.71,4.918032786885247,9.538002980625928,28.388473852721447,24.866595517609387,True,0.5714285714285783,1.0500924475174598,1,1,1,100.0,39.24242424242424,39.24242424242424,2024-02-06,15.081967213114755,4.918032786885247,历史1/1次成功; 当前距低点4.92%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
