rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.22650222597278,80.64518561391539,688183,生益电子,bottom_area,2022-09-20,9.65,2022-09-19,9.51,1.4721345951629923,2.73396424815983,28.28054298642534,False,1.153,0.2899,1,1,1,100.0,26.24544349939247,26.24544349939247,13.527865404837009,1.4721345951629923,历史1/1次成功; 当前距低点1.47%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
2,88.62480944712833,80.3298765432099,002278,神开股份,bottom_area,2022-09-20,5.06,2022-09-20,4.95,2.2222222222222103,2.828282828282822,29.184549356223176,False,1.2,8.6556,1,1,1,100.0,33.74485596707818,33.74485596707818,12.777777777777787,2.2222222222222103,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
3,88.31129671467765,80.50042239662801,600215,派斯林,bottom_area,2022-09-20,6.9,2022-09-16,6.73,2.5260029717682007,4.606240713224363,29.1578947368421,False,0.7299,0.8126,2,2,2,100.0,21.718866517524237,23.993288590604024,12.473997028231798,2.5260029717682007,历史2/2次成功; 当前距低点2.53%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
4,87.76621505421323,80.47332039354795,688010,福光股份,bottom_area,2022-09-20,20.64,2022-09-19,20.07,2.840059790732438,4.384653712007967,28.270192994996425,False,2.3302,0.15,1,1,1,100.0,42.08955223880597,42.08955223880597,12.15994020926756,2.840059790732438,历史1/1次成功; 当前距低点2.84%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
5,86.58821184281835,79.18249448781363,002283,天润工业,bottom_area,2022-09-20,5.33,2022-09-19,5.19,2.6974951830443095,3.8535645472061515,27.816411682892905,False,1.912,0.6213,1,1,1,100.0,33.402061855670105,33.402061855670105,12.30250481695569,2.6974951830443095,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
6,86.33888362168666,79.65009071402773,603315,福鞍股份,bottom_area,2022-09-20,20.19,2022-09-19,19.57,3.1681144609095604,4.701073071027072,29.324665944384254,False,1.5594,0.3653,1,1,1,100.0,41.68490153172865,41.68490153172865,11.83188553909044,3.1681144609095604,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
7,86.24393540726973,78.95022621530565,000591,太阳能,bottom_area,2022-09-20,7.09,2022-09-19,6.9,2.75362318840579,2.898550724637671,27.672955974842754,False,2.4566,1.2256,1,1,1,100.0,32.84132841328414,32.84132841328414,12.246376811594208,2.75362318840579,历史1/1次成功; 当前距低点2.75%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
8,84.2352438245335,76.06690922177857,600996,贵广网络,bottom_area,2022-09-20,10.09,2022-09-19,9.89,2.022244691607677,8.493427704752273,28.38522809558291,False,-1.272,4.3055,1,1,1,100.0,30.84745762711863,30.84745762711863,12.977755308392322,2.022244691607677,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
9,83.44915285490161,76.46659527177206,600130,波导股份,bottom_area,2022-09-20,4.03,2022-09-19,3.92,2.8061224489796,4.33673469387755,27.541589648798524,False,1.5113,3.5213,1,1,1,100.0,20.13201320132014,20.13201320132014,12.1938775510204,2.8061224489796,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
10,83.13661056020709,76.52847724542909,002451,摩恩电气,bottom_area,2022-09-20,6.08,2022-09-19,5.9,3.0508474576271136,3.3898305084745637,29.59427207637232,False,2.7027,0.9125,1,1,1,100.0,23.464566929133863,23.464566929133863,11.949152542372886,3.0508474576271136,历史1/1次成功; 当前距低点3.05%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
11,82.723290285409,77.37387937714406,300437,清水源,bottom_area,2022-09-20,18.08,2022-09-19,17.4,3.9080459770114926,4.252873563218403,29.354445797807553,False,2.0892,1.7811,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,11.091954022988507,3.9080459770114926,历史5/6次成功; 当前距低点3.91%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
