rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.54572864190658,81.10430948365574,600135,乐凯胶片,bottom_area,2026-06-04,8.97,12.8,2026-06-02,8.78,2.164009111617327,5.353075170842833,31.406250000000007,29.921874999999996,False,-1.86,1.5835,2,2,2,100.0,43.00134547388843,56.981132075471706,17.835990888382675,2.164009111617327,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
2,92.63047049078581,78.7275246485883,605158,华达新材,bottom_area,2026-06-04,6.58,9.04,2026-06-04,6.51,1.0752688172043054,3.0721966205837203,27.98672566371681,27.212389380530965,False,-1.3493,0.7746,3,4,3,75.0,37.710416945237164,50.9433962264151,18.924731182795696,1.0752688172043054,历史3/4次成功; 当前距低点1.08%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
3,91.50204628806482,77.16589462167865,000919,金陵药业,bottom_area,2026-06-04,6.19,8.83,2026-06-04,6.15,0.6504065040650412,2.276422764227637,30.35107587768969,29.898074745186857,False,-1.2759,1.1354,3,3,3,100.0,26.44527661799429,31.2267657992565,19.34959349593496,0.6504065040650412,历史3/3次成功; 当前距低点0.65%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
4,91.01404348268727,77.23321493539186,600192,长城电工,bottom_area,2026-06-04,7.14,9.88,2026-06-04,7.07,0.9900990099009814,3.677510608203674,28.44129554655871,27.73279352226721,False,-2.5921,1.3441,2,2,2,100.0,47.63785310734464,60.875706214689274,19.00990099009902,0.9900990099009814,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
5,90.51876614058308,77.3122195962441,688228,开普云,bottom_area,2026-06-04,87.46,121.5,2026-06-02,86.3,1.3441483198145965,6.01390498261877,28.971193415637863,28.0164609053498,False,-1.7303,1.7876,5,7,5,71.42857142857143,41.135287525306936,77.58669034489205,18.655851680185403,1.3441483198145965,历史5/7次成功; 当前距低点1.34%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
6,90.40834936491504,77.83992788753311,601800,中国交建,bottom_area,2026-06-04,6.28,8.55,2026-05-27,6.17,1.782820097244738,5.83468395461913,27.836257309941526,26.549707602339183,False,-1.2579,0.3362,1,1,1,100.0,37.44493392070484,37.44493392070484,18.217179902755262,1.782820097244738,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
7,90.37139749285744,75.60695014662758,601390,中国中铁,bottom_area,2026-06-04,4.66,6.47,2026-05-28,4.65,0.2150537634408556,4.086021505376333,28.129829984544042,27.975270479134462,False,-1.4799,0.5093,1,1,1,100.0,46.06060606060606,46.06060606060606,19.784946236559144,0.2150537634408556,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
8,89.92416178804442,75.65056256062076,300161,华中数控,bottom_area,2026-06-04,31.09,42.5,2026-06-04,30.93,0.5172971225347563,4.203039120594883,27.22352941176471,26.847058823529412,False,-2.6612,2.5825,1,1,1,100.0,51.37956748695004,51.37956748695004,19.482702877465243,0.5172971225347563,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
9,89.72050910898245,76.41577157213257,301513,尚水智能,bottom_area,2026-06-04,66.28,91.98,2026-06-02,65.5,1.1908396946564903,5.328244274809153,28.78886714503153,27.94085670798,False,-1.6909,7.3775,1,1,1,100.0,22.53164556962025,22.53164556962025,18.80916030534351,1.1908396946564903,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
10,88.68177669927906,74.87694465500381,688670,金迪克,bottom_area,2026-06-04,15.48,21.2,2026-06-04,15.37,0.7156798959011139,5.270006506180875,27.500000000000004,26.98113207547169,False,-2.1492,0.837,1,1,1,100.0,48.272552783109404,48.272552783109404,19.28432010409889,0.7156798959011139,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
11,88.50927746178002,74.49197107643023,002987,京北方,bottom_area,2026-06-04,11.16,15.99,2026-06-04,11.1,0.5405405405405451,3.063063063063062,30.58161350844278,30.206378986866795,False,-2.4476,0.8306,2,2,2,100.0,27.389266176681016,28.88432580424366,19.459459459459456,0.5405405405405451,历史2/2次成功; 当前距低点0.54%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
12,88.39576168929108,79.25137254901959,600708,光明地产,bottom_area,2026-06-04,3.12,4.16,2026-06-04,3.0,4.0000000000000036,6.000000000000005,27.884615384615387,25.0,False,0.3215,1.7177,2,2,2,100.0,33.071895424836605,36.07843137254903,15.999999999999998,4.0000000000000036,历史2/2次成功; 当前距低点4.00%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
13,87.6669841552433,73.9058455381097,001206,依依股份,bottom_area,2026-06-04,15.94,21.94,2026-06-04,15.84,0.631313131313129,3.787878787878797,27.803099361896084,27.347310847766643,False,-2.6268,2.0737,1,1,1,100.0,42.01741654571844,42.01741654571844,19.368686868686872,0.631313131313129,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
14,87.64603822610182,74.36195994471572,300355,蒙草生态,bottom_area,2026-06-04,3.09,4.38,2026-06-04,3.06,0.9803921568627386,5.228758169934645,30.136986301369863,29.45205479452055,False,-3.7383,2.0182,3,3,3,100.0,25.63039818474601,33.201581027668,19.019607843137262,0.9803921568627386,历史3/3次成功; 当前距低点0.98%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
15,87.63204205840528,75.14032694063926,688778,厦钨新能,bottom_area,2026-06-04,59.31,86.8,2026-06-04,58.4,1.5582191780821981,3.0821917808219252,32.718894009216584,31.67050691244239,False,-0.9023,1.1882,1,1,1,100.0,20.177777777777774,20.177777777777774,18.441780821917803,1.5582191780821981,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
16,87.46932723474355,73.7824925395905,601238,广汽集团,bottom_area,2026-06-04,6.07,8.67,2026-05-28,6.03,0.6633499170812609,4.1459369817578775,30.44982698961937,29.98846597462514,False,-0.817,0.2161,2,2,2,100.0,25.08027070180526,26.42487046632124,19.33665008291874,0.6633499170812609,历史2/2次成功; 当前距低点0.66%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
17,87.2156168347912,75.07920084959514,601186,中国铁建,bottom_area,2026-06-04,6.31,8.93,2026-05-28,6.2,1.7741935483870874,4.838709677419352,30.571108622620375,29.339305711086226,False,-1.252,0.3436,1,1,1,100.0,22.496570644718787,22.496570644718787,18.225806451612915,1.7741935483870874,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
18,87.04439687213963,76.96792034401068,300576,容大感光,bottom_area,2026-06-04,41.4,54.94,2026-06-04,40.1,3.2418952618453796,4.937655860349119,27.01128503822351,24.64506734619585,False,0.8281,7.4401,3,4,3,75.0,32.33570720977492,43.280977312390924,16.75810473815462,3.2418952618453796,历史3/4次成功; 当前距低点3.24%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
19,86.45437000607969,72.94746548697479,603062,麦加芯彩,bottom_area,2026-06-04,42.99,58.5,2026-06-04,42.7,0.6791569086651034,3.747072599531602,27.008547008547,26.51282051282051,False,-2.5612,1.7538,1,1,1,100.0,37.45130773511408,37.45130773511408,19.320843091334897,0.6791569086651034,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
20,85.7638970422217,75.5015503875969,688512,慧智微,bottom_area,2026-06-04,13.39,17.89,2026-06-02,13.0,3.0000000000000044,5.307692307692304,27.33370598099497,25.153717160424815,False,-0.372,4.7825,1,1,1,100.0,39.79328165374677,39.79328165374677,16.999999999999996,3.0000000000000044,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
21,85.69732101926813,71.83029377828191,301616,浙江华业,bottom_area,2026-06-04,38.0,52.37,2026-06-04,37.88,0.31678986272438603,2.1911298838437125,27.66851250716058,27.439373687225505,False,-1.5289,1.8742,1,1,1,100.0,27.003089598352215,27.003089598352215,19.683210137275616,0.31678986272438603,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
22,84.98446428093438,71.5863891189778,002252,上海莱士,bottom_area,2026-06-04,5.14,7.26,2026-06-04,5.11,0.5870841487279719,2.739726027397254,29.614325068870517,29.201101928374655,False,-1.9084,0.439,1,1,1,100.0,29.005059021922442,29.005059021922442,19.41291585127203,0.5870841487279719,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
23,84.88503421868249,71.79445980281575,688349,三一重能,bottom_area,2026-06-04,18.68,25.88,2026-06-04,18.53,0.8094981111710663,4.425256341068539,28.400309119010814,27.820710973724882,False,-3.4625,0.8405,2,2,2,100.0,26.398470410138575,28.790581519800213,19.190501888828933,0.8094981111710663,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
24,84.8485984830214,71.40403738480232,301023,奕帆传动,bottom_area,2026-06-04,37.57,52.0,2026-06-04,37.37,0.5351886540005428,2.4886272411024883,28.13461538461539,27.749999999999996,False,-0.5295,4.9542,1,1,1,100.0,27.388535031847127,27.388535031847127,19.464811345999458,0.5351886540005428,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
25,84.73874908970514,71.59433721914749,300251,光线传媒,bottom_area,2026-06-04,12.07,17.22,2026-06-04,11.98,0.751252086811351,2.253756260434053,30.429732868757252,29.90708478513356,False,-0.9844,1.1672,1,1,1,100.0,31.060171919770784,31.060171919770784,19.248747913188648,0.751252086811351,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
26,84.64474290586186,73.64540201551513,300052,中青宝,bottom_area,2026-06-04,10.86,15.78,2026-06-04,10.61,2.35626767200754,4.995287464655996,32.762991128010135,31.1787072243346,False,-2.4259,6.8202,1,1,1,100.0,21.923076923076923,21.923076923076923,17.643732327992463,2.35626767200754,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
27,83.84753204783351,70.47742813694222,603799,华友钴业,bottom_area,2026-06-04,51.3,70.85,2026-06-04,51.06,0.4700352526439382,3.2706619663141296,27.93225123500352,27.593507410021168,False,-3.6077,3.1612,1,1,1,100.0,31.823164048227977,31.823164048227977,19.52996474735606,0.4700352526439382,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
28,83.78845892727871,70.65675359648502,605222,起帆电缆,bottom_area,2026-06-04,27.99,38.58,2026-06-04,27.81,0.6472491909385103,2.9126213592233094,27.91601866251944,27.449455676516333,False,-2.4059,1.4958,1,1,1,100.0,24.744525547445264,24.744525547445264,19.35275080906149,0.6472491909385103,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
29,83.20950401559007,70.30103700759902,002760,凤形股份,bottom_area,2026-06-04,18.8,26.5,2026-06-04,18.66,0.7502679528403031,4.715969989281881,29.58490566037736,29.056603773584904,False,-2.2361,3.5872,1,1,1,100.0,24.094881398252184,24.094881398252184,19.2497320471597,0.7502679528403031,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
30,83.08449932332871,70.13946181027453,600808,马钢股份,bottom_area,2026-06-04,2.85,4.2,2026-06-04,2.83,0.7067137809187285,2.473498233215542,32.61904761904762,32.142857142857146,False,-1.0417,0.6616,1,1,1,100.0,22.692307692307686,22.692307692307686,19.293286219081274,0.7067137809187285,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
31,82.72598505271738,70.33288586318169,003038,鑫铂股份,bottom_area,2026-06-04,12.02,17.26,2026-06-04,11.89,1.09335576114381,2.5231286795626486,31.11239860950174,30.359212050984947,False,-1.5561,2.0222,2,3,2,66.66666666666666,27.521883504961874,29.536152796725773,18.90664423885619,1.09335576114381,历史2/3次成功; 当前距低点1.09%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
32,82.60566813897553,69.65285444166965,300916,朗特智能,bottom_area,2026-06-04,28.21,40.39,2026-06-04,28.03,0.6421691045308587,10.524438102033534,30.601634067838575,30.155979202772965,False,-9.8722,9.0465,1,1,1,100.0,29.499999999999993,29.499999999999993,19.357830895469142,0.6421691045308587,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-9.87%; 状态bottom_area; 底部未确认
