rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.7120078744886,80.60291115040864,600011,华能国际,bottom_area,2024-08-30,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,0.0,0.7235,1,1,1,100.0,22.267759562841515,22.267759562841515,8.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,83.26930753637365,79.64120805816822,002110,三钢闽光,bottom_area,2024-08-30,2.7,2024-08-29,2.63,2.6615969581749157,3.802281368821296,30.0531914893617,False,1.5038,0.3956,2,2,2,100.0,18.761554423693642,22.90322580645161,7.338403041825085,2.6615969581749157,历史2/2次成功; 当前距低点2.66%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
3,82.52260628771306,81.23887872298661,000597,东北制药,bottom_area,2024-08-30,4.24,2024-08-26,4.07,4.176904176904174,5.65110565110564,32.053422370617696,False,0.4739,2.5262,3,3,3,100.0,29.259248636172746,61.02150537634409,5.823095823095826,4.176904176904174,历史3/3次成功; 当前距低点4.18%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
4,82.31506501233983,78.80181732334088,001205,盛航股份,bottom_area,2024-08-30,14.4,2024-08-28,14.02,2.7104136947218316,4.208273894436519,27.806385169927918,False,1.4085,0.5423,2,2,2,100.0,14.847099716702502,14.929577464788741,7.289586305278169,2.7104136947218316,历史2/2次成功; 当前距低点2.71%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
5,80.98158784754838,78.61329173851924,603132,金徽股份,bottom_area,2024-08-30,11.12,2024-08-29,10.75,3.441860465116272,5.116279069767449,28.285523682454972,False,0.0,1.7196,2,2,2,100.0,22.799643005292072,33.20754716981132,6.558139534883728,3.441860465116272,历史2/2次成功; 当前距低点3.44%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,80.60379547393988,78.56748906196667,001218,丽臣实业,bottom_area,2024-08-30,13.89,2024-08-30,13.4,3.6567164179104497,4.850746268656718,32.323232323232325,False,0.4338,1.6787,2,2,2,100.0,25.18711018711019,29.999999999999993,6.343283582089551,3.6567164179104497,历史2/2次成功; 当前距低点3.66%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
7,79.35658543000879,76.87669213532102,000600,建投能源,bottom_area,2024-08-30,4.65,2024-08-26,4.5,3.333333333333341,5.1111111111111205,31.08728943338438,False,0.6494,1.7369,2,2,2,100.0,12.132753415704464,13.438735177865627,6.66666666666666,3.333333333333341,历史2/2次成功; 当前距低点3.33%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
8,79.0785170721033,75.86602742101289,001286,陕西能源,bottom_area,2024-08-30,9.47,2024-08-29,9.21,2.8230184581976085,4.125950054288805,27.07838479809976,False,1.3919,1.5899,1,1,1,100.0,17.110266159695826,17.110266159695826,7.176981541802392,2.8230184581976085,历史1/1次成功; 当前距低点2.82%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
9,78.80868658115159,77.82609031887596,600956,新天绿能,bottom_area,2024-08-30,6.97,2024-08-29,6.68,4.341317365269462,6.437125748503004,28.860489882854107,False,1.4556,0.3217,2,2,2,100.0,29.592978019840494,41.27358490566036,5.658682634730539,4.341317365269462,历史2/2次成功; 当前距低点4.34%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
10,78.4417346950401,75.68939312679306,002357,富临运业,bottom_area,2024-08-30,5.28,2024-08-29,5.12,3.1250000000000027,4.492187499999991,28.08988764044944,False,1.1494,3.6273,3,4,3,75.0,24.02899530533914,31.941031941031934,6.874999999999998,3.1250000000000027,历史3/4次成功; 当前距低点3.13%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
11,77.86169025094632,76.19059540743748,002674,兴业科技,bottom_area,2024-08-30,8.07,2024-08-21,7.77,3.8610038610038706,6.30630630630631,31.72231985940247,False,0.2484,0.9696,1,1,1,100.0,31.578947368421055,31.578947368421055,6.13899613899613,3.8610038610038706,历史1/1次成功; 当前距低点3.86%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
12,77.6208362785215,77.4407415307755,000517,荣安地产,bottom_area,2024-08-30,2.15,2024-08-30,2.05,4.87804878048781,8.780487804878058,27.30496453900709,False,3.8647,2.3211,2,2,2,100.0,34.10049865746067,40.92827004219408,5.121951219512191,4.87804878048781,历史2/2次成功; 当前距低点4.88%; 最新日涨幅3.86%; 状态bottom_area; 底部未确认
13,77.46379692565745,74.88535076321206,000708,中信特钢,bottom_area,2024-08-30,11.53,2024-08-30,11.17,3.2229185317815525,4.834377797672345,31.472392638036812,False,1.4072,0.219,1,1,1,100.0,16.739811912225715,16.739811912225715,6.777081468218449,3.2229185317815525,历史1/1次成功; 当前距低点3.22%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
14,76.42021440233331,75.70234731571873,002682,龙洲股份,bottom_area,2024-08-30,3.48,2024-08-28,3.33,4.504504504504501,6.006006006005998,30.76923076923076,False,2.0528,3.0864,2,2,2,100.0,20.175363365532185,26.929674099485425,5.4954954954955,4.504504504504501,历史2/2次成功; 当前距低点4.50%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
15,75.59227247465422,73.9883296637615,000539,粤电力A,bottom_area,2024-08-30,4.29,2024-08-26,4.13,3.8740920096852336,5.084745762711863,31.395348837209298,False,0.9412,0.6216,1,1,1,100.0,19.89924433249369,19.89924433249369,6.125907990314767,3.8740920096852336,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
