rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.33705631016345,78.9460253678336,688621,阳光诺和,bottom_area,2025-10-13,60.31,2025-10-13,59.13,1.9956029088449174,3.39928970065956,31.204188481675395,False,-1.4381,2.2866,1,1,1,100.0,46.0,46.0,18.004397091155084,1.9956029088449174,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
2,83.28137116036208,73.57131628649324,301191,菲菱科思,bottom_area,2025-10-13,99.62,2025-10-13,96.54,3.190387404184792,4.091568261860356,27.890648341798617,False,-1.6584,6.1369,1,1,1,100.0,31.749460043196553,31.749460043196553,16.80961259581521,3.190387404184792,历史1/1次成功; 当前距低点3.19%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
3,78.66005943480586,70.74785081324315,603083,剑桥科技,bottom_area,2025-10-13,107.8,2025-10-13,103.48,4.174719752609193,8.088519520680315,27.382456140350875,False,-1.1916,11.0267,1,1,1,100.0,28.63554757630162,28.63554757630162,15.825280247390808,4.174719752609193,历史1/1次成功; 当前距低点4.17%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
4,73.08612039964636,66.71365153443918,300056,中创环保,bottom_area,2025-10-13,11.16,2025-10-13,10.63,4.985888993414857,6.491063029162741,27.29138166894664,False,-4.1237,4.9683,1,1,1,100.0,27.10472279260781,27.10472279260781,15.014111006585143,4.985888993414857,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
5,69.45185741799578,60.37189344406369,301488,豪恩汽电,bottom_area,2025-10-13,154.8,2025-10-13,151.31,2.306523032185585,4.3552970722358095,31.90981909819098,False,-2.6415,14.4621,1,2,1,50.0,41.61702127659575,41.61702127659575,17.693476967814416,2.306523032185585,历史1/2次成功; 当前距低点2.31%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
6,66.38863386396177,58.361611022950314,000428,华天酒店,bottom_area,2025-10-13,3.17,2025-10-13,3.08,2.9220779220779174,2.9220779220779174,28.70370370370371,False,-0.3145,2.1451,2,5,2,40.0,26.687896157462177,28.045977011494273,17.077922077922082,2.9220779220779174,历史2/5次成功; 当前距低点2.92%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
7,65.14228719984344,58.249638554216865,601900,南方传媒,bottom_area,2025-10-13,12.93,2025-09-23,12.45,3.855421686746992,9.156626506024102,30.756395995550616,True,-1.8223,0.7959,1,2,1,50.0,39.999999999999986,39.999999999999986,16.14457831325301,3.855421686746992,历史1/2次成功; 当前距低点3.86%; 最新日涨幅-1.82%; 状态bottom_area; 底部已确认
8,62.95281454936744,55.48197442832558,600706,曲江文旅,bottom_area,2025-10-13,10.1,2025-10-13,9.8,3.061224489795907,3.4693877551020393,31.420573827851634,False,-1.0774,5.932,1,2,1,50.0,24.578313253012034,24.578313253012034,16.938775510204092,3.061224489795907,历史1/2次成功; 当前距低点3.06%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
9,62.3333435049542,54.79650252242118,301529,福赛科技,bottom_area,2025-10-13,70.8,2025-10-13,68.79,2.921936327954631,6.5125745021078485,28.641078838174273,False,-5.6,6.7822,1,2,1,50.0,29.400630914826507,29.400630914826507,17.07806367204537,2.921936327954631,历史1/2次成功; 当前距低点2.92%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
10,62.12908268178024,54.78286889669094,000096,广聚能源,bottom_area,2025-10-13,11.35,2025-09-23,11.01,3.0881017257039045,6.176203451407809,28.039215686274517,False,-1.7316,1.4494,1,2,1,50.0,21.149144254278735,21.149144254278735,16.911898274296096,3.0881017257039045,历史1/2次成功; 当前距低点3.09%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
11,60.736410256410245,54.45333333333333,002123,梦网科技,bottom_area,2025-10-13,12.74,2025-10-13,12.25,4.000000000000002,4.24489795918367,29.39481268011528,False,-1.9246,2.8096,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,16.0,4.000000000000002,历史1/3次成功; 当前距低点4.00%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
12,59.9470658080198,53.84921144192061,002453,华软科技,bottom_area,2025-10-13,7.1,2025-10-13,6.82,4.1055718475073215,4.6920821114369415,30.122950819672127,False,-1.9337,10.4967,1,2,1,50.0,28.60169491525425,28.60169491525425,15.89442815249268,4.1055718475073215,历史1/2次成功; 当前距低点4.11%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
13,59.927889117517786,54.17601055055465,688195,腾景科技,bottom_area,2025-10-13,103.4,2025-10-13,98.99,4.454995454086283,5.950095969289828,31.946926990237873,False,-3.0019,6.0443,4,10,4,40.0,33.190323579953635,49.70800412229474,15.545004545913718,4.454995454086283,历史4/10次成功; 当前距低点4.45%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
14,59.589387495456194,53.394047619047626,000718,苏宁环球,bottom_area,2025-10-13,2.62,2025-09-29,2.52,3.9682539682539715,7.1428571428571495,32.800000000000004,True,-0.7576,3.01,1,4,1,25.0,36.111111111111114,36.111111111111114,16.03174603174603,3.9682539682539715,历史1/4次成功; 当前距低点3.97%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
15,58.00242539543588,52.32658484065462,301377,鼎泰高科,bottom_area,2025-10-13,67.3,2025-10-13,64.5,4.341085271317826,5.581395348837201,30.64516129032258,False,-1.7231,6.2378,1,3,1,33.33333333333333,42.746913580246904,42.746913580246904,15.658914728682175,4.341085271317826,历史1/3次成功; 当前距低点4.34%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
16,56.13213157625232,50.10388466533626,002022,科华生物,bottom_area,2025-10-13,6.35,2025-10-13,6.12,3.758169934640515,3.921568627450984,27.573964497041416,False,-0.4702,1.4107,1,4,1,25.0,25.04038772213247,25.04038772213247,16.241830065359487,3.758169934640515,历史1/4次成功; 当前距低点3.76%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
17,55.13151778437333,49.690700570056975,600232,金鹰股份,bottom_area,2025-10-13,6.32,2025-10-13,6.06,4.290429042904302,4.785478547854787,28.28402366863905,False,-0.6289,2.4304,1,3,1,33.33333333333333,27.954545454545443,27.954545454545443,15.709570957095698,4.290429042904302,历史1/3次成功; 当前距低点4.29%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
18,52.21981894347055,47.61319897084049,600400,红豆股份,bottom_area,2025-10-13,2.77,2025-10-13,2.64,4.92424242424242,4.92424242424242,31.249999999999993,False,-1.773,4.0403,1,4,1,25.0,25.943396226415082,25.943396226415082,15.075757575757581,4.92424242424242,历史1/4次成功; 当前距低点4.92%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
