rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.35437592928182,85.46087362902203,603221,爱丽家居,bottom_area,2025-08-28,12.31,2025-08-28,11.98,2.754590984974959,2.754590984974959,31.931818181818183,False,0.7365,3.106,4,4,4,100.0,17.856672444972688,20.699708454810505,12.245409015025041,2.754590984974959,历史4/4次成功; 当前距低点2.75%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
2,84.16214507975796,77.74713484998352,600658,电子城,bottom_area,2025-08-28,6.69,2025-08-28,6.48,3.24074074074074,7.098765432098765,27.191011235955052,False,1.2103,7.3,1,1,1,100.0,32.344213649851625,32.344213649851625,11.75925925925926,3.24074074074074,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
3,83.05316737927397,74.5508767529358,603511,爱慕股份,bottom_area,2025-08-28,14.95,2025-08-28,14.7,1.7006802721088436,3.8095238095238133,31.308411214953267,False,-1.9029,1.0984,1,1,1,100.0,18.754988028731056,18.754988028731056,13.299319727891156,1.7006802721088436,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
4,80.94384266438851,75.56443257676902,002097,山河智能,bottom_area,2025-08-28,15.55,2025-08-28,14.98,3.8050734312416576,5.140186915887847,28.59866539561487,False,-0.7658,9.7283,1,1,1,100.0,50.210970464135016,50.210970464135016,11.194926568758342,3.8050734312416576,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
5,80.28261410103576,74.76245132364706,002041,登海种业,bottom_area,2025-08-28,9.88,2025-06-23,9.53,3.672612801678924,7.345225603357829,29.719764011799416,True,-1.2987,2.7387,2,2,2,100.0,18.2043468358871,21.395106715252467,11.327387198321077,3.672612801678924,历史2/2次成功; 当前距低点3.67%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
6,76.85405004799125,73.10711939824806,300510,金冠股份,bottom_area,2025-08-28,4.79,2025-08-28,4.57,4.814004376367609,5.68927789934354,27.8041074249605,False,0.2092,11.2847,3,4,3,75.0,30.849727829925854,40.000000000000014,10.18599562363239,4.814004376367609,历史3/4次成功; 当前距低点4.81%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
7,74.46860619333022,70.29293153483732,300665,飞鹿股份,bottom_area,2025-08-28,9.73,2025-08-28,9.32,4.399141630901289,6.115879828326183,27.470817120622566,False,-0.6129,17.2675,4,5,4,80.0,22.274056200496023,23.50486787204451,10.600858369098711,4.399141630901289,历史4/5次成功; 当前距低点4.40%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
8,72.20268321891295,68.14792070162619,000026,飞亚达,bottom_area,2025-08-28,17.58,2025-08-28,16.84,4.3942992874109175,8.966745843230413,27.0047680970958,False,-3.9344,6.292,1,1,1,100.0,27.564102564102562,27.564102564102562,10.605700712589082,4.3942992874109175,历史1/1次成功; 当前距低点4.39%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
9,70.83126015097693,66.68072521417618,002795,永和智控,bottom_area,2025-08-28,4.9,2025-08-28,4.7,4.255319148936174,5.957446808510643,31.884057971014496,False,-0.4065,5.3578,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,10.744680851063826,4.255319148936174,历史4/6次成功; 当前距低点4.26%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
10,69.26858885644097,65.91054483761401,002218,拓日新能,bottom_area,2025-08-28,3.69,2025-08-28,3.52,4.829545454545452,5.397727272727272,28.163265306122454,False,0.545,3.579,2,3,2,66.66666666666666,27.07119251242463,39.04109589041095,10.170454545454547,4.829545454545452,历史2/3次成功; 当前距低点4.83%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
11,66.93914773013057,62.89943269381122,605169,洪通燃气,bottom_area,2025-08-28,15.29,2025-08-28,14.68,4.155313351498633,4.2915531335149915,29.626078619367206,False,0.791,2.9272,2,4,2,50.0,22.06208137219406,26.09375,10.844686648501368,4.155313351498633,历史2/4次成功; 当前距低点4.16%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
12,63.038202740588105,58.96313575834296,603367,辰欣药业,bottom_area,2025-08-28,26.58,2025-08-28,25.58,3.909304143862393,4.808444096950745,27.039361095265267,False,0.2262,3.5593,1,2,1,50.0,31.216931216931226,31.216931216931226,11.090695856137605,3.909304143862393,历史1/2次成功; 当前距低点3.91%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
13,60.48233214705846,55.757439747652406,300902,国安达,bottom_area,2025-08-28,24.05,2025-08-28,23.32,3.1303602058319058,5.0600343053173225,29.37613567534828,False,-1.4748,10.8895,1,2,1,50.0,26.906779661016937,26.906779661016937,11.869639794168094,3.1303602058319058,历史1/2次成功; 当前距低点3.13%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
14,58.49658737080635,54.230140313005904,603080,新疆火炬,bottom_area,2025-08-28,21.1,2025-08-28,20.4,3.431372549019622,4.852941176470598,29.655172413793107,False,-0.3307,4.6714,1,2,1,50.0,22.385321100917427,22.385321100917427,11.568627450980378,3.431372549019622,历史1/2次成功; 当前距低点3.43%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
