rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.99529937248035,80.68376440460949,002401,中远海科,bottom_area,2025-04-01,16.15,2025-03-31,15.62,3.3930857874519806,5.953905249679908,28.414298808432637,False,0.062,3.1883,1,1,1,100.0,68.49925705794946,68.49925705794946,16.60691421254802,3.3930857874519806,历史1/1次成功; 当前距低点3.39%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
2,90.28457471720084,76.14213039982629,002300,太阳电缆,bottom_area,2025-04-01,6.17,2025-04-01,6.13,0.652528548123981,4.567699836867868,30.261660978384526,False,-2.8346,10.7775,2,2,2,100.0,37.633846718005124,38.41584158415842,19.347471451876018,0.652528548123981,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
3,87.28857531602755,77.26865431803736,603163,圣晖集成,bottom_area,2025-04-01,25.34,2025-03-31,24.53,3.3020790868324448,3.791275988585404,27.05917335712162,False,2.0951,3.608,1,1,1,100.0,30.52362707535122,30.52362707535122,16.697920913167557,3.3020790868324448,历史1/1次成功; 当前距低点3.30%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
4,85.73642154133103,74.0450913311495,603028,赛福天,bottom_area,2025-04-01,6.27,2025-03-31,6.15,1.951219512195109,5.040650406504058,32.713347921225385,False,0.1597,5.9805,2,3,2,66.66666666666666,35.522608345632634,43.67816091954023,18.04878048780489,1.951219512195109,历史2/3次成功; 当前距低点1.95%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
5,83.62319179982069,74.79043216080403,600579,中化装备,bottom_area,2025-04-01,7.79,2025-04-01,7.5,3.8666666666666667,6.666666666666667,27.466150870406185,False,1.4323,4.9402,1,1,1,100.0,24.120603015075385,24.120603015075385,16.133333333333333,3.8666666666666667,历史1/1次成功; 当前距低点3.87%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
6,80.93796610169493,67.44830508474577,002427,尤夫股份,bottom_area,2025-04-01,4.63,2025-04-01,4.63,0.0,5.183585313174951,32.801161103047896,False,-9.9222,13.9255,1,1,1,100.0,22.033898305084747,22.033898305084747,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
7,79.31257950144226,70.09424616905588,300720,海川智能,bottom_area,2025-04-01,20.88,2025-03-28,20.23,3.213049925852687,5.981216015818096,31.423728813559322,False,-0.0957,3.0013,3,5,3,60.0,57.75229601757511,75.69193742478939,16.786950074147313,3.213049925852687,历史3/5次成功; 当前距低点3.21%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
8,78.85793487524724,71.85652944239818,000815,美利云,bottom_area,2025-04-01,12.87,2025-03-31,12.27,4.889975550122247,8.39445802770987,29.76531196336577,True,-1.3793,5.8932,3,4,3,75.0,38.336955358478036,55.703211517165016,15.110024449877754,4.889975550122247,历史3/4次成功; 当前距低点4.89%; 最新日涨幅-1.38%; 状态bottom_area; 底部已确认
9,78.84276120705982,70.36934637253725,000757,浩物股份,bottom_area,2025-04-01,3.87,2025-03-31,3.73,3.7533512064343197,5.361930294906172,28.952380952380953,False,1.3089,2.3535,2,3,2,66.66666666666666,37.851185250219494,52.941176470588246,16.246648793565683,3.7533512064343197,历史2/3次成功; 当前距低点3.75%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
10,74.75465052424013,67.73736404660328,603289,泰瑞机器,bottom_area,2025-04-01,8.9,2025-03-31,8.51,4.5828437132785025,5.5229142185664,27.512776831345832,False,1.7143,4.0049,2,3,2,66.66666666666666,33.86871530221285,40.702947845804985,15.417156286721498,4.5828437132785025,历史2/3次成功; 当前距低点4.58%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
11,74.64872991554931,65.70816241413151,002553,南方精工,bottom_area,2025-04-01,20.99,2025-03-31,20.38,2.99313052011776,6.427870461236518,28.94002789400279,False,2.9931,36.8964,3,8,3,37.5,51.3949564034161,83.5926449787836,17.00686947988224,2.99313052011776,历史3/8次成功; 当前距低点2.99%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
12,74.37428165559892,65.7678313217307,300697,电工合金,bottom_area,2025-04-01,15.91,2025-03-31,15.41,3.244646333549643,5.12654120700843,27.34559170202735,False,0.6962,9.7643,2,4,2,50.0,26.320564313031607,31.64400494437578,16.755353666450358,3.244646333549643,历史2/4次成功; 当前距低点3.24%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
13,73.70257565019953,63.447662721893494,600960,渤海汽车,bottom_area,2025-04-01,3.44,2025-03-31,3.38,1.7751479289940846,5.917159763313615,30.737704918032787,False,1.7751,4.2977,1,4,1,25.0,69.9604743083004,69.9604743083004,18.224852071005916,1.7751479289940846,历史1/4次成功; 当前距低点1.78%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
14,71.59733096191533,62.68056777686062,002406,远东传动,bottom_area,2025-04-01,7.62,2025-03-31,7.42,2.695417789757415,5.929919137466313,31.801470588235297,False,-0.5222,9.9378,2,5,2,40.0,47.12967923391146,67.88321167883211,17.304582210242586,2.695417789757415,历史2/5次成功; 当前距低点2.70%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
15,70.41784944392809,63.89036569085111,688023,安恒信息,bottom_area,2025-04-01,53.07,2025-03-31,50.71,4.6539144153027,6.487872214553341,29.451864218141345,False,0.151,2.1118,2,4,2,50.0,33.50156213839389,39.261744966442954,15.346085584697299,4.6539144153027,历史2/4次成功; 当前距低点4.65%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
16,69.80707081643222,60.55065530160279,000555,神州信息,bottom_area,2025-04-01,11.67,2025-03-31,11.42,2.189141856392294,5.5166374781085885,28.580362726704188,False,-2.0973,2.9975,1,2,1,50.0,41.139240506329116,41.139240506329116,17.810858143607707,2.189141856392294,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
17,69.17559025496388,60.90294079674003,600097,开创国际,bottom_area,2025-04-01,9.6,2025-03-31,9.32,3.0042918454935554,4.07725321888411,27.751937984496124,False,1.5873,3.3273,1,2,1,50.0,30.552291421856637,30.552291421856637,16.995708154506445,3.0042918454935554,历史1/2次成功; 当前距低点3.00%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
18,68.97878787878788,59.42787878787878,002123,梦网科技,bottom_area,2025-04-01,14.56,2025-03-31,14.3,1.8181818181818168,4.055944055944057,30.141670737664867,False,-1.4218,3.4492,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,18.181818181818183,1.8181818181818168,历史1/3次成功; 当前距低点1.82%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
19,67.85334136999099,59.12175347270164,301366,一博科技,bottom_area,2025-04-01,52.99,2025-03-31,51.73,2.435723951285531,4.117533346220767,31.483443708609276,False,-1.1934,4.3356,1,2,1,50.0,36.479591836734706,36.479591836734706,17.56427604871447,2.435723951285531,历史1/2次成功; 当前距低点2.44%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
20,66.43443727498493,58.827253919859615,300676,华大基因,bottom_area,2025-04-01,52.91,2025-03-31,51.21,3.3196641280999724,6.22925209919937,27.155049786628734,False,0.4938,1.6387,1,2,1,50.0,23.258538343696497,23.258538343696497,16.680335871900027,3.3196641280999724,历史1/2次成功; 当前距低点3.32%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
21,66.39096020387846,58.456835458067324,300746,汉嘉数智,bottom_area,2025-04-01,11.98,2025-03-31,11.63,3.0094582975064457,4.901117798796204,27.584059775840586,False,0.6723,1.4953,1,3,1,33.33333333333333,36.90896259703598,36.90896259703598,16.990541702493555,3.0094582975064457,历史1/3次成功; 当前距低点3.01%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
22,65.60633701762404,57.040478001359496,300386,飞天诚信,bottom_area,2025-04-01,14.57,2025-03-31,14.24,2.3174157303370793,4.494382022471914,30.536585365853657,False,-0.9517,2.792,3,9,3,33.33333333333333,26.61748673760595,31.195335276967924,17.68258426966292,2.3174157303370793,历史3/9次成功; 当前距低点2.32%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
23,64.92103789384883,58.63436838786669,300397,天和防务,bottom_area,2025-04-01,12.33,2025-03-31,11.81,4.403048264182892,8.552074513124468,28.42424242424242,True,0.489,6.5005,1,3,1,33.33333333333333,45.75260804769001,45.75260804769001,15.596951735817111,4.403048264182892,历史1/3次成功; 当前距低点4.40%; 最新日涨幅0.49%; 状态bottom_area; 底部已确认
24,64.49427770551462,54.77846081619793,688111,金山办公,bottom_area,2025-04-01,295.48,2025-03-31,292.44,1.039529476131863,4.270961564765425,27.251921689594273,False,-1.2169,0.9124,1,5,1,20.0,27.68058076225045,27.68058076225045,18.96047052386814,1.039529476131863,历史1/5次成功; 当前距低点1.04%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
25,63.56818280406784,56.23339248052153,000665,湖北广电,bottom_area,2025-04-01,5.06,2025-03-31,4.9,3.265306122448964,8.367346938775494,27.83505154639175,True,-3.4351,6.0438,2,6,2,33.33333333333333,34.919124227805554,43.606557377049185,16.734693877551038,3.265306122448964,历史2/6次成功; 当前距低点3.27%; 最新日涨幅-3.44%; 状态bottom_area; 底部已确认
26,63.492359124868486,56.38783659378597,000890,法尔胜,bottom_area,2025-04-01,3.27,2025-03-31,3.16,3.4810126582278436,5.379746835443036,27.853881278538807,False,1.2384,3.6104,1,4,1,25.0,32.954545454545446,32.954545454545446,16.518987341772156,3.4810126582278436,历史1/4次成功; 当前距低点3.48%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
27,63.16287700178103,57.40390880455981,300451,创业慧康,bottom_area,2025-04-01,6.18,2025-03-31,5.9,4.745762711864396,8.3050847457627,27.60736196319018,True,0.6515,4.9351,1,2,1,50.0,23.89380530973452,23.89380530973452,15.254237288135606,4.745762711864396,历史1/2次成功; 当前距低点4.75%; 最新日涨幅0.65%; 状态bottom_area; 底部已确认
28,62.82452830188679,52.35377358490566,002163,海南发展,bottom_area,2025-04-01,7.31,2025-04-01,7.31,0.0,0.0,30.90737240075615,False,-9.9754,0.9323,1,2,1,50.0,32.54716981132074,32.54716981132074,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
29,62.34573831010528,55.45157167530223,002730,电光科技,bottom_area,2025-04-01,15.99,2025-03-31,15.44,3.562176165803114,5.375647668393783,31.071428571428566,False,-0.4978,2.3617,1,3,1,33.33333333333333,113.1578947368421,113.1578947368421,16.437823834196887,3.562176165803114,历史1/3次成功; 当前距低点3.56%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
30,61.96411234086114,55.49266457680253,301428,世纪恒通,bottom_area,2025-04-01,41.16,2025-03-31,39.6,3.9393939393939275,8.005050505050509,27.999999999999996,True,-2.787,6.1605,1,2,1,50.0,26.206896551724135,26.206896551724135,16.060606060606077,3.9393939393939275,历史1/2次成功; 当前距低点3.94%; 最新日涨幅-2.79%; 状态bottom_area; 底部已确认
31,61.75506458746122,54.607487667616184,002599,盛通股份,bottom_area,2025-04-01,9.55,2025-03-31,9.25,3.243243243243251,6.162162162162165,31.53219837157661,False,-0.6243,4.3178,1,2,1,50.0,22.107969151670947,22.107969151670947,16.75675675675675,3.243243243243251,历史1/2次成功; 当前距低点3.24%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
32,60.70175959947391,54.02665201465203,605228,神通科技,bottom_area,2025-04-01,10.36,2025-03-31,10.0,3.5999999999999943,8.800000000000008,27.79783393501805,False,1.2708,1.6737,1,3,1,33.33333333333333,20.32967032967033,20.32967032967033,16.400000000000006,3.5999999999999943,历史1/3次成功; 当前距低点3.60%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
33,60.64521002601172,53.393399808860195,002178,延华智能,bottom_area,2025-04-01,6.17,2025-03-31,5.99,3.005008347245404,4.674457429048403,27.305825242718445,False,0.3252,2.0531,1,6,1,16.666666666666664,29.076086956521735,29.076086956521735,16.9949916527546,3.005008347245404,历史1/6次成功; 当前距低点3.01%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
34,60.61247361784022,52.925652639278375,600203,福日电子,bottom_area,2025-04-01,9.24,2025-03-31,9.01,2.5527192008879074,4.550499445061045,32.50936329588015,False,-0.5382,3.2947,1,3,1,33.33333333333333,24.045801526717554,24.045801526717554,17.447280799112093,2.5527192008879074,历史1/3次成功; 当前距低点2.55%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
35,59.48926565546239,53.67452540342471,600693,东百集团,bottom_area,2025-04-01,6.0,2025-03-31,5.75,4.3478260869565215,10.956521739130434,28.571428571428577,False,-2.7553,4.6964,1,2,1,50.0,30.632090761750412,30.632090761750412,15.65217391304348,4.3478260869565215,历史1/2次成功; 当前距低点4.35%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
36,57.482059134868756,51.019579113788836,601798,蓝科高新,bottom_area,2025-04-01,6.6,2025-03-31,6.38,3.448275862068962,5.799373040752353,29.96706915477497,False,1.5385,4.064,1,6,1,16.666666666666664,21.74721189591078,21.74721189591078,16.55172413793104,3.448275862068962,历史1/6次成功; 当前距低点3.45%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
37,57.461383210338816,51.06801502347419,002279,久其软件,bottom_area,2025-04-01,6.47,2025-03-31,6.25,3.519999999999996,6.079999999999998,28.977272727272734,False,-1.2214,2.7303,1,3,1,33.33333333333333,25.915492957746476,25.915492957746476,16.480000000000004,3.519999999999996,历史1/3次成功; 当前距低点3.52%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
38,56.39437067674981,51.29615701583171,300671,富满微,bottom_area,2025-04-01,27.77,2025-03-31,26.5,4.792452830188678,14.943396226415098,30.023765513599148,False,2.8519,3.7783,1,3,1,33.33333333333333,20.266753415744958,20.266753415744958,15.207547169811322,4.792452830188678,历史1/3次成功; 当前距低点4.79%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
39,56.05589837524993,47.296418724187674,300377,赢时胜,bottom_area,2025-04-01,23.79,2025-04-01,23.63,0.677105374523911,7.363520947947533,28.393939393939398,False,-5.0678,9.0939,1,3,1,33.33333333333333,20.843471208434714,20.843471208434714,19.32289462547609,0.677105374523911,历史1/3次成功; 当前距低点0.68%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
