rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.46779986837052,86.10021170636419,603368,柳药集团,bottom_area,2024-08-15,16.9,2024-07-31,16.41,2.985984156002428,8.470444850700796,31.908713692946062,True,0.4159,1.2534,3,3,3,100.0,31.603524634675978,42.85714285714285,7.014015843997573,2.985984156002428,历史3/3次成功; 当前距低点2.99%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
2,86.2587603215969,84.45577193203657,600343,航天动力,bottom_area,2024-08-15,8.01,2024-08-13,7.71,3.8910505836575857,5.05836575875486,31.16071428571428,False,1.1364,3.6305,4,4,4,100.0,26.383694961160476,55.72413793103447,6.108949416342415,3.8910505836575857,历史4/4次成功; 当前距低点3.89%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
3,84.39638559106376,80.48701623125972,002563,森马服饰,bottom_area,2024-08-15,4.9,2024-07-30,4.78,2.510460251046027,7.531380753138063,29.080118694362017,True,1.2397,0.5474,1,1,1,100.0,28.929384965831446,28.929384965831446,7.489539748953973,2.510460251046027,历史1/1次成功; 当前距低点2.51%; 最新日涨幅1.24%; 状态bottom_area; 底部已确认
4,83.69244841146399,78.49912225705332,000708,中信特钢,bottom_area,2024-08-15,11.79,2024-08-15,11.6,1.6379310344827542,2.500000000000008,28.834355828220865,False,1.1149,0.1969,1,1,1,100.0,16.739811912225715,16.739811912225715,8.362068965517247,1.6379310344827542,历史1/1次成功; 当前距低点1.64%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
5,81.6747977298017,78.92171466025782,603317,天味食品,bottom_area,2024-08-15,10.32,2024-07-30,10.0,3.200000000000003,8.800000000000008,31.74061433447099,True,0.5848,0.3564,2,2,2,100.0,12.299541184181786,14.347826086956525,6.799999999999998,3.200000000000003,历史2/2次成功; 当前距低点3.20%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
6,81.4100562919833,77.94967358606006,300424,航新科技,bottom_area,2024-08-15,12.84,2024-08-15,12.5,2.719999999999999,3.519999999999996,28.3256880733945,False,-0.3879,5.4804,2,2,2,100.0,32.85630960247343,52.29885057471265,7.280000000000002,2.719999999999999,历史2/2次成功; 当前距低点2.72%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
7,80.30229967957608,73.7038731323186,001203,大中矿业,bottom_area,2024-08-15,8.02,2024-08-15,7.98,0.5012531328320695,2.2556390977443574,31.38435081685297,False,-0.4963,0.5059,2,2,2,100.0,22.670592877288865,29.46341463414634,9.498746867167931,0.5012531328320695,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
8,79.21053645696242,76.6980152671756,002687,乔治白,bottom_area,2024-08-15,4.06,2024-07-25,3.93,3.307888040712454,5.852417302798981,32.82051282051282,False,-0.4902,1.0001,1,1,1,100.0,64.00000000000001,64.00000000000001,6.692111959287547,3.307888040712454,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,78.93788607532939,74.5524479600333,603010,万盛股份,bottom_area,2024-08-15,8.67,2024-07-18,8.5,1.9999999999999991,7.5294117647058885,27.78249787595582,True,-0.6873,0.3208,1,1,1,100.0,13.238967527060783,13.238967527060783,8.000000000000002,1.9999999999999991,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
10,78.53327827583148,75.63377782102859,002706,良信股份,bottom_area,2024-08-15,6.13,2024-07-30,5.95,3.0252100840336085,7.394957983193269,32.7683615819209,True,0.3273,1.1391,3,4,3,75.0,13.31320867002797,14.727153188691638,6.974789915966392,3.0252100840336085,历史3/4次成功; 当前距低点3.03%; 最新日涨幅0.33%; 状态bottom_area; 底部已确认
11,77.6891063207668,75.3937463612896,301606,绿联科技,bottom_area,2024-08-15,29.89,2024-08-13,28.9,3.425605536332187,5.294117647058828,30.34466136418415,False,0.572,14.4662,1,1,1,100.0,21.957671957671955,21.957671957671955,6.574394463667812,3.425605536332187,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
12,77.67441893870412,76.859089409161,601163,三角轮胎,bottom_area,2024-08-15,14.8,2024-07-25,14.17,4.446012702893443,7.339449541284409,27.18396711202467,True,1.2312,0.3499,2,2,2,100.0,16.48386221375298,20.655412115193645,5.553987297106558,4.446012702893443,历史2/2次成功; 当前距低点4.45%; 最新日涨幅1.23%; 状态bottom_area; 底部已确认
13,77.57217471677932,77.13142372407036,603218,日月股份,confirmed_rebound,2024-08-15,9.8,2024-07-05,9.36,4.700854700854714,10.256410256410266,27.216174183514774,True,0.0,0.4943,1,1,1,100.0,47.95361527967258,47.95361527967258,5.299145299145286,4.700854700854714,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
14,77.55542813129327,77.27052780395853,002552,宝鼎科技,confirmed_rebound,2024-08-15,11.12,2024-07-25,10.61,4.80678605089538,10.084825636192276,30.197368421052634,True,0.9991,0.807,1,1,1,100.0,52.23596574690771,52.23596574690771,5.193213949104621,4.80678605089538,历史1/1次成功; 当前距低点4.81%; 最新日涨幅1.00%; 状态confirmed_rebound; 底部已确认
15,77.28819486495858,74.85472242996707,000983,山西焦煤,bottom_area,2024-08-15,8.09,2024-08-14,7.83,3.3205619412515937,4.725415070242646,27.834101382488473,False,2.5349,0.716,3,4,3,75.0,21.938729333444627,27.212389380530986,6.679438058748407,3.3205619412515937,历史3/4次成功; 当前距低点3.32%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
16,76.97494982787948,74.78285764719726,001218,丽臣实业,bottom_area,2024-08-15,14.26,2024-07-25,13.78,3.4833091436865056,6.603773584905662,30.404040404040412,False,-1.1781,0.889,2,2,2,100.0,25.18711018711019,29.999999999999993,6.516690856313495,3.4833091436865056,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
17,76.97457703462368,74.29003550130288,000726,鲁泰A,bottom_area,2024-08-15,5.59,2024-07-30,5.42,3.1365313653136515,4.797047970479701,28.211920529801326,False,0.9025,0.6477,1,1,1,100.0,12.480252764612954,12.480252764612954,6.863468634686348,3.1365313653136515,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
18,76.01425451891704,75.54211629209148,002768,国恩股份,bottom_area,2024-08-15,17.92,2024-07-25,17.12,4.672897196261686,7.827102803738316,27.549724925941593,True,0.2237,0.6211,2,2,2,100.0,12.184526341764123,13.681691264459511,5.327102803738315,4.672897196261686,历史2/2次成功; 当前距低点4.67%; 最新日涨幅0.22%; 状态bottom_area; 底部已确认
19,75.40061799105567,73.36796454704731,600997,开滦股份,bottom_area,2024-08-15,6.1,2024-07-30,5.89,3.5653650254668925,5.942275042444831,30.70588235294118,False,1.6667,0.5024,1,1,1,100.0,12.77955271565495,12.77955271565495,6.4346349745331075,3.5653650254668925,历史1/1次成功; 当前距低点3.57%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
20,74.938075301709,68.9175157954268,301507,民生健康,bottom_area,2024-08-15,13.29,2024-08-15,13.21,0.6056018168054375,2.3467070401211108,30.43707214323327,False,-0.524,14.1355,1,1,1,100.0,14.883268482490283,14.883268482490283,9.394398183194564,0.6056018168054375,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
21,73.57681694677953,67.8658422934096,002601,龙佰集团,bottom_area,2024-08-15,15.9,2024-08-15,15.78,0.7604562737642648,2.281368821292783,31.982758620689655,False,-0.811,0.6825,1,1,1,100.0,11.127325793506023,11.127325793506023,9.239543726235736,0.7604562737642648,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
22,72.68428747538022,70.11771452848838,002651,利君股份,bottom_area,2024-08-15,5.3,2024-08-13,5.14,3.1128404669260727,5.642023346303502,29.201101928374655,False,0.0,3.9185,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,6.887159533073928,3.1128404669260727,历史2/3次成功; 当前距低点3.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
23,71.84031703743221,70.29845501298387,002316,亚联发展,bottom_area,2024-08-15,2.69,2024-08-13,2.59,3.8610038610038644,8.880308880308881,27.247191011235962,True,-1.4652,12.176,6,8,6,75.0,17.34700976383158,24.890829694323134,6.138996138996136,3.8610038610038644,历史6/8次成功; 当前距低点3.86%; 最新日涨幅-1.47%; 状态bottom_area; 底部已确认
