rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.41720294121376,79.482435860223,002233,塔牌集团,bottom_area,2021-11-30,9.97,2021-11-10,9.79,1.8386108273748876,7.252298263534228,31.77700348432056,True,0.7071,0.8007,1,1,1,100.0,15.292841648590022,15.292841648590022,8.161389172625114,1.8386108273748876,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.71%; 状态bottom_area; 底部已确认
2,80.71456613988205,78.07383353502102,600121,郑州煤电,bottom_area,2021-11-30,4.76,2021-11-29,4.61,3.2537960954446734,4.121475054229924,27.287066246056774,False,0.8475,0.9093,2,2,2,100.0,17.59402490663917,20.6581352833638,6.746203904555327,3.2537960954446734,历史2/2次成功; 当前距低点3.25%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
3,78.2479582280386,76.53017564771073,300672,国科微,bottom_area,2021-11-30,180.88,2021-11-29,174.2,3.8346727898966746,5.614236509758898,28.735067910325647,False,2.3656,4.3344,1,1,1,100.0,33.08187961653309,33.08187961653309,6.165327210103326,3.8346727898966746,历史1/1次成功; 当前距低点3.83%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
