rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.50926707035235,79.85202124646148,605258,协和电子,bottom_area,2022-09-08,22.8,2022-09-01,22.37,1.9222172552525691,5.274921770227983,28.98412698412698,False,-2.3555,1.8912,1,1,1,100.0,49.971379507727534,49.971379507727534,18.07778274474743,1.9222172552525691,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
2,91.46727244833168,78.96994197292071,002110,三钢闽光,bottom_area,2022-09-08,5.27,2022-08-31,5.17,1.9342359767891615,2.7079303675048294,30.41722745625841,False,0.7648,0.3334,1,1,1,100.0,22.90322580645161,22.90322580645161,18.06576402321084,1.9342359767891615,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
3,89.41795903984435,76.31379093866258,688279,峰岹科技,bottom_area,2022-09-08,63.0,2022-09-05,62.19,1.3024602026049241,8.216755105322399,27.07551594746717,True,-3.062,1.7796,1,1,1,100.0,24.37311935807422,24.37311935807422,18.697539797395077,1.3024602026049241,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-3.06%; 状态bottom_area; 底部已确认
4,87.1381071458345,75.80652505831628,688058,宝兰德,bottom_area,2022-09-08,41.37,2022-08-31,40.42,2.3503216229589206,7.397328055418097,31.49152542372881,True,-2.4292,1.1702,1,1,1,100.0,24.27558257345491,24.27558257345491,17.64967837704108,2.3503216229589206,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
5,86.10160938636295,76.22031710628178,002045,国光电器,bottom_area,2022-09-08,12.82,2022-09-02,12.41,3.3037872683319915,14.18211120064464,29.166666666666664,True,-7.1014,18.6695,2,2,2,100.0,31.73630149504698,33.77563329312426,16.69621273166801,3.3037872683319915,历史2/2次成功; 当前距低点3.30%; 最新日涨幅-7.10%; 状态bottom_area; 底部已确认
6,83.69907680182926,69.98335991364425,002012,凯恩股份,bottom_area,2022-09-08,5.48,2022-09-06,5.47,0.1828153564899575,3.8391224862888476,27.54966887417219,False,-3.0088,5.8733,1,1,1,100.0,25.646123260437374,25.646123260437374,19.817184643510043,0.1828153564899575,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
7,66.70346962195798,59.883945571150775,000037,深南电A,bottom_area,2022-09-08,8.43,2022-09-05,8.1,4.074074074074075,9.7530864197531,31.41405588484336,True,-2.0906,9.0741,2,5,2,40.0,39.8001852690304,45.16765285996055,15.925925925925927,4.074074074074075,历史2/5次成功; 当前距低点4.07%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
8,64.65972711693519,56.89946300578478,688165,埃夫特,bottom_area,2022-09-08,8.3,2022-09-02,8.06,2.9776674937965284,7.071960297766752,28.4826974267968,True,-1.7751,0.4476,1,2,1,50.0,21.98142414860681,21.98142414860681,17.022332506203472,2.9776674937965284,历史1/2次成功; 当前距低点2.98%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
9,63.22746594704142,53.27824206882114,601966,玲珑轮胎,bottom_area,2022-09-08,21.57,2022-09-08,21.44,0.6063432835820849,2.7985074626865574,29.240924092409237,False,-1.2815,0.793,1,2,1,50.0,22.476907287033857,22.476907287033857,19.39365671641792,0.6063432835820849,历史1/2次成功; 当前距低点0.61%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
10,60.59281138790034,50.494009489916955,688288,鸿泉技术,bottom_area,2022-09-08,18.84,2022-09-08,18.84,0.0,4.511677282377927,31.039531478770133,False,-3.186,0.898,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
11,55.449410532340956,50.30131908191392,002617,露笑科技,bottom_area,2022-09-08,11.94,2022-09-02,11.41,4.645048203330406,9.02716914986853,28.99813316739266,True,-3.163,3.06,1,3,1,33.33333333333333,36.60589060308556,36.60589060308556,15.354951796669594,4.645048203330406,历史1/3次成功; 当前距低点4.65%; 最新日涨幅-3.16%; 状态bottom_area; 底部已确认
