rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.1201177156503,79.3063154031987,301151,冠龙节能,bottom_area,2025-10-09,20.74,2025-09-29,20.14,2.9791459781529186,5.064548162859977,29.333333333333332,False,1.2695,6.1342,1,1,1,100.0,37.520259319286865,37.520259319286865,17.020854021847082,2.9791459781529186,历史1/1次成功; 当前距低点2.98%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
2,79.15990628676245,67.71602591477577,688205,德科立,bottom_area,2025-10-09,116.38,2025-10-09,114.74,1.4293184591249788,4.58427749694963,29.085290482076648,False,-3.8341,6.3839,2,3,2,66.66666666666666,27.786050187709932,35.44761904761904,18.57068154087502,1.4293184591249788,历史2/3次成功; 当前距低点1.43%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
3,78.99322770260436,68.4762068965517,002269,美邦服饰,bottom_area,2025-10-09,2.37,2025-09-29,2.32,2.155172413793115,6.034482758620696,27.725856697819317,False,-1.25,3.9026,4,8,4,50.0,62.09717161843492,173.50993377483442,17.844827586206886,2.155172413793115,历史4/8次成功; 当前距低点2.16%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
4,74.7391483288933,66.17600117847014,300534,陇神戎发,bottom_area,2025-10-09,9.66,2025-09-23,9.35,3.31550802139038,5.454545454545452,27.519379844961243,False,-0.5149,1.9337,3,5,3,60.0,30.190104662581724,41.58730158730159,16.68449197860962,3.31550802139038,历史3/5次成功; 当前距低点3.32%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
5,72.82394979276718,61.76593424218125,002097,山河智能,bottom_area,2025-10-09,12.59,2025-09-30,12.47,0.9623095429029609,2.566158781074567,28.33333333333332,False,0.6395,3.7386,1,2,1,50.0,50.210970464135016,50.210970464135016,19.03769045709704,0.9623095429029609,历史1/2次成功; 当前距低点0.96%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
6,69.4751846710954,59.6033755891435,000926,福星股份,bottom_area,2025-10-09,2.56,2025-09-29,2.52,1.5873015873015885,4.761904761904765,27.79369627507164,False,-1.5385,3.2302,1,2,1,50.0,28.668941979522177,28.668941979522177,18.412698412698415,1.5873015873015885,历史1/2次成功; 当前距低点1.59%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
7,68.19737819799916,60.203668835899194,002453,华软科技,bottom_area,2025-10-09,7.2,2025-10-09,6.98,3.1518624641833775,4.154727793696263,28.483606557377044,False,0.9818,16.0428,1,2,1,50.0,28.60169491525425,28.60169491525425,16.848137535816623,3.1518624641833775,历史1/2次成功; 当前距低点3.15%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
8,67.04872319965838,59.53147763264123,301551,无线传媒,bottom_area,2025-10-09,37.3,2025-10-09,36.05,3.46740638002774,4.049930651872402,31.241655540720963,False,1.7735,5.2588,1,2,1,50.0,28.855721393034813,28.855721393034813,16.53259361997226,3.46740638002774,历史1/2次成功; 当前距低点3.47%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
9,66.61999982259782,56.16632963766891,000428,华天酒店,bottom_area,2025-10-09,3.17,2025-10-09,3.15,0.6349206349206356,2.857142857142867,27.083333333333343,False,-2.7607,3.1302,2,5,2,40.0,26.687896157462177,28.045977011494273,19.365079365079367,0.6349206349206356,历史2/5次成功; 当前距低点0.63%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
10,62.695851373092424,52.58965443534021,002059,云南旅游,bottom_area,2025-10-09,5.62,2025-10-09,5.6,0.3571428571428654,3.9285714285714404,30.778739184178,False,-4.7458,6.9628,1,2,1,50.0,25.935162094763093,25.935162094763093,19.642857142857135,0.3571428571428654,历史1/2次成功; 当前距低点0.36%; 最新日涨幅-4.75%; 状态bottom_area; 底部未确认
11,62.6430319707506,52.483597515060254,600706,曲江文旅,bottom_area,2025-10-09,10.27,2025-10-09,10.24,0.2929687499999938,3.6132812499999925,28.341497550734772,False,-3.9289,9.0585,1,2,1,50.0,24.578313253012034,24.578313253012034,19.707031250000007,0.2929687499999938,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
12,62.467423214507356,54.989953365355795,000096,广聚能源,bottom_area,2025-10-09,11.34,2025-09-23,11.01,2.9972752043596738,5.812897366030886,28.039215686274517,False,-0.2639,1.116,1,2,1,50.0,21.149144254278735,21.149144254278735,17.00272479564033,2.9972752043596738,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
13,62.345982915303516,55.86404761904762,000718,苏宁环球,bottom_area,2025-10-09,2.62,2025-09-29,2.52,3.9682539682539715,5.158730158730155,32.800000000000004,False,0.3831,4.7629,1,4,1,25.0,36.111111111111114,36.111111111111114,16.03174603174603,3.9682539682539715,历史1/4次成功; 当前距低点3.97%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
