rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.67630243956403,73.22608540925269,301001,凯淳股份,bottom_area,2025-12-16,28.31,2025-12-16,28.1,0.7473309608540829,4.875444839857642,32.19111969111969,False,-3.6091,6.0133,1,1,1,100.0,58.89483065953654,58.89483065953654,19.252669039145918,0.7473309608540829,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
2,86.43867423238171,72.12108739362118,003038,鑫铂股份,bottom_area,2025-12-16,14.88,2025-12-16,14.87,0.0672494956287933,2.48823133826497,31.125521074571566,False,-2.4902,2.0961,1,1,1,100.0,25.507614213197975,25.507614213197975,19.932750504371207,0.0672494956287933,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
3,85.84698783064191,72.39358727665423,003016,欣贺股份,bottom_area,2025-12-16,9.32,2025-12-16,9.26,0.6479481641468736,5.723542116630663,27.59968725566849,False,-2.4084,6.8653,1,1,1,100.0,34.09090909090909,34.09090909090909,19.352051835853125,0.6479481641468736,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
4,84.89537615665972,72.01980901451492,600708,光明地产,bottom_area,2025-12-16,3.11,2025-12-15,3.08,0.9740259740259676,2.5974025974025996,27.186761229314428,False,-0.9554,0.6308,1,1,1,100.0,36.07843137254903,36.07843137254903,19.025974025974033,0.9740259740259676,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
5,84.84301908024216,71.42124264336944,300035,中科电气,bottom_area,2025-12-16,20.04,2025-12-16,19.93,0.5519317611640714,4.014049172102362,30.798611111111114,False,-2.907,3.9161,1,1,1,100.0,27.686274509803933,27.686274509803933,19.44806823883593,0.5519317611640714,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
6,84.55857436016862,71.05453974027849,688365,光云科技,bottom_area,2025-12-16,15.48,2025-12-16,15.41,0.4542504866969519,6.22972096041532,32.97085689430187,False,-4.6211,3.1578,1,1,1,100.0,34.732423924449115,34.732423924449115,19.545749513303047,0.4542504866969519,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
7,83.9521207947608,70.40263148880169,300358,楚天科技,bottom_area,2025-12-16,8.75,2025-12-16,8.72,0.3440366972476991,3.555045871559618,29.677419354838708,False,-3.4216,3.3173,3,4,3,75.0,34.04319977702382,38.205499276411004,19.6559633027523,0.3440366972476991,历史3/4次成功; 当前距低点0.34%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
8,83.56210503590292,70.32084040622088,300878,维康药业,bottom_area,2025-12-16,20.68,2025-12-16,20.57,0.5347593582887672,3.2571706368497724,27.824561403508767,False,-2.7281,1.5433,1,1,1,100.0,21.55963302752294,21.55963302752294,19.465240641711233,0.5347593582887672,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
9,83.55353659117367,71.83772043903564,605299,舒华体育,bottom_area,2025-12-16,11.92,2025-12-15,11.72,1.7064846416382191,5.290102389078491,32.05797101449275,False,-0.6667,8.6399,2,3,2,66.66666666666666,43.12816535109732,56.12903225806454,18.29351535836178,1.7064846416382191,历史2/3次成功; 当前距低点1.71%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
10,83.32646968795319,70.33418308947984,603030,全筑股份,bottom_area,2025-12-16,2.88,2025-12-16,2.86,0.6993006993007,3.1468531468531578,28.855721393034823,False,-1.7065,1.6545,5,7,5,71.42857142857143,35.553088162210365,51.87969924812029,19.3006993006993,0.6993006993007,历史5/7次成功; 当前距低点0.70%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
11,82.28185920799905,68.70423951903257,300768,迪普科技,bottom_area,2025-12-16,18.52,2025-12-16,18.5,0.10810810810810581,2.432432432432429,27.677873338545734,False,-2.5776,1.3599,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,19.891891891891895,0.10810810810810581,历史2/3次成功; 当前距低点0.11%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
