rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.47492548265019,85.84391068341522,301367,瑞迈特,bottom_area,2024-04-18,73.83,2024-04-16,73.03,1.0954402300424444,8.024099685060932,28.387919199843108,False,-2.3413,1.7643,4,4,4,100.0,22.05115273070954,32.411969715178486,8.904559769957556,1.0954402300424444,历史4/4次成功; 当前距低点1.10%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
2,87.00013201447935,81.48182869298148,002432,九安医疗,bottom_area,2024-04-18,40.34,2024-04-17,39.72,1.560926485397796,3.57502517623364,27.75554747180793,False,-1.3692,2.4727,2,2,2,100.0,37.638392901550795,65.03496503496503,8.439073514602205,1.560926485397796,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
3,82.45804425424896,80.51067415730337,002685,华东重机,bottom_area,2024-04-18,2.77,2024-04-16,2.67,3.745318352059929,7.490636704119858,28.22580645161291,True,-2.807,2.6024,2,2,2,100.0,62.24778046811945,109.52380952380952,6.254681647940072,3.745318352059929,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
4,81.28481187091806,79.29097529196267,002459,晶澳科技,bottom_area,2024-04-18,15.43,2024-04-18,14.88,3.6962365591397774,5.107526881720428,27.34375,False,-0.7717,1.7483,4,4,4,100.0,18.701046488179387,26.683937823834192,6.303763440860223,3.6962365591397774,历史4/4次成功; 当前距低点3.70%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
5,80.22700166035132,77.2059011794176,002652,扬子新材,bottom_area,2024-04-18,2.07,2024-04-16,2.01,2.985074626865675,7.9601990049751326,28.469750889679723,True,-2.3585,5.0599,2,2,2,100.0,22.913286713286713,23.426573426573423,7.014925373134326,2.985074626865675,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
6,77.95838269748886,76.97750589112002,000042,中洲控股,bottom_area,2024-04-18,3.61,2024-04-17,3.46,4.335260115606934,6.358381502890179,32.81553398058253,False,0.0,2.0529,2,2,2,100.0,24.956445993031362,28.57142857142858,5.664739884393067,4.335260115606934,历史2/2次成功; 当前距低点4.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,77.60136285436523,77.37154637996927,002370,亚太药业,bottom_area,2024-04-18,3.03,2024-04-16,2.89,4.844290657439435,9.342560553633218,27.749999999999996,True,-1.9417,1.4608,5,5,5,100.0,13.260909026511698,15.633423180592995,5.155709342560566,4.844290657439435,历史5/5次成功; 当前距低点4.84%; 最新日涨幅-1.94%; 状态bottom_area; 底部已确认
8,77.18837254025046,70.17124776386405,603030,全筑股份,bottom_area,2024-04-18,1.96,2024-04-18,1.96,0.0,4.081632653061228,31.2280701754386,False,-4.8544,1.4644,4,5,4,80.0,30.006708407871198,50.5813953488372,10.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
9,76.80397769169588,75.44109109518935,300725,药石科技,bottom_area,2024-04-18,30.5,2024-04-16,29.31,4.060047765267831,9.757761856021846,27.053260328521656,True,-1.5176,3.097,1,1,1,100.0,43.26881720430109,43.26881720430109,5.93995223473217,4.060047765267831,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
10,76.47400043289691,72.86574480092791,002377,国创高新,bottom_area,2024-04-18,2.08,2024-04-18,2.03,2.4630541871921316,8.37438423645322,27.240143369175634,False,-3.2558,3.6748,2,2,2,100.0,12.588754557666471,14.814814814814808,7.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
11,76.47075644058573,72.37972831824987,688177,百奥泰,bottom_area,2024-04-18,28.98,2024-04-16,28.38,2.1141649048625846,7.751937984496121,31.614457831325304,False,-1.796,0.6415,1,1,1,100.0,12.15066828675577,12.15066828675577,7.885835095137416,2.1141649048625846,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
