rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.06037876167373,83.67398356224105,688298,东方生物,bottom_area,2022-06-22,131.55,2022-06-17,129.05,1.937233630375823,7.6172026346377235,32.92619542619542,True,-0.642,3.2607,4,4,4,100.0,11.510087309128625,15.470039788586028,6.062766369624177,1.937233630375823,历史4/4次成功; 当前距低点1.94%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
2,84.94406840582326,84.69312581082822,603222,济民健康,bottom_area,2022-06-22,11.07,2022-06-20,10.66,3.8461538461538476,5.81613508442776,31.535003211303792,False,2.6902,4.3092,6,6,6,100.0,27.109443978811754,68.46504559270518,4.153846153846152,3.8461538461538476,历史6/6次成功; 当前距低点3.85%; 最新日涨幅2.69%; 状态bottom_area; 底部未确认
3,84.3834318457841,79.69907788055937,002265,建设工业,bottom_area,2022-06-22,15.68,2022-06-21,15.52,1.0309278350515474,5.670103092783499,29.454545454545457,False,-1.0101,3.6313,2,2,2,100.0,21.556953464929624,32.75229357798165,6.969072164948454,1.0309278350515474,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
4,83.27213614279886,77.9194113622609,002339,积成电子,bottom_area,2022-06-22,5.52,2022-06-22,5.49,0.5464480874316823,2.367941712204005,30.856423173803528,False,-0.8977,3.5991,2,2,2,100.0,45.88877957852225,82.94930875576038,7.453551912568318,0.5464480874316823,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
5,81.47485066534445,77.0800123898565,000521,长虹美菱,confirmed_rebound,2022-06-22,3.62,2022-06-17,3.58,1.1173184357541908,9.49720670391061,28.4,True,-2.1622,2.463,2,2,2,100.0,9.556443136430524,9.859154929577464,6.88268156424581,1.1173184357541908,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-2.16%; 状态confirmed_rebound; 底部已确认
6,79.6995672577119,77.8712849162011,002663,普邦股份,bottom_area,2022-06-22,1.84,2022-06-14,1.79,2.793296089385477,6.145251396648037,31.939163498098853,False,-1.6043,1.3524,1,1,1,100.0,66.45569620253163,66.45569620253163,5.2067039106145225,2.793296089385477,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
7,78.46192761534809,73.0633434431957,002568,百润股份,bottom_area,2022-06-22,27.23,2022-06-22,27.15,0.29465930018416886,3.2044198895027667,31.612090680100764,False,-2.75,1.1497,2,2,2,100.0,16.69444434201939,21.848739495798313,7.705340699815831,0.29465930018416886,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
8,76.9555860398857,72.14586191239283,002116,中国海诚,bottom_area,2022-06-22,9.36,2022-06-22,9.3,0.6451612903225669,4.193548387096761,27.851047323506588,False,-2.3983,3.1043,2,2,2,100.0,16.058223948001523,18.51179673321235,7.354838709677433,0.6451612903225669,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
9,76.888609226429,71.98537670995654,000983,山西焦煤,bottom_area,2022-06-22,12.25,2022-06-22,12.18,0.5747126436781632,5.993431855500825,29.062317996505545,False,-3.0854,2.6948,2,2,2,100.0,24.546889986789015,27.212389380530986,7.425287356321837,0.5747126436781632,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
10,74.15849687175381,74.54093052109181,688069,德林海,bottom_area,2022-06-22,31.03,2022-06-22,29.76,4.267473118279568,6.451612903225799,32.0703035836567,False,2.5785,0.6718,1,1,1,100.0,27.692307692307676,27.692307692307676,3.732526881720432,4.267473118279568,历史1/1次成功; 当前距低点4.27%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
11,73.03145577854671,71.55937716262976,603203,快克智能,bottom_area,2022-06-22,23.8,2022-06-17,23.12,2.9411764705882337,5.925605536332169,30.549714629017714,False,-0.9159,0.4921,1,1,1,100.0,17.877739331026522,17.877739331026522,5.058823529411766,2.9411764705882337,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
12,72.36278083115492,67.85321942921946,600081,东风科技,bottom_area,2022-06-22,12.29,2022-06-22,12.21,0.6552006552006412,4.176904176904174,30.22857142857142,False,-1.9154,3.6638,1,1,1,100.0,9.769230769230766,9.769230769230766,7.344799344799359,0.6552006552006412,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
