rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.01126985458002,80.56857779805647,688160,步科股份,bottom_area,2022-08-29,40.48,2022-08-26,39.87,1.5299724103335828,5.818911462252322,32.02046035805627,False,0.7466,4.3161,1,1,1,100.0,26.542553191489354,26.542553191489354,18.47002758966642,1.5299724103335828,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,93.17142240405397,79.865549132948,002110,三钢闽光,bottom_area,2022-08-29,5.27,2022-08-29,5.19,1.5414258188824506,1.7341040462427717,30.14804845222072,False,0.381,0.4318,1,1,1,100.0,22.90322580645161,22.90322580645161,18.45857418111755,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,91.76181210470597,79.42408946877913,603289,泰瑞机器,bottom_area,2022-08-29,11.33,2022-08-29,11.1,2.0720720720720758,4.954954954954961,28.617363344051455,False,0.0,1.8484,1,1,1,100.0,27.034482758620705,27.034482758620705,17.927927927927925,2.0720720720720758,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,87.50104331580322,73.54836023890263,688155,先惠技术,bottom_area,2022-08-29,85.5,2022-08-29,85.1,0.47003525264395507,10.775558166862517,28.270397842211736,False,-9.7911,8.1194,2,2,2,100.0,31.66688502650995,38.11460912628228,19.529964747356047,0.47003525264395507,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-9.79%; 状态bottom_area; 底部未确认
5,84.40188784326108,70.95434926775351,688058,宝兰德,bottom_area,2022-08-29,42.0,2022-08-26,41.8,0.4784688995215379,8.851674641148332,29.152542372881364,False,-2.8902,3.6116,1,1,1,100.0,24.27558257345491,24.27558257345491,19.521531100478462,0.4784688995215379,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
6,83.7617892182112,75.52536195039276,000715,中兴商业,bottom_area,2022-08-29,5.08,2022-08-03,4.87,4.312114989733059,7.802874743326487,27.421758569299552,True,1.1952,1.1002,1,1,1,100.0,24.33862433862435,24.33862433862435,15.68788501026694,4.312114989733059,历史1/1次成功; 当前距低点4.31%; 最新日涨幅1.20%; 状态bottom_area; 底部已确认
7,80.21099120531309,68.06764666673202,002632,道明光学,bottom_area,2022-08-29,7.13,2022-08-29,7.06,0.9915014164305991,4.532577903682724,29.04522613065327,False,-7.8811,7.679,1,1,1,100.0,25.259515570934255,25.259515570934255,19.008498583569402,0.9915014164305991,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-7.88%; 状态bottom_area; 底部未确认
8,73.22891906314261,64.48811023622049,002536,飞龙股份,bottom_area,2022-08-29,7.85,2022-08-29,7.62,3.0183727034120675,4.724409448818902,27.081339712918655,False,0.1276,3.7419,1,2,1,50.0,55.505617977528075,55.505617977528075,16.981627296587934,3.0183727034120675,历史1/2次成功; 当前距低点3.02%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
9,72.37658506690329,62.27635516892931,688288,鸿泉技术,bottom_area,2022-08-29,19.78,2022-08-29,19.44,1.7489711934156371,4.681069958847737,28.84333821376281,False,0.4061,1.329,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,18.25102880658436,1.7489711934156371,历史1/3次成功; 当前距低点1.75%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
10,67.17959770384623,57.01797788309637,300400,劲拓股份,bottom_area,2022-08-29,16.16,2022-08-29,16.0,1.0000000000000009,2.8124999999999956,28.05755395683453,False,-1.1621,1.5777,1,3,1,33.33333333333333,27.014218009478668,27.014218009478668,19.0,1.0000000000000009,历史1/3次成功; 当前距低点1.00%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
11,64.6647421985528,56.34261590682259,688083,中望软件,bottom_area,2022-08-29,181.32,2022-08-29,177.01,2.43489068414214,3.830292073894131,31.64845348882111,False,-0.4174,1.0035,1,2,1,50.0,21.52777777777778,21.52777777777778,17.56510931585786,2.43489068414214,历史1/2次成功; 当前距低点2.43%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
12,63.09647155379249,56.81795752582466,603180,金牌家居,bottom_area,2022-08-29,24.09,2022-08-29,23.11,4.240588489831244,4.5002163565556,27.463904582548647,False,1.9036,0.9091,1,2,1,50.0,23.744619799139173,23.744619799139173,15.759411510168759,4.240588489831244,历史1/2次成功; 当前距低点4.24%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
