rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.68045532046175,74.29436308733081,301628,强达电路,bottom_area,2024-12-04,81.66,2024-11-27,80.25,1.7570093457943883,8.037383177570097,29.67312242572956,True,-3.3724,9.9069,1,1,1,100.0,19.08787309538719,19.08787309538719,13.242990654205611,1.7570093457943883,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-3.37%; 状态bottom_area; 底部已确认
2,77.67878585917298,72.26727068862705,601019,山东出版,bottom_area,2024-12-04,10.59,2024-11-25,10.22,3.620352250489229,7.0450097847358,28.028169014084497,True,-0.4699,0.4225,1,1,1,100.0,20.815450643776817,20.815450643776817,11.379647749510772,3.620352250489229,历史1/1次成功; 当前距低点3.62%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
3,77.46072978269407,70.51151424607902,002761,浙江建投,bottom_area,2024-12-04,10.03,2024-11-29,9.79,2.4514811031664987,7.15015321756896,29.466858789625373,True,-3.1853,4.435,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,12.5485188968335,2.4514811031664987,历史4/6次成功; 当前距低点2.45%; 最新日涨幅-3.19%; 状态bottom_area; 底部已确认
4,77.15438725567186,68.06211939725935,002862,实丰文化,bottom_area,2024-12-04,31.44,2024-12-04,31.2,0.7692307692307756,7.6923076923077,28.505957836846935,False,-3.5583,20.8265,3,4,3,75.0,26.671857801642656,29.78505629477994,14.230769230769225,0.7692307692307756,历史3/4次成功; 当前距低点0.77%; 最新日涨幅-3.56%; 状态bottom_area; 底部未确认
5,75.80562147341278,66.54699096129744,002045,国光电器,bottom_area,2024-12-04,17.8,2024-12-04,17.71,0.5081874647092031,6.606437041219639,29.58250497017892,False,-5.3191,21.4963,4,6,4,66.66666666666666,33.38167588262236,40.89958158995815,14.491812535290796,0.5081874647092031,历史4/6次成功; 当前距低点0.51%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
6,74.99915591613141,66.7974443897901,000695,滨海能源,bottom_area,2024-12-04,11.85,2024-12-04,11.7,1.282051282051285,5.299145299145308,30.810171496156123,False,-3.0278,6.0662,2,3,2,66.66666666666666,21.042229280647017,21.910112359550556,13.717948717948714,1.282051282051285,历史2/3次成功; 当前距低点1.28%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
7,72.72274253458326,63.41563153420453,001229,魅视科技,bottom_area,2024-12-04,39.86,2024-12-04,39.8,0.1507537688442268,5.628140703517593,30.64993901376547,False,-8.1355,33.7376,2,3,2,66.66666666666666,28.83163150807898,42.18749999999999,14.849246231155771,0.1507537688442268,历史2/3次成功; 当前距低点0.15%; 最新日涨幅-8.14%; 状态bottom_area; 底部未确认
8,71.30288714476282,62.54050234530888,603268,松发股份,bottom_area,2024-12-04,39.12,2024-12-04,38.94,0.46224961479198695,8.834103749357999,27.105952826656686,False,-9.5909,17.6375,2,3,2,66.66666666666666,27.94497204498886,37.532133676092535,14.537750385208012,0.46224961479198695,历史2/3次成功; 当前距低点0.46%; 最新日涨幅-9.59%; 状态bottom_area; 底部未确认
