rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.14031689257553,77.10614619197926,300505,川金诺,bottom_area,2021-09-29,33.4,2021-09-29,32.93,1.427269966595806,7.804433647130277,27.990378307456808,False,-5.2213,10.556,1,1,1,100.0,39.35656836461126,39.35656836461126,18.572730033404195,1.427269966595806,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
2,88.25473590001866,77.01293678192846,601127,赛力斯,bottom_area,2021-09-29,58.23,2021-09-29,56.8,2.5176056338028165,6.9894366197183215,30.630190522716173,False,-2.95,1.7626,2,2,2,100.0,25.33912702687572,27.74461028192372,17.482394366197184,2.5176056338028165,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
3,87.30532121467739,72.92989998419664,000426,兴业银锡,bottom_area,2021-09-29,7.62,2021-09-29,7.61,0.13140604467805236,3.153745072273315,30.628988149498632,False,-2.8061,2.3983,1,1,1,100.0,30.64250411861613,30.64250411861613,19.86859395532195,0.13140604467805236,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
4,86.50293891845932,72.12754927991631,001212,中旗新材,bottom_area,2021-09-29,31.66,2021-09-29,31.65,0.03159557661927824,1.8957345971564028,28.95622895622896,False,-0.252,3.9006,1,1,1,100.0,25.105307497893843,25.105307497893843,19.968404423380722,0.03159557661927824,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
5,86.34957841013521,74.07002950948225,000792,盐湖股份,bottom_area,2021-09-29,28.29,2021-09-29,27.85,1.5798922800718052,6.894075403949723,28.917815211842772,False,-3.8082,1.8938,1,1,1,100.0,24.904214559386965,24.904214559386965,18.420107719928197,1.5798922800718052,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-3.81%; 状态bottom_area; 底部未确认
6,85.35702565482225,71.50433414043583,688355,明志科技,bottom_area,2021-09-29,24.57,2021-09-29,24.5,0.28571428571428686,4.081632653061225,29.658340511053687,False,-3.7603,3.306,1,1,1,100.0,35.08474576271185,35.08474576271185,19.714285714285715,0.28571428571428686,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
7,84.4524715716072,70.94204844469411,002805,丰元股份,bottom_area,2021-09-29,23.02,2021-09-27,22.92,0.4363001745200604,11.692844677137868,27.924528301886788,False,-3.7625,3.4389,1,1,1,100.0,33.907595927956166,33.907595927956166,19.56369982547994,0.4363001745200604,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
8,83.43104982818451,69.66588119520488,300631,久吾高科,bottom_area,2021-09-29,36.49,2021-09-29,36.45,0.1097393689986259,7.2153635116597945,31.459195186160205,False,-7.3858,4.8978,1,1,1,100.0,23.04347826086956,23.04347826086956,19.890260631001375,0.1097393689986259,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-7.39%; 状态bottom_area; 底部未确认
9,83.24366334738521,69.44454460951948,688329,艾隆科技,bottom_area,2021-09-29,34.03,2021-09-29,34.01,0.05880623346075604,7.233166715671864,30.4214402618658,False,-5.0237,6.9066,1,1,1,100.0,21.229154955967783,21.229154955967783,19.941193766539243,0.05880623346075604,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
10,83.04157252263036,69.52731232622799,002114,罗平锌电,bottom_area,2021-09-29,7.82,2021-09-29,7.8,0.2564102564102623,6.153846153846148,30.23255813953488,False,-4.284,4.4542,1,1,1,100.0,24.096385542168683,24.096385542168683,19.74358974358974,0.2564102564102623,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
11,82.34496124031007,68.62080103359173,000301,东方盛虹,bottom_area,2021-09-29,26.3,2021-09-29,26.3,0.0,8.36501901140684,28.53260869565217,False,-9.9932,3.3754,1,1,1,100.0,28.337639965546952,28.337639965546952,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
12,81.67118659717904,69.20090884288781,300447,全信股份,bottom_area,2021-09-29,16.67,2021-09-29,16.52,0.9079903147699887,9.564164648910422,28.17391304347826,False,-8.2554,3.3239,1,1,1,100.0,30.328638497652584,30.328638497652584,19.092009685230014,0.9079903147699887,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-8.26%; 状态bottom_area; 底部未确认
13,81.06530712530713,67.55442260442261,300665,飞鹿股份,bottom_area,2021-09-29,8.89,2021-09-29,8.89,0.0,4.836895388076487,27.723577235772357,False,-4.3057,4.2432,1,1,1,100.0,22.6044226044226,22.6044226044226,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.31%; 状态bottom_area; 底部未确认
14,80.94270676691728,67.45225563909774,603169,兰石重装,bottom_area,2021-09-29,5.3,2021-09-29,5.3,0.0,9.056603773584913,28.086838534599735,False,-9.2466,2.6502,1,1,1,100.0,22.055137844611526,22.055137844611526,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.25%; 状态bottom_area; 底部未确认
15,80.8159445557221,68.42746788810045,000902,新洋丰,bottom_area,2021-09-29,17.41,2021-09-29,17.26,0.8690614136732246,6.141367323290838,30.17799352750808,False,-4.2354,2.2282,1,1,1,100.0,25.693160813308673,25.693160813308673,19.130938586326778,0.8690614136732246,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
16,65.37199467150836,54.687886507007335,002455,百川股份,bottom_area,2021-09-29,14.24,2021-09-29,14.21,0.2111189303307485,9.50035186488388,27.536970933197342,False,-6.8063,10.8266,1,2,1,50.0,35.42600896860987,35.42600896860987,19.788881069669255,0.2111189303307485,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
17,65.05598409542743,54.213320079522866,300340,科恒股份,bottom_area,2021-09-29,16.0,2021-09-29,16.0,0.0,5.750000000000011,30.069930069930066,False,-3.7304,3.7927,1,2,1,50.0,42.54473161033797,42.54473161033797,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
18,63.12527544371925,52.89106866197184,300727,润禾材料,bottom_area,2021-09-29,27.06,2021-09-29,26.98,0.29651593773164675,7.375833951074864,30.76725686425455,False,-5.7143,3.0143,1,2,1,50.0,26.812499999999993,26.812499999999993,19.703484062268352,0.29651593773164675,历史1/2次成功; 当前距低点0.30%; 最新日涨幅-5.71%; 状态bottom_area; 底部未确认
