rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.03835384615387,72.16120000000001,002471,中超控股,bottom_area,2022-08-26,2.86,2022-08-26,2.85,0.3508771929824486,4.210526315789477,31.980906921241054,False,-2.0548,5.4417,1,1,1,100.0,29.2,29.2,19.64912280701755,0.3508771929824486,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
2,85.32685164667396,71.35488549618321,002110,三钢闽光,bottom_area,2022-08-26,5.25,2022-08-25,5.24,0.19083969465648445,2.099236641221363,29.47510094212651,False,-0.9434,0.3026,1,1,1,100.0,22.90322580645161,22.90322580645161,19.809160305343518,0.19083969465648445,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
3,84.11058480266873,74.15439685799032,000715,中兴商业,bottom_area,2022-08-26,5.02,2022-08-03,4.87,3.080082135523603,7.802874743326487,27.421758569299552,True,-1.7613,1.385,1,1,1,100.0,24.33862433862435,24.33862433862435,16.919917864476396,3.080082135523603,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
4,83.63304849702283,70.69415341882393,688160,步科股份,bottom_area,2022-08-26,40.18,2022-08-26,39.87,0.7775269626285485,5.818911462252322,32.02046035805627,False,-2.7119,6.0997,1,1,1,100.0,26.542553191489354,26.542553191489354,19.22247303737145,0.7775269626285485,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
5,82.14806855069422,69.2410070435475,603289,泰瑞机器,bottom_area,2022-08-26,11.33,2022-08-26,11.26,0.6216696269982263,5.417406749555945,27.588424437299043,False,-3.7383,2.754,1,1,1,100.0,27.034482758620705,27.034482758620705,19.378330373001777,0.6216696269982263,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
6,78.43849286632685,69.64616744957169,688058,宝兰德,bottom_area,2022-08-26,43.25,2022-08-26,41.8,3.4688995215311076,8.851674641148332,29.152542372881364,False,-15.8233,9.9981,1,1,1,100.0,24.27558257345491,24.27558257345491,16.531100478468893,3.4688995215311076,历史1/1次成功; 当前距低点3.47%; 最新日涨幅-15.82%; 状态bottom_area; 底部未确认
7,67.37466840583707,58.08245792115777,603180,金牌家居,bottom_area,2022-08-26,23.64,2022-08-10,23.21,1.8526497199482967,5.342524773804388,27.15003138731952,False,-1.2119,0.6828,1,2,1,50.0,23.744619799139173,23.744619799139173,18.147350280051704,1.8526497199482967,历史1/2次成功; 当前距低点1.85%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
8,66.49327847060455,56.617284813789425,300400,劲拓股份,bottom_area,2022-08-26,16.35,2022-08-25,16.16,1.1757425742574337,9.653465346534645,27.338129496402875,False,-0.1832,1.6737,1,3,1,33.33333333333333,27.014218009478668,27.014218009478668,18.82425742574257,1.1757425742574337,历史1/3次成功; 当前距低点1.18%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
9,65.20816830101649,54.38394688644688,688083,中望软件,bottom_area,2022-08-26,182.08,2022-08-26,182.0,0.04395604395605083,6.219780219780216,29.721589373286488,False,-2.5111,1.1287,1,2,1,50.0,21.52777777777778,21.52777777777778,19.95604395604395,0.04395604395605083,历史1/2次成功; 当前距低点0.04%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
10,64.11327069018473,53.88064248431446,300552,万集科技,bottom_area,2022-08-26,21.81,2022-08-26,21.71,0.4606172270842831,3.5467526485490537,32.80718043949242,False,-1.535,1.8265,1,2,1,50.0,23.929299796057098,23.929299796057098,19.53938277291572,0.4606172270842831,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
11,60.59281138790034,50.494009489916955,688288,鸿泉技术,bottom_area,2022-08-26,19.7,2022-08-26,19.7,0.0,4.974619289340104,27.891654465592975,False,-3.7146,2.0696,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
