rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.2566703883981,81.5952514181892,688027,国盾量子,bottom_area,2022-09-22,90.68,2022-09-21,88.08,2.9518619436875664,4.961398728428707,31.1875,False,0.0221,0.7476,3,3,3,100.0,16.15858413869275,26.382393397524062,5.048138056312434,2.9518619436875664,历史3/3次成功; 当前距低点2.95%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
2,82.56131867674277,82.52474743546301,300648,星云股份,bottom_area,2022-09-22,37.91,2022-09-22,36.46,3.976961053208984,7.103675260559507,27.52931822699265,False,0.6638,3.2487,5,5,5,100.0,17.054938907416574,26.78362573099414,4.023038946791016,3.976961053208984,历史5/5次成功; 当前距低点3.98%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
3,82.48385885539014,82.88595167498214,300437,清水源,bottom_area,2022-09-22,18.14,2022-09-19,17.4,4.252873563218403,6.666666666666668,29.354445797807553,False,0.3874,2.0967,6,6,6,100.0,22.379050532903687,30.330330330330323,3.7471264367815977,4.252873563218403,历史6/6次成功; 当前距低点4.25%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
4,80.63349581191056,76.84639378152971,688179,阿拉丁,bottom_area,2022-09-22,35.21,2022-09-21,34.69,1.4989910637071293,3.6609974055923993,32.96618357487923,False,-0.677,0.7604,2,2,2,100.0,11.957491434311619,12.021924482338617,6.5010089362928705,1.4989910637071293,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
5,80.34353153444987,75.27073985455502,603033,三维股份,bottom_area,2022-09-22,16.5,2022-09-19,16.4,0.6097560975609843,4.5121951219512315,30.508474576271194,False,-2.9412,0.3386,3,3,3,100.0,15.757977188140112,24.922480620155024,7.390243902439016,0.6097560975609843,历史3/3次成功; 当前距低点0.61%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
6,80.34046866755203,79.32970409796407,688010,福光股份,bottom_area,2022-09-22,20.72,2022-09-21,20.05,3.341645885286774,5.985037406483787,28.341672623302355,False,0.7292,0.2753,1,1,1,100.0,42.08955223880597,42.08955223880597,4.658354114713227,3.341645885286774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,80.14774603596136,76.70205377410906,688356,键凯科技,bottom_area,2022-09-22,169.0,2022-09-21,166.15,1.7153174842010197,7.6136021667168245,27.05680920186144,False,-0.5882,1.148,2,2,2,100.0,13.833213107996695,15.625,6.284682515798981,1.7153174842010197,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
8,80.11198803573625,74.69670170155683,603229,奥翔药业,bottom_area,2022-09-22,24.95,2022-09-21,24.86,0.3620273531777951,3.2984714400643615,28.869814020028624,False,-1.8103,0.9596,2,2,2,100.0,26.30174229463547,41.48479427549196,7.637972646822205,0.3620273531777951,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
9,79.2926572950444,76.34016355235721,688280,精进电动,bottom_area,2022-09-22,9.06,2022-09-19,8.88,2.0270270270270236,5.292792792792779,29.411764705882348,False,-1.7354,1.2914,1,1,1,100.0,32.37518910741301,32.37518910741301,5.972972972972976,2.0270270270270236,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
10,79.09626325063105,75.5373493975904,002110,三钢闽光,bottom_area,2022-09-22,5.06,2022-09-21,4.98,1.6064257028112285,2.4096385542168517,32.97442799461641,False,-0.5894,0.182,1,1,1,100.0,22.90322580645161,22.90322580645161,6.3935742971887715,1.6064257028112285,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
11,78.94164105744458,74.52949495604662,688026,洁特生物,bottom_area,2022-09-22,30.0,2022-09-22,29.7,1.0101010101010124,3.299663299663301,31.69273229070837,False,-0.5635,0.5036,3,4,3,75.0,14.341533650951233,20.423991726990696,6.989898989898988,1.0101010101010124,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
