rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.76448427256872,83.39692307692309,603787,新日股份,bottom_area,2026-04-22,12.79,17.11,2026-04-16,12.35,3.5627530364372433,4.615384615384618,27.819988310929283,25.248392752776155,False,0.3925,3.13,2,2,2,100.0,56.730295566502456,92.85714285714283,16.437246963562757,3.5627530364372433,历史2/2次成功; 当前距低点3.56%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,90.64551198022995,79.07374449339208,001391,国货航,bottom_area,2026-04-22,5.33,7.73,2026-04-03,5.2,2.499999999999998,3.4615384615384563,32.729624838292374,31.047865459249678,False,0.188,0.6694,1,1,1,100.0,30.39647577092513,30.39647577092513,17.500000000000004,2.499999999999998,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
3,88.53515340979752,76.44654716292646,600636,退市国化,bottom_area,2026-04-22,5.78,7.94,2026-04-21,5.67,1.9400352733686126,11.111111111111109,28.589420654911844,27.204030226700255,True,-4.9342,5.7606,1,1,1,100.0,32.90229885057471,32.90229885057471,18.05996472663139,1.9400352733686126,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-4.93%; 状态bottom_area; 底部已确认
4,84.68225129258926,74.91824171467218,603535,嘉诚国际,bottom_area,2026-04-22,8.21,11.77,2026-03-23,7.95,3.270440251572335,8.553459119496862,32.4553950722175,30.246389124893785,True,-0.3641,0.5554,1,1,1,100.0,30.778739184178,30.778739184178,16.729559748427665,3.270440251572335,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
5,80.47962741366536,71.51669907061212,603848,好太太,bottom_area,2026-04-22,15.32,21.38,2026-04-03,14.8,3.51351351351351,6.013513513513505,30.776426566884936,28.34424695977549,False,-2.1086,0.5383,1,1,1,100.0,24.664031620553352,24.664031620553352,16.48648648648649,3.51351351351351,历史1/1次成功; 当前距低点3.51%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
6,80.32239217704655,72.34293535853054,300080,易成新能,bottom_area,2026-04-22,4.66,6.38,2026-04-03,4.47,4.25055928411634,8.50111856823266,29.93730407523511,26.959247648902817,True,-1.0616,1.4061,1,1,1,100.0,28.947368421052627,28.947368421052627,15.749440715883662,4.25055928411634,历史1/1次成功; 当前距低点4.25%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
7,78.98083422358569,71.35639912798004,601628,中国人寿,bottom_area,2026-04-22,37.08,50.7,2026-04-07,35.51,4.421289777527458,7.885102787947069,29.960552268244584,26.863905325443792,True,-0.7229,0.0987,1,1,1,100.0,25.736235595390532,25.736235595390532,15.578710222472541,4.421289777527458,历史1/1次成功; 当前距低点4.42%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
8,74.74705552513633,63.69040177670102,000625,长安汽车,bottom_area,2026-04-22,10.0,13.84,2026-03-30,9.88,1.214574898785417,4.554655870445337,28.612716763005775,27.74566473988439,False,0.4016,1.395,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.785425101214585,1.214574898785417,历史1/3次成功; 当前距低点1.21%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
9,74.1639902814416,67.077680062635,000966,长源电力,bottom_area,2026-04-22,4.43,5.95,2026-04-20,4.24,4.481132075471686,5.424528301886782,28.739495798319325,25.546218487394967,False,0.0,1.695,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,15.518867924528315,4.481132075471686,历史2/3次成功; 当前距低点4.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,73.05214406528029,63.397406497472474,600121,郑州煤电,bottom_area,2026-04-22,4.15,5.69,2026-04-07,4.06,2.216748768472925,6.896551724137938,28.646748681898078,27.06502636203866,False,-0.7177,2.2859,3,6,3,50.0,23.44942843865986,29.452054794520542,17.783251231527075,2.216748768472925,历史3/6次成功; 当前距低点2.22%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
11,69.99949455337693,63.84074074074076,002356,赫美集团,bottom_area,2026-04-22,3.4,4.71,2026-04-03,3.24,4.938271604938262,8.950617283950605,31.21019108280254,27.81316348195329,True,-1.4493,2.1917,2,4,2,50.0,50.08919076532538,69.37669376693766,15.06172839506174,4.938271604938262,历史2/4次成功; 当前距低点4.94%; 最新日涨幅-1.45%; 状态bottom_area; 底部已确认
