rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.6368881237154,85.5380960654629,603319,美湖股份,bottom_area,2025-01-03,19.45,2025-01-03,19.15,1.5665796344647556,4.804177545691915,31.753385602280833,False,-2.2122,3.5516,4,4,4,100.0,26.182245333561973,43.981481481481474,6.433420365535245,1.5665796344647556,历史4/4次成功; 当前距低点1.57%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
2,89.50599463104349,83.2939482495403,603273,天元智能,bottom_area,2025-01-03,15.35,2025-01-03,15.31,0.2612671456564281,6.792945787067282,31.03603603603603,False,-5.2469,6.0555,5,5,5,100.0,48.17009323460729,201.34228187919464,7.738732854343572,0.2612671456564281,历史5/5次成功; 当前距低点0.26%; 最新日涨幅-5.25%; 状态bottom_area; 底部未确认
3,88.78508287901009,85.93091998830212,000155,川能动力,bottom_area,2025-01-03,10.67,2025-01-02,10.43,2.301054650047941,4.697986577181211,27.569444444444446,False,1.5224,1.6218,3,3,3,100.0,31.490992421566784,45.280898876404486,5.698945349952059,2.301054650047941,历史3/3次成功; 当前距低点2.30%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
4,87.43290048917544,82.91167603285332,603305,旭升集团,bottom_area,2025-01-03,12.25,2025-01-03,12.1,1.2396694214876063,6.280991735537189,30.85714285714286,False,-4.7434,2.2029,5,5,5,100.0,18.26947480561853,32.41061130334487,6.760330578512394,1.2396694214876063,历史5/5次成功; 当前距低点1.24%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
5,86.24693543392651,80.33766749776264,688023,安恒信息,bottom_area,2025-01-03,38.73,2025-01-03,38.61,0.3108003108003042,3.1080031080031154,32.23938223938224,False,-1.2242,2.4743,4,4,4,100.0,22.668237668749086,39.261744966442954,7.689199689199697,0.3108003108003042,历史4/4次成功; 当前距低点0.31%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
6,86.0474416377738,81.35955548196048,300342,天银机电,confirmed_rebound,2025-01-03,14.87,2025-01-03,14.71,1.0876954452753118,8.429639700883742,27.60826771653543,False,-5.5273,4.1155,4,4,4,100.0,18.276887619291326,26.68539325842696,6.912304554724688,1.0876954452753118,历史4/4次成功; 当前距低点1.09%; 最新日涨幅-5.53%; 状态confirmed_rebound; 底部未确认
7,85.97025971766031,79.78790320342178,002559,亚威股份,bottom_area,2025-01-03,8.27,2025-01-03,8.26,0.12106537530266086,6.7796610169491585,32.461161079313165,False,-5.0517,4.5587,4,4,4,100.0,27.60178633931094,68.1470137825421,7.878934624697339,0.12106537530266086,历史4/4次成功; 当前距低点0.12%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
8,85.53805999532338,81.21031907510891,688234,天岳先进,bottom_area,2025-01-03,49.84,2025-01-03,49.2,1.3008130081300824,3.414634146341463,30.879460522618718,False,0.1004,1.4674,2,2,2,100.0,10.517057707771569,10.647803425167522,6.699186991869918,1.3008130081300824,历史2/2次成功; 当前距低点1.30%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
9,85.42166377700993,81.81954542496732,688320,禾川科技,confirmed_rebound,2025-01-03,38.16,2025-01-02,37.5,1.7599999999999907,10.586666666666664,28.57142857142857,True,-4.6,7.3271,6,6,6,100.0,19.797556048211217,38.29133374308544,6.240000000000009,1.7599999999999907,历史6/6次成功; 当前距低点1.76%; 最新日涨幅-4.60%; 状态confirmed_rebound; 底部已确认
10,85.15800000000002,78.85000000000001,300586,美联新材,bottom_area,2025-01-03,7.7,2025-01-03,7.7,0.0,4.6753246753246795,27.495291902071557,False,-3.1447,1.6524,3,3,3,100.0,50.871511414083926,124.33414043583537,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
11,84.99477556885786,80.60121892918838,688280,精进电动,bottom_area,2025-01-03,4.08,2025-01-03,4.03,1.2406947890818814,7.940446650124054,32.83333333333333,False,-4.4496,1.1789,3,3,3,100.0,22.526898109113223,32.37518910741301,6.759305210918119,1.2406947890818814,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-4.45%; 状态bottom_area; 底部未确认
12,84.60698929728987,78.54933426684919,300490,华自科技,bottom_area,2025-01-03,7.22,2025-01-03,7.21,0.13869625520110662,6.934812760055478,28.754940711462446,False,-5.7441,1.9146,4,4,4,100.0,21.158934025310238,32.06349206349206,7.861303744798893,0.13869625520110662,历史4/4次成功; 当前距低点0.14%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
13,84.39934219018242,79.72321647148979,688133,泰坦科技,bottom_area,2025-01-03,17.54,2025-01-03,17.36,1.0368663594470031,5.241935483870969,32.66097750193949,False,-2.6637,2.3759,2,2,2,100.0,21.75952565069333,34.10214168039539,6.963133640552997,1.0368663594470031,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
14,84.35129376672684,78.36553014261605,002343,慈文传媒,bottom_area,2025-01-03,5.75,2025-01-03,5.74,0.17421602787456072,7.665505226480827,32.31132075471698,False,-5.7377,3.5124,4,4,4,100.0,20.60614347403244,40.33149171270718,7.82578397212544,0.17421602787456072,历史4/4次成功; 当前距低点0.17%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
15,84.20078630086121,78.34057229969191,002553,南方精工,confirmed_rebound,2025-01-03,12.01,2025-01-03,11.98,0.2504173622704454,8.096828046744564,30.34883720930232,False,-6.3913,5.4704,7,7,7,100.0,31.621096159508213,83.5926449787836,7.749582637729555,0.2504173622704454,历史7/7次成功; 当前距低点0.25%; 最新日涨幅-6.39%; 状态confirmed_rebound; 底部未确认
16,84.11262117591367,78.26658635814222,002777,久远银海,bottom_area,2025-01-03,15.68,2025-01-03,15.64,0.2557544757033194,6.649616368286439,27.154168607359097,False,-5.4282,2.4472,5,5,5,100.0,21.07369119755796,51.99999999999999,7.744245524296681,0.2557544757033194,历史5/5次成功; 当前距低点0.26%; 最新日涨幅-5.43%; 状态bottom_area; 底部未确认
17,84.03863350162871,79.67260447715816,605399,晨光新材,confirmed_rebound,2025-01-03,10.73,2025-01-03,10.6,1.22641509433963,8.773584905660375,28.23290453622207,False,-5.7946,1.5003,2,2,2,100.0,44.24102630243285,52.857533497402244,6.773584905660371,1.22641509433963,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-5.79%; 状态confirmed_rebound; 底部未确认
18,83.91365688214852,78.33036072952022,000868,安凯客车,bottom_area,2025-01-03,4.77,2025-01-03,4.75,0.4210526315789384,6.736842105263163,31.05950653120464,False,-4.9801,3.3531,6,6,6,100.0,23.4427996210763,69.53846153846153,7.578947368421061,0.4210526315789384,历史6/6次成功; 当前距低点0.42%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
19,83.90631588102286,78.73683537890444,002551,尚荣医疗,bottom_area,2025-01-03,2.9,2025-01-03,2.88,0.6944444444444451,7.986111111111111,28.000000000000004,False,-5.8442,3.0087,4,4,4,100.0,28.9794016786977,52.61780104712043,7.305555555555555,0.6944444444444451,历史4/4次成功; 当前距低点0.69%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
20,83.84957068905491,78.19009700133894,002761,浙江建投,bottom_area,2025-01-03,8.19,2025-01-03,8.16,0.36764705882352156,6.495098039215678,27.142857142857135,False,-4.7674,2.1645,7,7,7,100.0,22.034044599228856,43.73730534867976,7.632352941176479,0.36764705882352156,历史7/7次成功; 当前距低点0.37%; 最新日涨幅-4.77%; 状态bottom_area; 底部未确认
21,83.77693531435024,77.8966663572317,688148,芳源股份,bottom_area,2025-01-03,4.61,2025-01-03,4.6,0.2173913043478408,6.521739130434799,28.012519561815342,False,-4.9485,1.1679,4,4,4,100.0,18.614615758842774,26.66666666666668,7.78260869565216,0.2173913043478408,历史4/4次成功; 当前距低点0.22%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
