rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.18400674302076,85.33307809072154,002432,九安医疗,bottom_area,2024-04-16,40.56,2024-04-16,39.88,1.7051153460381134,4.312938816449345,27.464532557293552,False,0.1729,3.2066,2,2,2,100.0,37.638392901550795,65.03496503496503,6.294884653961887,1.7051153460381134,历史2/2次成功; 当前距低点1.71%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
2,87.76703119901579,83.58348104812534,603000,人民网,bottom_area,2024-04-16,22.92,2024-04-16,22.59,1.460823373173979,6.551571491810537,29.34000625586487,False,-4.3805,2.6536,4,4,4,100.0,24.592249134204234,48.493150684931514,6.539176626826021,1.460823373173979,历史4/4次成功; 当前距低点1.46%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
3,87.7328221708525,82.81482016464298,300707,威唐工业,confirmed_rebound,2024-04-16,10.09,2024-04-16,9.99,1.0010010010009973,12.812812812812806,29.894736842105264,False,-10.3908,5.9839,6,6,6,100.0,25.038185198522772,59.14285714285715,6.998998998999002,1.0010010010009973,历史6/6次成功; 当前距低点1.00%; 最新日涨幅-10.39%; 状态confirmed_rebound; 底部未确认
4,86.40374007974529,81.69528088060505,002256,兆新股份,confirmed_rebound,2024-04-16,1.86,2024-04-16,1.84,1.0869565217391313,8.152173913043473,30.82706766917293,False,-7.4627,2.3717,5,5,5,100.0,20.07280510844219,31.775700934579426,6.913043478260869,1.0869565217391313,历史5/5次成功; 当前距低点1.09%; 最新日涨幅-7.46%; 状态confirmed_rebound; 底部未确认
5,86.39541773799453,81.68741205402088,002272,川润股份,confirmed_rebound,2024-04-16,4.65,2024-04-16,4.6,1.086956521739146,9.347826086956536,27.67295597484278,False,-9.002,10.5895,4,4,4,100.0,20.03049958917267,48.337595907928375,6.913043478260854,1.086956521739146,历史4/4次成功; 当前距低点1.09%; 最新日涨幅-9.00%; 状态confirmed_rebound; 底部未确认
6,85.51185048656431,80.99448739586641,688286,敏芯股份,confirmed_rebound,2024-04-16,30.05,2024-04-16,29.7,1.1784511784511833,10.505050505050509,29.116945107398568,False,-8.9394,2.5711,4,4,4,100.0,17.426645606102728,25.016501650165008,6.821548821548817,1.1784511784511833,历史4/4次成功; 当前距低点1.18%; 最新日涨幅-8.94%; 状态confirmed_rebound; 底部未确认
7,85.33741414176193,80.78927706267783,688115,思林杰,confirmed_rebound,2024-04-16,17.55,2024-04-16,17.35,1.152737752161379,9.510086455331402,27.34505862646565,False,-7.0937,2.8467,5,5,5,100.0,16.00816740648259,23.658728081654015,6.847262247838621,1.152737752161379,历史5/5次成功; 当前距低点1.15%; 最新日涨幅-7.09%; 状态confirmed_rebound; 底部未确认
8,84.57876742882858,79.98443379151962,688229,博睿数据,confirmed_rebound,2024-04-16,23.05,2024-04-16,22.8,1.0964912280701753,8.771929824561402,30.888147923613218,False,-7.7262,2.2752,5,5,5,100.0,10.991579524298997,18.12233285917498,6.903508771929825,1.0964912280701753,历史5/5次成功; 当前距低点1.10%; 最新日涨幅-7.73%; 状态confirmed_rebound; 底部未确认
9,84.50281367350009,81.59421972336142,688156,路德科技,bottom_area,2024-04-16,13.6,2024-04-16,13.31,2.178812922614569,7.738542449286245,27.148330596606456,False,-5.4242,2.3444,4,4,4,100.0,22.6984579942077,44.22535211267606,5.8211870773854315,2.178812922614569,历史4/4次成功; 当前距低点2.18%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
10,83.62569406797854,77.43119821109124,603030,全筑股份,bottom_area,2024-04-16,1.99,2024-04-16,1.99,0.0,7.035175879396981,30.175438596491233,False,-4.7847,1.7839,5,5,5,100.0,25.70536672629696,50.5813953488372,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
11,83.57342753924661,79.18700736772873,300584,海辰药业,confirmed_rebound,2024-04-16,14.37,2024-04-16,14.2,1.1971830985915488,9.647887323943669,28.96448224112056,False,-7.8255,3.2074,2,2,2,100.0,41.271961465147655,54.23197492163009,6.802816901408451,1.1971830985915488,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-7.83%; 状态confirmed_rebound; 底部未确认
12,83.31258808767744,78.87945444647508,002641,公元股份,confirmed_rebound,2024-04-16,4.37,2024-04-16,4.32,1.1574074074074032,9.02777777777777,27.759197324414714,False,-8.0,2.4852,3,3,3,100.0,22.464211480451343,38.33780160857909,6.842592592592597,1.1574074074074032,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-8.00%; 状态confirmed_rebound; 底部未确认
13,83.18266211345133,78.59931620543401,300762,上海瀚讯,confirmed_rebound,2024-04-16,10.55,2024-04-16,10.44,1.0536398467433066,9.578544061302683,28.09917355371901,False,-7.212,4.1687,3,3,3,100.0,19.686102451659828,32.580961727183514,6.946360153256694,1.0536398467433066,历史3/3次成功; 当前距低点1.05%; 最新日涨幅-7.21%; 状态confirmed_rebound; 底部未确认
14,83.13508515410004,77.03785426824335,301367,瑞迈特,confirmed_rebound,2024-04-16,73.06,2024-04-16,73.03,0.04107900862659337,8.024099685060932,28.387919199843108,False,-7.7176,2.7133,4,4,4,100.0,22.05115273070954,32.411969715178486,7.9589209913734065,0.04107900862659337,历史4/4次成功; 当前距低点0.04%; 最新日涨幅-7.72%; 状态confirmed_rebound; 底部未确认
15,83.07414451175197,77.50242986565932,002406,远东传动,confirmed_rebound,2024-04-16,5.13,2024-04-16,5.11,0.39138943248531455,9.197651663405082,28.23033707865168,False,-8.881,4.1811,4,4,4,100.0,28.842998772719476,67.88321167883211,7.608610567514686,0.39138943248531455,历史4/4次成功; 当前距低点0.39%; 最新日涨幅-8.88%; 状态confirmed_rebound; 底部未确认
16,82.97986784164387,77.45389248851073,300480,光力科技,confirmed_rebound,2024-04-16,14.42,2024-04-16,14.36,0.4178272980501428,8.495821727019504,27.438100050530572,False,-7.6233,2.0038,4,4,4,100.0,28.906122193898153,39.69465648854962,7.582172701949857,0.4178272980501428,历史4/4次成功; 当前距低点0.42%; 最新日涨幅-7.62%; 状态confirmed_rebound; 底部未确认
17,82.93951296734201,76.79584534013149,300409,道氏技术,confirmed_rebound,2024-04-16,9.14,2024-04-16,9.14,0.0,9.956236323851204,29.475308641975307,False,-8.9641,6.6582,4,4,4,100.0,32.504544839416596,50.03460207612457,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-8.96%; 状态confirmed_rebound; 底部未确认
18,82.91772604580005,76.9154207579705,603212,赛伍技术,confirmed_rebound,2024-04-16,10.6,2024-04-16,10.59,0.09442870632672132,8.970727101038708,28.734858681022878,False,-8.1456,2.7507,4,4,4,100.0,22.046872088147403,32.01038575667657,7.905571293673279,0.09442870632672132,历史4/4次成功; 当前距低点0.09%; 最新日涨幅-8.15%; 状态confirmed_rebound; 底部未确认
19,82.7511743753144,77.17606741573032,002685,华东重机,bottom_area,2024-04-16,2.68,2024-04-16,2.67,0.3745318352060012,7.490636704119858,28.22580645161291,False,-9.1525,4.9646,2,2,2,100.0,62.24778046811945,109.52380952380952,7.625468164793999,0.3745318352060012,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-9.15%; 状态bottom_area; 底部未确认
20,82.68000389227194,76.78882349071313,002405,四维图新,confirmed_rebound,2024-04-16,6.34,2024-04-16,6.33,0.15797788309636315,8.530805687203792,31.862217438105482,False,-8.1159,2.5254,4,4,4,100.0,22.145231527810978,41.62162162162163,7.842022116903637,0.15797788309636315,历史4/4次成功; 当前距低点0.16%; 最新日涨幅-8.12%; 状态confirmed_rebound; 底部未确认
21,82.67692350356747,79.0546671705275,603050,科林电气,confirmed_rebound,2024-04-16,24.95,2024-04-16,24.54,1.6707416462917692,8.231458842705786,27.738515901060072,False,-4.771,5.835,3,3,3,100.0,29.69869959178883,41.09311740890686,6.329258353708231,1.6707416462917692,历史3/3次成功; 当前距低点1.67%; 最新日涨幅-4.77%; 状态confirmed_rebound; 底部未确认
