rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.30806207996916,79.63953746967772,000928,中钢国际,bottom_area,2023-11-10,6.09,2023-10-23,5.97,2.010050251256283,5.192629815745402,31.06235565819862,False,-0.9756,2.1041,3,3,3,100.0,16.57232280936585,18.798449612403097,7.989949748743717,2.010050251256283,历史3/3次成功; 当前距低点2.01%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
2,83.93348711284386,78.14497076023393,600325,华发股份,bottom_area,2023-11-10,8.1,2023-11-03,8.0,1.2499999999999956,6.875000000000009,27.667269439421343,False,-2.1739,0.9406,1,1,1,100.0,32.553606237816766,32.553606237816766,8.750000000000005,1.2499999999999956,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
3,80.61384149153437,77.03488372093024,600280,中央商场,bottom_area,2023-11-10,3.53,2023-10-23,3.44,2.6162790697674376,7.558139534883727,27.57894736842105,True,0.0,1.5599,1,1,1,100.0,11.666666666666671,11.666666666666671,7.383720930232562,2.6162790697674376,历史1/1次成功; 当前距低点2.62%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
4,79.98780329695846,77.15525423728815,002685,华东重机,bottom_area,2023-11-10,3.65,2023-11-02,3.54,3.107344632768358,6.214689265536716,27.01030927835051,False,-0.8152,2.1277,1,1,1,100.0,109.52380952380952,109.52380952380952,6.892655367231643,3.107344632768358,历史1/1次成功; 当前距低点3.11%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
5,78.03923505503046,71.16822395898983,603123,翠微股份,bottom_area,2023-11-10,12.16,2023-11-10,12.14,0.16474464579900802,4.118616144975288,28.292971057294743,False,-3.0303,5.2794,2,2,2,100.0,15.128181459201945,16.108452950558224,9.835255354200992,0.16474464579900802,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
6,77.3932685625693,72.77371941697032,000631,顺发恒能,bottom_area,2023-11-10,3.45,2023-11-03,3.39,1.7699115044247802,6.194690265486724,31.515151515151512,False,-0.8621,1.7595,1,1,1,100.0,10.04901960784314,10.04901960784314,8.23008849557522,1.7699115044247802,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
7,77.25125001292714,75.41678761156476,600048,保利发展,bottom_area,2023-11-10,11.1,2023-10-30,10.7,3.7383177570093498,5.981308411214959,28.139691067830768,False,-0.8929,0.3908,2,2,2,100.0,31.721247836269217,31.987577639751546,6.261682242990652,3.7383177570093498,历史2/2次成功; 当前距低点3.74%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
8,76.90647491466811,74.08288367063977,603326,我乐家居,bottom_area,2023-11-10,10.18,2023-11-02,9.88,3.0364372469635517,6.983805668016188,30.909090909090907,False,-0.9728,3.7733,2,2,2,100.0,15.946024697401477,20.141843971631218,6.96356275303645,3.0364372469635517,历史2/2次成功; 当前距低点3.04%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
9,75.56877749578668,74.60815744287413,603076,乐惠国际,bottom_area,2023-11-10,27.96,2023-11-02,26.8,4.328358208955224,6.268656716417908,28.666489220122436,False,0.0358,0.8697,2,2,2,100.0,12.133409458559333,13.440860215053762,5.6716417910447765,4.328358208955224,历史2/2次成功; 当前距低点4.33%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
10,73.02028455355517,72.15903159579885,002314,南山控股,bottom_area,2023-11-10,3.1,2023-10-19,2.97,4.377104377104373,7.744107744107744,28.087167070217912,True,-1.2739,1.1247,2,2,2,100.0,12.843169761273208,13.750000000000004,5.622895622895628,4.377104377104373,历史2/2次成功; 当前距低点4.38%; 最新日涨幅-1.27%; 状态bottom_area; 底部已确认
11,62.38672860380431,60.97685903083699,002366,融发核电,bottom_area,2023-11-10,5.19,2023-10-23,5.0,3.8000000000000074,9.2,28.469241773962807,True,-1.7045,1.5094,2,4,2,50.0,20.64977973568282,25.0,6.199999999999993,3.8000000000000074,历史2/4次成功; 当前距低点3.80%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
