rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.07884155826017,87.12899383762132,002819,东方中科,confirmed_rebound,2025-05-26,30.0,2025-05-23,29.5,1.694915254237288,8.101694915254239,27.62512266928361,False,1.6949,8.2042,5,5,5,100.0,24.050540953130696,51.677148846960186,6.305084745762713,1.694915254237288,历史5/5次成功; 当前距低点1.69%; 最新日涨幅1.69%; 状态confirmed_rebound; 底部未确认
2,87.77320316380131,83.04682483800563,002041,登海种业,bottom_area,2025-05-26,9.91,2025-05-26,9.8,1.1224489795918309,1.1224489795918309,27.72861356932153,False,1.0194,0.6629,2,2,2,100.0,18.2043468358871,21.395106715252467,6.87755102040817,1.1224489795918309,历史2/2次成功; 当前距低点1.12%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
3,87.0164175049186,82.51132172961375,688280,精进电动,bottom_area,2025-05-26,7.37,2025-05-26,7.28,1.2362637362637343,3.434065934065934,27.634194831013918,False,-1.2064,4.055,3,3,3,100.0,22.526898109113223,32.37518910741301,6.7637362637362655,1.2362637362637343,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
4,85.45138269913652,82.66848326257458,002490,山东墨龙,bottom_area,2025-05-26,4.04,2025-05-26,3.95,2.278481012658224,2.531645569620244,28.828828828828822,False,1.0,3.1768,3,3,3,100.0,13.674300921695417,14.885496183206094,5.721518987341776,2.278481012658224,历史3/3次成功; 当前距低点2.28%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
5,84.53569245418237,84.3822237235545,688010,福光股份,bottom_area,2025-05-26,32.99,2025-05-23,31.75,3.9055118110236284,4.535433070866135,28.907299596954765,False,3.7095,2.1766,4,4,4,100.0,26.1655411434859,42.08955223880597,4.094488188976372,3.9055118110236284,历史4/4次成功; 当前距低点3.91%; 最新日涨幅3.71%; 状态bottom_area; 底部未确认
6,81.65019843545149,77.88607265771597,300727,润禾材料,bottom_area,2025-05-26,28.24,2025-05-23,27.81,1.5462064005753318,6.076950737144917,30.82089552238807,False,-0.7381,1.1292,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,6.453793599424669,1.5462064005753318,历史6/7次成功; 当前距低点1.55%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
7,80.38816404336161,78.17994124976046,002813,路畅科技,bottom_area,2025-05-26,23.31,2025-05-26,22.73,2.551693796744383,3.739551253849529,29.409937888198762,False,-0.342,6.4949,4,5,4,80.0,42.031199496439,85.16388729154689,5.448306203255617,2.551693796744383,历史4/5次成功; 当前距低点2.55%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
8,79.40135509794072,79.28454545454545,301058,中粮科工,confirmed_rebound,2025-05-26,10.86,2025-04-30,10.45,3.9234449760765564,8.038277511961722,29.77150537634409,True,2.0677,1.4287,1,1,1,100.0,57.794273594909875,57.794273594909875,4.076555023923444,3.9234449760765564,历史1/1次成功; 当前距低点3.92%; 最新日涨幅2.07%; 状态confirmed_rebound; 底部已确认
9,78.68445418318018,73.47119382157943,002304,洋河股份,bottom_area,2025-05-26,66.7,2025-05-26,66.41,0.43668122270743304,1.2498117753350375,30.09473684210527,False,-0.9357,0.4525,2,2,2,100.0,20.62810220081931,20.781426953567394,7.563318777292567,0.43668122270743304,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
10,78.52876795651244,78.83642228739004,000565,渝三峡A,bottom_area,2025-05-26,10.66,2025-05-26,10.23,4.203323558162265,5.571847507331381,30.597014925373134,False,2.6975,14.4178,1,1,1,100.0,57.568807339449535,57.568807339449535,3.7966764418377354,4.203323558162265,历史1/1次成功; 当前距低点4.20%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
11,78.05018462851677,77.78113488869936,001299,美能能源,bottom_area,2025-05-26,10.87,2025-04-29,10.47,3.8204393505252967,7.163323782234957,31.11842105263157,True,0.2768,3.9096,2,2,2,100.0,13.772777461812025,15.247322794492616,4.179560649474704,3.8204393505252967,历史2/2次成功; 当前距低点3.82%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
12,77.11619688039283,78.49447773325772,001223,欧克科技,bottom_area,2025-05-26,38.59,2025-05-26,36.78,4.921152800435025,5.845568243610654,31.661092530657747,False,3.8482,6.9449,3,3,3,100.0,23.627452248653626,30.11687144141446,3.078847199564975,4.921152800435025,历史3/3次成功; 当前距低点4.92%; 最新日涨幅3.85%; 状态bottom_area; 底部未确认
13,75.874058704095,71.23088841554811,688050,爱博医疗,bottom_area,2025-05-26,74.41,2025-05-26,73.88,0.7173795343800774,1.6377910124526367,31.870158613057914,False,-0.9056,1.0191,2,2,2,100.0,12.024267494272554,12.90770757525636,7.282620465619923,0.7173795343800774,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
14,70.07023651567177,68.4463278019522,601022,宁波远洋,bottom_area,2025-05-26,9.61,2025-05-26,9.35,2.780748663101602,2.9946524064171247,30.27591349739001,False,1.6931,16.9049,2,3,2,66.66666666666666,15.590151006221337,17.53424657534247,5.219251336898398,2.780748663101602,历史2/3次成功; 当前距低点2.78%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
15,69.92931122002716,71.19635655492748,301038,深水规院,confirmed_rebound,2025-05-26,14.25,2025-05-19,13.58,4.933726067746686,8.983799705449194,27.379679144385022,True,1.2074,2.009,1,1,1,100.0,18.89920424403183,18.89920424403183,3.066273932253315,4.933726067746686,历史1/1次成功; 当前距低点4.93%; 最新日涨幅1.21%; 状态confirmed_rebound; 底部已确认
