rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,82.26030215977207,77.2740382078468,001227,兰州银行,bottom_area,2023-04-27,2.96,2023-04-26,2.91,1.7182130584192379,2.4054982817869357,30.714285714285715,False,0.0,0.7181,1,1,1,100.0,11.137440758293856,11.137440758293856,8.281786941580762,1.7182130584192379,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,81.82826175965363,78.22681318681319,605133,嵘泰股份,bottom_area,2023-04-27,28.02,2023-04-25,27.3,2.6373626373626333,5.567765567765566,28.79499217527387,False,-0.3556,6.3616,1,1,1,100.0,60.01483679525222,60.01483679525222,7.362637362637367,2.6373626373626333,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
14,81.65501198492649,76.64245033074405,002095,生意宝,bottom_area,2023-04-27,20.03,2023-04-27,19.7,1.675126903553309,5.431472081218276,29.617720614505178,False,-3.9789,5.3804,2,2,2,100.0,23.235159520675253,33.84030418250951,8.32487309644669,1.675126903553309,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
15,81.24415093263663,75.5971359574982,002383,合众思壮,bottom_area,2023-04-27,6.64,2023-04-25,6.56,1.2195121951219523,4.878048780487809,28.07017543859649,False,-0.8955,1.5802,1,1,1,100.0,18.48184818481848,18.48184818481848,8.780487804878048,1.2195121951219523,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
16,81.13952378184585,77.46524296923805,300620,光库科技,confirmed_rebound,2023-04-27,53.53,2023-04-27,52.19,2.5675416746503226,10.672542632688256,28.506849315068493,False,-10.7833,7.6527,4,4,4,100.0,15.479774126025633,22.444343480236245,7.432458325349678,2.5675416746503226,历史4/4次成功; 当前距低点2.57%; 最新日涨幅-10.78%; 状态confirmed_rebound; 底部未确认
17,80.91848256079074,79.61505032102181,002363,隆基机械,bottom_area,2023-04-27,6.78,2023-04-25,6.51,4.147465437788026,5.222734254992317,28.774617067833702,False,0.7429,0.9413,2,2,2,100.0,36.83479311386288,54.96828752642705,5.852534562211975,4.147465437788026,历史2/2次成功; 当前距低点4.15%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
18,80.60523871542571,76.04802849708743,688228,开普云,bottom_area,2023-04-27,45.59,2023-04-27,44.72,1.9454382826475953,6.618962432915923,29.29644268774704,False,-1.4483,3.1711,1,1,1,100.0,29.80445043830074,29.80445043830074,8.054561717352406,1.9454382826475953,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
19,80.59271439544258,75.31898299748113,002741,光华科技,bottom_area,2023-04-27,16.11,2023-04-25,15.88,1.448362720403014,5.919395465994959,30.28972783143108,False,-0.3711,1.3805,1,1,1,100.0,19.791666666666664,19.791666666666664,8.551637279596987,1.448362720403014,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
20,80.57070951625693,76.91714512291831,002146,荣盛发展,bottom_area,2023-04-27,1.6,2023-04-26,1.56,2.5641025641025665,3.2051282051282075,30.973451327433622,False,0.6289,1.3203,1,1,1,100.0,19.587628865979376,19.587628865979376,7.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
21,80.33299105983019,74.0870843934745,002642,荣联科技,bottom_area,2023-04-27,6.69,2023-04-27,6.64,0.7530120481927818,4.066265060240971,28.138528138528144,False,-2.3358,2.9956,2,2,2,100.0,27.816945501903422,35.253456221198164,9.246987951807219,0.7530120481927818,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
