rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.21636320660927,80.68743413301989,002045,国光电器,bottom_area,2023-07-27,13.61,2023-07-26,13.41,1.4914243102162512,7.084265473527212,27.39577693557119,False,0.4428,3.6475,3,4,3,75.0,30.875707313510432,33.77563329312426,18.50857568978375,1.4914243102162512,历史3/4次成功; 当前距低点1.49%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
2,88.82294814866788,78.7399036838206,002590,万安科技,bottom_area,2023-07-27,11.62,2023-07-24,11.24,3.3807829181494573,11.654804270462638,28.589580686149933,True,0.7806,12.9004,1,1,1,100.0,30.204778156996575,30.204778156996575,16.619217081850543,3.3807829181494573,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
3,84.57567539805714,71.29123799023472,301386,未来电器,bottom_area,2023-07-27,27.38,2023-07-27,27.21,0.6247703050349068,4.00588019110621,27.148594377510037,False,-1.1552,12.6678,1,1,1,100.0,27.880184331797242,27.880184331797242,19.375229694965093,0.6247703050349068,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
4,83.86009021621886,74.17517949416711,600995,南网储能,bottom_area,2023-07-27,11.09,2023-06-07,10.74,3.258845437616384,8.379888268156428,32.7909887359199,True,-0.6272,0.6556,1,1,1,100.0,26.64165103189493,26.64165103189493,16.741154562383617,3.258845437616384,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-0.63%; 状态bottom_area; 底部已确认
5,79.69007591038825,71.48566757382785,002755,奥赛康,bottom_area,2023-07-27,8.26,2023-07-17,7.94,4.030226700251881,5.79345088161209,28.853046594982075,False,-0.9592,0.2068,1,1,1,100.0,30.831099195710454,30.831099195710454,15.96977329974812,4.030226700251881,历史1/1次成功; 当前距低点4.03%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
6,68.08372804711425,56.93394030522134,000037,深南电A,bottom_area,2023-07-27,10.57,2023-07-27,10.55,0.18957345971563577,3.7914691943127825,28.619756427604866,False,-1.5829,4.7109,2,6,2,33.33333333333333,39.8001852690304,45.16765285996055,19.810426540284364,0.18957345971563577,历史2/6次成功; 当前距低点0.19%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
7,63.73595527082112,53.98374638179649,300342,天银机电,bottom_area,2023-07-27,11.37,2023-07-25,11.27,0.8873114463176544,5.2351375332741785,27.337201805286917,False,0.088,4.9484,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,19.112688553682347,0.8873114463176544,历史1/3次成功; 当前距低点0.89%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
8,62.71927000134316,53.025331188803484,688320,禾川科技,bottom_area,2023-07-27,37.13,2023-07-27,36.84,0.7871878393051007,5.646036916395217,27.43746306874138,False,-3.3576,4.1479,1,2,1,50.0,33.54902936784469,33.54902936784469,19.2128121606949,0.7871878393051007,历史1/2次成功; 当前距低点0.79%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
9,60.810684894320154,50.91429934406677,603033,三维股份,bottom_area,2023-07-27,15.64,2023-07-17,15.6,0.2564102564102623,5.25641025641027,27.677329624478446,False,-1.7588,0.1648,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,19.74358974358974,0.2564102564102623,历史1/3次成功; 当前距低点0.26%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
10,60.61199743995833,50.61930535758865,002403,爱仕达,bottom_area,2023-07-27,8.49,2023-07-27,8.48,0.11792452830188427,2.240566037735843,32.05128205128205,False,-0.5855,1.6811,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,19.882075471698116,0.11792452830188427,历史1/3次成功; 当前距低点0.12%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
11,59.31273647344214,53.75650823237028,000792,盐湖股份,bottom_area,2023-07-27,19.35,2023-05-30,18.5,4.594594594594603,10.486486486486493,29.49695121951219,True,-0.9724,0.364,1,2,1,50.0,24.904214559386965,24.904214559386965,15.405405405405398,4.594594594594603,历史1/2次成功; 当前距低点4.59%; 最新日涨幅-0.97%; 状态bottom_area; 底部已确认
12,58.225539090015396,49.18797917477812,002829,星网宇达,bottom_area,2023-07-27,31.11,2023-07-27,30.88,0.7448186528497424,3.594559585492226,31.025240116149217,False,-0.9236,2.3363,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.25518134715026,0.7448186528497424,历史1/3次成功; 当前距低点0.74%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
