rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.71278887499794,83.40993875491813,603278,大业股份,bottom_area,2026-01-21,12.49,17.72,2026-01-21,12.26,1.8760195758564473,2.2838499184339263,30.81264108352144,29.51467268623024,False,0.2408,4.8139,2,2,2,100.0,29.393889182101233,31.206657420249666,18.123980424143554,1.8760195758564473,历史2/2次成功; 当前距低点1.88%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
2,91.87069735452285,79.78312497871534,600776,东方通信,bottom_area,2026-01-21,18.6,27.09,2026-01-20,18.19,2.2539857064321063,5.607476635514016,32.85345145810262,31.339977851605756,False,1.197,6.9215,1,1,1,100.0,31.19469026548673,31.19469026548673,17.746014293567892,2.2539857064321063,历史1/1次成功; 当前距低点2.25%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
3,91.62912817364591,78.36851051588968,002639,雪人集团,bottom_area,2026-01-21,20.72,29.21,2026-01-21,20.43,1.4194811551639703,3.279490944689191,30.05819924683328,29.065388565559747,False,-0.7663,12.8494,3,4,3,75.0,39.999610482062025,63.25301204819277,18.580518844836032,1.4194811551639703,历史3/4次成功; 当前距低点1.42%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
4,88.3098750290941,74.3035301476107,600880,博瑞传播,bottom_area,2026-01-21,5.74,7.83,2026-01-21,5.71,0.5253940455341549,3.3274956217162943,27.07535121328225,26.69220945083014,False,-1.2048,4.3382,1,1,1,100.0,42.85714285714287,42.85714285714287,19.474605954465847,0.5253940455341549,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
5,88.21207864114051,74.18030273793445,688562,航天软件,bottom_area,2026-01-21,22.32,30.87,2026-01-21,22.21,0.49527239981989835,3.601981089599283,28.053126012309686,27.696793002915456,False,-2.2767,6.0087,1,1,1,100.0,41.82539682539684,41.82539682539684,19.504727600180104,0.49527239981989835,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
6,87.98046910814209,76.34712868916465,600775,南京熊猫,bottom_area,2026-01-21,14.32,20.04,2026-01-21,14.01,2.212705210563887,3.354746609564601,30.089820359281433,28.54291417165668,False,-0.5556,5.3528,1,1,1,100.0,34.68869123252858,34.68869123252858,17.787294789436114,2.212705210563887,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
7,87.4001436674516,73.17667875359102,688068,热景生物,bottom_area,2026-01-21,152.44,214.78,2026-01-21,152.05,0.25649457415323007,3.8342650443932804,29.206630040040967,29.025048887233453,False,-2.2821,1.5705,3,4,3,75.0,37.669281627206416,49.133924799324014,19.74350542584677,0.25649457415323007,历史3/4次成功; 当前距低点0.26%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
8,87.3574869948181,77.59673725778858,301687,新广益,bottom_area,2026-01-21,63.44,88.3,2026-01-14,61.3,3.491027732463296,3.654159869494294,30.577576443941112,28.154020385050966,False,2.521,17.6254,1,1,1,100.0,34.60365853658537,34.60365853658537,16.508972267536702,3.491027732463296,历史1/1次成功; 当前距低点3.49%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
9,86.28835112681206,72.416937706899,000735,罗牛山,bottom_area,2026-01-21,7.81,11.38,2026-01-21,7.78,0.3856041131105316,1.413881748071972,31.634446397188054,31.37082601054482,False,-1.2642,2.9129,3,4,3,75.0,35.16728540210225,44.303797468354425,19.61439588688947,0.3856041131105316,历史3/4次成功; 当前距低点0.39%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
10,81.94127024198832,74.17790548583291,603178,圣龙股份,bottom_area,2026-01-21,18.46,24.59,2025-12-05,17.66,4.530011325028316,10.135900339750844,28.182187881252542,24.928832858885723,True,0.2716,0.9128,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,15.469988674971685,4.530011325028316,历史5/7次成功; 当前距低点4.53%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
11,81.53366806402333,71.06620786404794,002195,岩山科技,bottom_area,2026-01-21,9.6,13.19,2026-01-21,9.37,2.454642475987198,3.948772678762017,28.961334344200157,27.217589082638362,False,0.6289,12.0075,2,3,2,66.66666666666666,25.67809700339821,30.843373493975886,17.545357524012804,2.454642475987198,历史2/3次成功; 当前距低点2.45%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
