rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.34226974881015,78.33878786047273,301151,冠龙节能,bottom_area,2025-09-25,20.7,2025-09-23,20.38,1.570166830225713,5.004906771344453,28.49122807017544,False,-1.4286,4.4651,1,1,1,100.0,37.520259319286865,37.520259319286865,18.429833169774287,1.570166830225713,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
2,88.12898861752062,77.51329192546585,301009,可靠股份,bottom_area,2025-09-25,13.26,2025-09-23,12.88,2.950310559006203,4.5807453416149055,30.566037735849054,False,-0.5251,1.6215,1,1,1,100.0,53.96648044692738,53.96648044692738,17.0496894409938,2.950310559006203,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
3,76.72643357501923,66.2446803543882,002651,利君股份,bottom_area,2025-09-25,11.06,2025-09-23,10.85,1.93548387096775,5.806451612903233,28.09807819748178,False,-1.8634,2.2789,2,4,2,50.0,35.309589140831555,41.96642685851319,18.064516129032253,1.93548387096775,历史2/4次成功; 当前距低点1.94%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
4,73.89933822417464,65.68830064371079,300534,陇神戎发,bottom_area,2025-09-25,9.68,2025-09-23,9.35,3.529411764705883,5.454545454545452,27.519379844961243,False,-0.8197,2.052,3,5,3,60.0,30.190104662581724,41.58730158730159,16.470588235294116,3.529411764705883,历史3/5次成功; 当前距低点3.53%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
5,72.29405102632542,60.76317814956982,600162,香江控股,bottom_area,2025-09-25,2.15,2025-09-25,2.14,0.46728971962615823,5.607476635514002,32.49211356466876,False,-2.2727,7.1541,2,4,2,50.0,27.68063822751323,28.90624999999999,19.532710280373845,0.46728971962615823,历史2/4次成功; 当前距低点0.47%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
6,68.24610831480342,60.811236313253694,000037,深南电A,bottom_area,2025-09-25,8.49,2025-09-23,8.19,3.663003663003672,4.51770451770453,28.220858895705526,False,0.0,1.4201,3,9,3,33.33333333333333,40.91156629875658,45.16765285996055,16.33699633699633,3.663003663003672,历史3/9次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,67.43173762261797,59.595748113520266,600316,洪都航空,bottom_area,2025-09-25,35.0,2025-09-16,33.91,3.2143910350929032,9.407254497198482,28.565409732462616,True,-1.9608,1.4633,2,5,2,40.0,27.712686416839073,30.462519936204153,16.785608964907098,3.2143910350929032,历史2/5次成功; 当前距低点3.21%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
8,65.97973397234011,57.67459263316444,603839,安正时尚,bottom_area,2025-09-25,8.25,2025-09-23,8.04,2.6119402985074736,9.328358208955224,30.569948186528507,True,-3.169,3.2153,1,2,1,50.0,31.88073394495412,31.88073394495412,17.388059701492526,2.6119402985074736,历史1/2次成功; 当前距低点2.61%; 最新日涨幅-3.17%; 状态bottom_area; 底部已确认
9,65.19636527677528,59.071445783132525,601900,南方传媒,bottom_area,2025-09-25,13.02,2025-09-23,12.45,4.578313253012051,5.220883534136549,30.756395995550616,False,1.5601,1.1924,1,2,1,50.0,39.999999999999986,39.999999999999986,15.42168674698795,4.578313253012051,历史1/2次成功; 当前距低点4.58%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
10,62.4801160396277,52.43794573643413,000718,苏宁环球,bottom_area,2025-09-25,2.59,2025-09-23,2.58,0.3875968992247979,4.651162790697678,31.2,False,-2.9963,4.8494,1,4,1,25.0,36.111111111111114,36.111111111111114,19.612403100775204,0.3875968992247979,历史1/4次成功; 当前距低点0.39%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
11,61.88060301445863,53.43572072072074,002115,三维通信,bottom_area,2025-09-25,11.01,2025-09-23,10.8,1.9444444444444358,7.499999999999988,27.272727272727266,False,-1.959,9.7311,1,4,1,25.0,20.720720720720706,20.720720720720706,18.055555555555568,1.9444444444444358,历史1/4次成功; 当前距低点1.94%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
12,61.79170240433731,54.5757844280261,000096,广聚能源,bottom_area,2025-09-25,11.36,2025-09-23,11.01,3.178928247048135,5.812897366030886,28.039215686274517,False,-1.815,0.9531,1,2,1,50.0,21.149144254278735,21.149144254278735,16.821071752951866,3.178928247048135,历史1/2次成功; 当前距低点3.18%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
13,59.8658723448971,50.580245234654555,000545,金浦钛业,bottom_area,2025-09-25,2.68,2025-09-25,2.66,0.7518796992481209,6.766917293233071,29.999999999999993,False,-5.6338,15.4896,2,6,2,33.33333333333333,22.748374277456644,24.6875,19.248120300751882,0.7518796992481209,历史2/6次成功; 当前距低点0.75%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
14,52.08575058701545,44.13372759663141,000679,大连友谊,bottom_area,2025-09-25,7.77,2025-09-23,7.7,0.9090909090909013,4.805194805194807,27.083333333333336,False,-1.6456,3.0312,1,8,1,12.5,24.94061757719715,24.94061757719715,19.0909090909091,0.9090909090909013,历史1/8次成功; 当前距低点0.91%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
