rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
29,72.82416034776335,68.03452947287309,301539,宏鑫科技,bottom_area,2024-04-22,26.0,2024-04-22,25.88,0.46367851622875195,5.680061823802173,29.864498644986448,False,-9.3761,38.7845,1,1,1,100.0,18.61137897782063,18.61137897782063,7.536321483771248,0.46367851622875195,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-9.38%; 状态bottom_area; 底部未确认
30,72.31083166184837,72.99687680777822,002467,二六三,confirmed_rebound,2024-04-22,3.49,2024-04-16,3.34,4.491017964071867,10.179640718562883,28.172043010752695,True,-0.8523,1.5254,3,3,3,100.0,12.292461106785295,13.91509433962264,3.5089820359281334,4.491017964071867,历史3/3次成功; 当前距低点4.49%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
31,71.51344762983545,71.79468473971241,688177,百奥泰,bottom_area,2024-04-22,29.0,2024-04-22,27.83,4.204096298957966,6.539705353934605,32.939759036144586,False,2.1486,0.5989,1,1,1,100.0,12.15066828675577,12.15066828675577,3.7959037010420347,4.204096298957966,历史1/1次成功; 当前距低点4.20%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
32,70.88770620926135,71.02766219387983,002377,国创高新,bottom_area,2024-04-22,2.03,2024-04-22,1.95,4.102564102564095,6.666666666666672,30.107526881720432,False,-2.4038,2.8591,2,2,2,100.0,12.588754557666471,14.814814814814808,3.8974358974359053,4.102564102564095,历史2/2次成功; 当前距低点4.10%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
33,70.68218523317705,71.69505266114939,301393,昊帆生物,confirmed_rebound,2024-04-22,38.45,2024-04-16,36.71,4.739852901116867,8.96213565785889,31.38317757009346,True,1.1842,3.361,1,1,1,100.0,19.203856320945413,19.203856320945413,3.260147098883133,4.739852901116867,历史1/1次成功; 当前距低点4.74%; 最新日涨幅1.18%; 状态confirmed_rebound; 底部已确认
34,67.11903120406421,66.30263986013988,002319,乐通股份,confirmed_rebound,2024-04-22,11.37,2024-04-22,11.0,3.3636363636363567,10.363636363636369,27.86885245901639,False,-3.8071,1.6209,1,1,1,100.0,15.224358974358976,15.224358974358976,4.636363636363643,3.3636363636363567,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-3.81%; 状态confirmed_rebound; 底部未确认
35,65.66547488576816,66.7934837692448,002410,广联达,confirmed_rebound,2024-04-22,10.09,2024-04-16,9.62,4.885654885654893,8.939708939708952,32.301196340605216,True,-0.2964,2.0148,3,4,3,75.0,21.27837047601048,39.688715953307394,3.1143451143451073,4.885654885654893,历史3/4次成功; 当前距低点4.89%; 最新日涨幅-0.30%; 状态confirmed_rebound; 底部已确认
36,60.05847468502792,60.4447028180506,002177,御银股份,confirmed_rebound,2024-04-22,3.13,2024-04-17,3.0,4.33333333333333,9.333333333333327,30.71593533487298,True,-0.6349,1.7178,2,3,2,66.66666666666666,15.096968555827523,19.574468085106382,3.6666666666666696,4.33333333333333,历史2/3次成功; 当前距低点4.33%; 最新日涨幅-0.63%; 状态confirmed_rebound; 底部已确认
37,52.21708474576272,48.349152542372885,002643,万润股份,bottom_area,2024-04-22,11.12,2024-04-22,11.12,0.0,4.316546762589932,28.76361306854581,False,-9.9595,2.7961,1,2,1,50.0,11.016949152542377,11.016949152542377,8.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
38,51.68872665926748,51.61082352941177,002239,奥特佳,confirmed_rebound,2024-04-22,2.65,2024-04-16,2.55,3.921568627450984,8.627450980392165,29.75206611570248,True,-1.487,1.2353,1,2,1,50.0,15.333333333333332,15.333333333333332,4.078431372549017,3.921568627450984,历史1/2次成功; 当前距低点3.92%; 最新日涨幅-1.49%; 状态confirmed_rebound; 底部已确认
