rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.88592478996473,80.56660132139118,603229,奥翔药业,bottom_area,2022-09-16,25.32,2022-09-16,25.06,1.0375099760574684,4.748603351955313,28.297567954220327,False,-2.8396,1.2728,2,2,2,100.0,26.30174229463547,41.48479427549196,8.962490023942532,1.0375099760574684,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
2,85.19427879906371,77.60679220708514,600367,红星发展,bottom_area,2022-09-16,18.82,2022-09-16,18.8,0.10638297872340198,3.7234042553191453,27.328952454580595,False,-3.7832,2.7508,4,4,4,100.0,15.695405368679975,24.161490683229793,9.893617021276599,0.10638297872340198,历史4/4次成功; 当前距低点0.11%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
3,84.4937537390321,76.81250339912009,300437,清水源,bottom_area,2022-09-16,17.64,2022-09-16,17.64,0.0,4.535147392290254,28.380024360535927,False,-4.1825,2.5038,6,6,6,100.0,22.379050532903687,30.330330330330323,10.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-4.18%; 状态bottom_area; 底部未确认
4,83.0955584446675,79.43765836576942,002115,三维通信,bottom_area,2022-09-16,5.06,2022-09-15,4.93,2.636916835699795,5.476673427991896,30.07092198581561,False,1.2,10.3815,2,2,2,100.0,17.364670705187947,20.720720720720706,7.363083164300205,2.636916835699795,历史2/2次成功; 当前距低点2.64%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
5,82.59512498142227,75.35856491769471,300508,维宏股份,bottom_area,2022-09-16,21.15,2022-09-16,21.11,0.18948365703457673,3.2685930838465245,29.137294394091978,False,-2.4896,1.0029,2,2,2,100.0,27.74509492329859,42.06627680311891,9.810516342965423,0.18948365703457673,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
6,80.98454215112955,74.25739168490153,603315,福鞍股份,bottom_area,2022-09-16,20.09,2022-09-16,20.0,0.4499999999999993,2.3499999999999943,27.771758757674252,False,-1.4713,0.4444,1,1,1,100.0,41.68490153172865,41.68490153172865,9.55,0.4499999999999993,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
7,79.53602087363532,72.30547352148665,688079,美迪凯,bottom_area,2022-09-16,9.56,2022-09-15,9.56,0.0,5.43933054393305,28.389513108614228,False,-1.9487,0.6039,2,2,2,100.0,21.265986674659317,29.007036747458958,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
8,79.44092936089609,72.47717129777074,000936,华西股份,bottom_area,2022-09-16,5.36,2022-09-16,5.35,0.1869158878504799,2.9906542056074796,27.80026990553307,False,-2.5455,1.1374,2,2,2,100.0,12.222255494999095,13.427561837455826,9.813084112149522,0.1869158878504799,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
9,78.85931587564923,72.94486718497554,300484,蓝海华腾,bottom_area,2022-09-16,11.1,2022-09-16,11.0,0.909090909090906,3.2727272727272676,27.86885245901639,False,-1.1576,1.7246,2,2,2,100.0,23.589217514531214,28.708133971291865,9.090909090909093,0.909090909090906,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
10,78.71124169558323,72.30588353463459,688280,精进电动,bottom_area,2022-09-16,9.2,2022-09-16,9.15,0.5464480874316823,2.73224043715847,27.265500794912555,False,-1.3934,1.4722,1,1,1,100.0,32.37518910741301,32.37518910741301,9.453551912568319,0.5464480874316823,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
11,78.42256205396637,71.5181718250565,002451,摩恩电气,bottom_area,2022-09-16,6.07,2022-09-16,6.06,0.16501650165017617,3.465346534653465,27.684964200477342,False,-1.6207,1.3791,1,1,1,100.0,23.464566929133863,23.464566929133863,9.834983498349823,0.16501650165017617,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
12,78.40903280821767,71.70431019512694,688183,生益电子,bottom_area,2022-09-16,9.7,2022-09-15,9.67,0.3102378490175735,5.687693898655644,27.07390648567119,False,-1.0204,0.6449,1,1,1,100.0,26.24544349939247,26.24544349939247,9.689762150982427,0.3102378490175735,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
