rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3036252955194,76.94196099610076,002639,雪人集团,bottom_area,2026-01-20,20.88,29.21,2026-01-20,20.63,1.211827435773146,9.306834706737769,29.373502225265323,28.517630948305378,False,-5.2202,20.7786,3,4,3,75.0,39.999610482062025,63.25301204819277,18.788172564226855,1.211827435773146,历史3/4次成功; 当前距低点1.21%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
2,90.01394352887628,76.46068407712107,600776,东方通信,bottom_area,2026-01-20,18.38,27.09,2026-01-20,18.19,1.0445299615173047,5.607476635514016,32.85345145810262,32.15208564045774,False,-3.4157,9.994,1,1,1,100.0,31.19469026548673,31.19469026548673,18.955470038482698,1.0445299615173047,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
3,89.73167783119268,77.0651846906987,688562,航天软件,bottom_area,2026-01-20,22.84,30.87,2026-01-20,22.47,1.6466399643969782,8.277703604806407,27.210884353741505,26.01230968577908,False,-5.6198,9.3848,1,1,1,100.0,41.82539682539684,41.82539682539684,18.35336003560302,1.6466399643969782,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
4,89.51326098944126,76.44353921527424,600775,南京熊猫,bottom_area,2026-01-20,14.4,20.04,2026-01-20,14.21,1.337086558761432,5.911330049261082,29.091816367265462,28.143712574850294,False,-3.4853,7.9479,1,1,1,100.0,34.68869123252858,34.68869123252858,18.66291344123857,1.337086558761432,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
5,86.93423531233833,74.9830851287419,688068,热景生物,bottom_area,2026-01-20,156.0,214.78,2026-01-20,153.12,1.8808777429467054,7.425548589341696,28.70844585156905,27.36753887699041,False,-4.1239,1.836,3,4,3,75.0,37.669281627206416,49.133924799324014,18.119122257053295,1.8808777429467054,历史3/4次成功; 当前距低点1.88%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
6,86.81534406283694,74.2106313465784,603598,引力传媒,bottom_area,2026-01-20,24.08,34.48,2026-01-20,23.75,1.389473684210519,9.684210526315793,31.119489559164727,30.16241299303944,False,-5.6426,19.1864,1,1,1,100.0,23.325974981604134,23.325974981604134,18.610526315789482,1.389473684210519,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-5.64%; 状态bottom_area; 底部未确认
7,86.30938323620444,72.42809478022248,000735,罗牛山,bottom_area,2026-01-20,7.91,11.38,2026-01-16,7.88,0.38071065989848035,4.060913705583748,30.75571177504394,30.492091388400706,False,-2.9448,4.0924,3,4,3,75.0,35.16728540210225,44.303797468354425,19.61928934010152,0.38071065989848035,历史3/4次成功; 当前距低点0.38%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
8,86.28067241441447,73.70216891891894,003007,直真科技,bottom_area,2026-01-20,41.25,59.77,2026-01-20,40.7,1.3513513513513442,8.181818181818178,31.90563828007361,30.98544420277732,False,-5.3248,19.2168,1,1,1,100.0,20.124999999999993,20.124999999999993,18.64864864864866,1.3513513513513442,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
9,85.54563003607785,72.35260319369605,603278,大业股份,bottom_area,2026-01-20,12.46,17.72,2026-01-20,12.36,0.8090614886731508,5.501618122977344,30.248306997742663,29.683972911963874,False,-4.4479,9.0633,2,2,2,100.0,29.393889182101233,31.206657420249666,19.19093851132685,0.8090614886731508,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-4.45%; 状态bottom_area; 底部未确认
10,84.69008339431892,71.80902110770698,301687,新广益,bottom_area,2026-01-20,61.88,88.3,2026-01-14,61.3,0.9461663947797804,3.654159869494294,30.577576443941112,29.920724801812,False,-2.3667,13.5062,1,1,1,100.0,34.60365853658537,34.60365853658537,19.053833605220223,0.9461663947797804,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
11,81.4774850694239,69.85381093057606,688246,嘉和美康,bottom_area,2026-01-20,27.5,39.0,2026-01-20,27.08,1.5509601181683965,6.351550960118178,30.56410256410257,29.48717948717949,False,-2.3091,4.5287,2,4,2,50.0,53.820745366240445,58.0508474576271,18.449039881831606,1.5509601181683965,历史2/4次成功; 当前距低点1.55%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
12,80.673974322527,69.0870480284477,002195,岩山科技,bottom_area,2026-01-20,9.54,13.19,2026-01-20,9.4,1.4893617021276466,5.106382978723409,28.733889310083395,27.672479150871876,False,-0.8316,18.1064,2,3,2,66.66666666666666,25.67809700339821,30.843373493975886,18.510638297872354,1.4893617021276466,历史2/3次成功; 当前距低点1.49%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
13,80.27316219250795,69.95168316831685,300337,银邦股份,bottom_area,2026-01-20,15.52,21.73,2026-01-20,15.15,2.4422442244224367,16.50165016501649,30.28071790151864,28.578002761159695,False,-8.9202,15.2362,3,5,3,60.0,62.81480014603586,131.5277777777778,17.557755775577565,2.4422442244224367,历史3/5次成功; 当前距低点2.44%; 最新日涨幅-8.92%; 状态bottom_area; 底部未确认
