rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.31542460735103,88.14133146477715,300720,海川智能,bottom_area,2025-03-31,20.9,2025-03-28,20.23,3.3119130004943065,3.80622837370242,31.423728813559322,False,2.001,3.2363,5,5,5,100.0,39.09942530055998,75.69193742478939,4.6880869995056935,3.3119130004943065,历史5/5次成功; 当前距低点3.31%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
2,85.65905333210934,83.73739963533502,603289,泰瑞机器,bottom_area,2025-03-31,8.75,2025-03-31,8.51,2.8202115158636922,3.5252643948296205,27.512776831345832,False,0.4592,4.6536,3,3,3,100.0,26.061730599485188,40.702947845804985,5.179788484136308,2.8202115158636922,历史3/3次成功; 当前距低点2.82%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
3,85.61090541402733,81.99195036350042,000736,中交地产,bottom_area,2025-03-31,5.22,2025-03-25,5.13,1.7543859649122777,7.992202729044837,29.822161422708614,True,-2.6119,2.6026,3,3,3,100.0,16.892206255378625,19.029126213592225,6.245614035087723,1.7543859649122777,历史3/3次成功; 当前距低点1.75%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
4,84.5746148825176,81.82931680805842,688111,金山办公,bottom_area,2025-03-31,299.12,2025-03-31,292.44,2.284229243605528,3.2211735740664804,27.251921689594273,False,-1.5405,1.7581,5,5,5,100.0,15.039567115478667,27.68058076225045,5.715770756394472,2.284229243605528,历史5/5次成功; 当前距低点2.28%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
5,84.41719910393603,78.16407324438521,002553,南方精工,bottom_area,2025-03-31,20.38,2025-03-31,20.38,0.0,4.95583905789991,28.94002789400279,False,-9.9823,31.8838,8,8,8,100.0,29.64555507733978,83.5926449787836,8.0,0.0,历史8/8次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
6,84.20033536166582,81.50555467580179,001202,炬申股份,bottom_area,2025-03-31,15.51,2025-03-31,15.16,2.3087071240105517,6.926121372031667,32.109270040304516,False,-1.2102,7.6885,6,6,6,100.0,13.598961927665792,15.531135531135526,5.691292875989448,2.3087071240105517,历史6/6次成功; 当前距低点2.31%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
7,84.17896669105521,81.83375625853222,300697,电工合金,bottom_area,2025-03-31,15.8,2025-03-31,15.41,2.530824140168725,3.634003893575603,27.34559170202735,False,-1.3117,9.3248,4,4,4,100.0,18.086211280198423,31.64400494437578,5.469175859831275,2.530824140168725,历史4/4次成功; 当前距低点2.53%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
8,83.79128474288954,80.30211918103008,603028,赛福天,bottom_area,2025-03-31,6.26,2025-03-31,6.15,1.7886178861788524,5.040650406504058,32.713347921225385,False,-3.096,8.4082,3,3,3,100.0,27.635311621063757,43.67816091954023,6.211382113821148,1.7886178861788524,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
9,83.45411884533547,80.94524019631868,000757,浩物股份,bottom_area,2025-03-31,3.82,2025-03-31,3.73,2.412868632707771,3.4852546916890055,28.952380952380953,False,-1.7995,3.7765,3,3,3,100.0,28.530003649959063,52.941176470588246,5.587131367292229,2.412868632707771,历史3/3次成功; 当前距低点2.41%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
10,83.40130251157397,81.98227666785056,600203,福日电子,bottom_area,2025-03-31,9.29,2025-03-31,9.01,3.1076581576026565,3.329633740288576,32.50936329588015,False,0.0,4.6864,3,3,3,100.0,20.149125092390385,24.045801526717554,4.892341842397344,3.1076581576026565,历史3/3次成功; 当前距低点3.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,83.12338989835975,79.0607547143101,600097,开创国际,bottom_area,2025-03-31,9.45,2025-03-31,9.32,1.3948497854077146,3.1115879828326087,27.751937984496124,False,-1.357,3.7235,2,2,2,100.0,22.586087231396153,30.552291421856637,6.605150214592285,1.3948497854077146,历史2/2次成功; 当前距低点1.39%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
12,82.87088714992538,79.6491247985244,002725,跃岭股份,bottom_area,2025-03-31,11.57,2025-03-31,11.35,1.938325991189433,3.87665198237885,29.10680824484698,False,-1.7827,2.7056,3,3,3,100.0,15.744666980840336,18.562874251497018,6.061674008810567,1.938325991189433,历史3/3次成功; 当前距低点1.94%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
13,82.37548756483277,79.7588607385854,300746,汉嘉数智,bottom_area,2025-03-31,11.9,2025-03-31,11.63,2.321582115219257,2.923473774720549,27.584059775840586,False,-1.0806,1.7359,3,3,3,100.0,21.03262344777049,36.90896259703598,5.6784178847807425,2.321582115219257,历史3/3次成功; 当前距低点2.32%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
14,82.26193831345849,77.92191970735655,603163,圣晖集成,bottom_area,2025-03-31,24.82,2025-03-31,24.53,1.1822258459029724,2.5682837342030127,27.05917335712162,False,-1.3514,5.5485,1,1,1,100.0,30.52362707535122,30.52362707535122,6.8177741540970285,1.1822258459029724,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
15,81.60272035997055,82.38505970786633,688023,安恒信息,bottom_area,2025-03-31,52.99,2025-03-31,50.71,4.4961546046144765,6.487872214553341,29.451864218141345,False,1.8843,2.9006,4,4,4,100.0,22.668237668749086,39.261744966442954,3.5038453953855235,4.4961546046144765,历史4/4次成功; 当前距低点4.50%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
16,81.15658676526171,79.97059980213862,002406,远东传动,bottom_area,2025-03-31,7.66,2025-03-31,7.42,3.234501347708898,5.929919137466313,31.801470588235297,False,-3.4048,15.0201,5,5,5,100.0,26.910015456531745,67.88321167883211,4.765498652291102,3.234501347708898,历史5/5次成功; 当前距低点3.23%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
17,80.99510069015903,74.9954636019991,605069,正和生态,bottom_area,2025-03-31,9.41,2025-03-31,9.41,0.0,0.9564293304994672,27.11076684740511,False,-10.0382,8.0041,5,5,5,100.0,12.610019365586558,18.036809815950903,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
18,80.84770881188885,81.18306052490047,300608,思特奇,bottom_area,2025-03-31,11.62,2025-03-31,11.15,4.21524663677129,4.932735426008959,27.456083279115152,False,0.2588,4.0554,4,4,4,100.0,12.762488477091367,16.384180790960464,3.78475336322871,4.21524663677129,历史4/4次成功; 当前距低点4.22%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
19,80.45677034319736,80.58112702959028,002730,电光科技,bottom_area,2025-03-31,16.07,2025-03-31,15.44,4.080310880829021,4.404145077720218,31.071428571428566,False,-1.2293,4.1429,3,3,3,100.0,47.012020633765786,113.1578947368421,3.9196891191709793,4.080310880829021,历史3/3次成功; 当前距低点4.08%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
20,79.37779311410652,77.24651907597871,002300,太阳电缆,bottom_area,2025-03-31,6.35,2025-03-31,6.19,2.584814216478178,6.623586429725351,29.579067121729224,False,-7.7035,14.2605,2,2,2,100.0,37.633846718005124,38.41584158415842,5.415185783521822,2.584814216478178,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-7.70%; 状态bottom_area; 底部未确认
21,79.21329918686419,76.05828869293502,300671,富满微,confirmed_rebound,2025-03-31,27.0,2025-03-31,26.5,1.8867924528301887,14.943396226415098,30.023765513599148,False,-14.5028,7.3503,3,3,3,100.0,16.23750260961202,20.266753415744958,6.113207547169812,1.8867924528301887,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-14.50%; 状态confirmed_rebound; 底部未确认
22,79.14162303644412,75.98082088752317,601798,蓝科高新,bottom_area,2025-03-31,6.5,2025-03-31,6.38,1.8808777429467103,4.231974921630101,29.96706915477497,False,-2.4024,4.5272,5,6,5,83.33333333333334,14.762843054345781,21.74721189591078,6.119122257053291,1.8808777429467103,历史5/6次成功; 当前距低点1.88%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
23,79.10704886698417,74.81573144093791,300721,怡达股份,confirmed_rebound,2025-03-31,13.78,2025-03-31,13.63,1.1005135730007232,9.170946441672779,31.5075376884422,False,-9.8168,19.5216,6,7,6,85.71428571428571,14.204544325389381,22.270742358078603,6.899486426999276,1.1005135730007232,历史6/7次成功; 当前距低点1.10%; 最新日涨幅-9.82%; 状态confirmed_rebound; 底部未确认
24,78.84664286371324,73.00615079973448,002278,神开股份,bottom_area,2025-03-31,8.42,2025-03-31,8.42,0.0,3.087885985748216,29.833333333333336,False,-10.0427,5.4691,3,3,3,100.0,18.581455912550933,33.74485596707818,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
25,78.32901867330396,78.12808012543483,603211,晋拓股份,bottom_area,2025-03-31,17.73,2025-03-31,17.07,3.8664323374340954,5.448154657293496,27.36170212765957,False,-2.5824,14.6075,5,5,5,100.0,14.53519276765894,17.962003454231418,4.133567662565905,3.8664323374340954,历史5/5次成功; 当前距低点3.87%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
26,78.175801845945,75.66115921324669,605228,神通科技,confirmed_rebound,2025-03-31,10.23,2025-03-31,10.0,2.3000000000000043,8.800000000000008,27.79783393501805,False,-5.5402,2.6756,3,3,3,100.0,19.167522651864033,20.32967032967033,5.699999999999996,2.3000000000000043,历史3/3次成功; 当前距低点2.30%; 最新日涨幅-5.54%; 状态confirmed_rebound; 底部未确认
27,77.93465538872377,73.67661877348736,603081,大丰实业,bottom_area,2025-03-31,11.24,2025-03-31,11.12,1.079136690647491,5.6654676258992875,32.68765133171913,False,-7.8689,7.2185,1,1,1,100.0,16.65080875356803,16.65080875356803,6.92086330935251,1.079136690647491,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-7.87%; 状态bottom_area; 底部未确认
28,77.18852543894067,73.39711074550414,002387,维信诺,bottom_area,2025-03-31,9.54,2025-03-31,9.41,1.3815090329436663,3.1880977683315694,28.81996974281392,False,-0.7284,1.2259,1,1,1,100.0,8.639523336643487,8.639523336643487,6.618490967056334,1.3815090329436663,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
29,76.91882841859426,73.93035406403942,603280,南方路机,bottom_area,2025-03-31,23.65,2025-03-31,23.2,1.93965517241379,5.6896551724137945,28.240024744819053,False,-1.0046,18.639,1,1,1,100.0,18.348214285714302,18.348214285714302,6.06034482758621,1.93965517241379,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
30,76.85577486650281,75.82891424665686,300386,飞天诚信,bottom_area,2025-03-31,14.71,2025-03-31,14.24,3.3005617977528137,4.494382022471914,30.536585365853657,False,-2.1941,4.9801,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,4.699438202247187,3.3005617977528137,历史8/9次成功; 当前距低点3.30%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
31,76.78954359720704,74.8519135742762,002178,延华智能,bottom_area,2025-03-31,6.15,2025-03-31,5.99,2.67111853088481,4.674457429048403,27.305825242718445,False,-2.6899,3.3621,5,6,5,83.33333333333334,18.38027145892594,29.076086956521735,5.32888146911519,2.67111853088481,历史5/6次成功; 当前距低点2.67%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
32,76.67448060296577,76.5198195170633,300397,天和防务,bottom_area,2025-03-31,12.27,2025-03-31,11.81,3.895004233700246,4.995766299745977,28.42424242424242,False,-1.5249,7.6524,3,3,3,100.0,22.905533171504533,45.75260804769001,4.104995766299754,3.895004233700246,历史3/3次成功; 当前距低点3.90%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
33,76.38423305349976,74.65878556488899,300676,华大基因,bottom_area,2025-03-31,52.65,2025-03-31,51.21,2.8119507908611556,3.964069517672332,27.155049786628734,False,-0.7727,1.1522,2,2,2,100.0,16.290501978776426,23.258538343696497,5.188049209138844,2.8119507908611556,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
34,76.34436786009013,77.52800147032409,002279,久其软件,bottom_area,2025-03-31,6.55,2025-03-31,6.25,4.799999999999997,4.799999999999997,28.977272727272734,False,1.0802,3.5353,3,3,3,100.0,16.94624446410791,25.915492957746476,3.200000000000003,4.799999999999997,历史3/3次成功; 当前距低点4.80%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
35,75.72045872495305,74.74973111395644,002401,中远海科,bottom_area,2025-03-31,16.14,2025-03-31,15.62,3.329065300896296,5.953905249679908,28.414298808432637,False,-3.4689,6.1841,1,1,1,100.0,68.49925705794946,68.49925705794946,4.670934699103705,3.329065300896296,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
36,75.25769643711108,76.42961723470997,000536,华映科技,bottom_area,2025-03-31,4.8,2025-03-31,4.58,4.803493449781654,5.458515283842795,27.3015873015873,False,0.2088,2.9228,3,3,3,100.0,11.083775807592168,11.280487804878053,3.1965065502183463,4.803493449781654,历史3/3次成功; 当前距低点4.80%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
37,75.09683499493596,75.54399509298977,301389,隆扬电子,bottom_area,2025-03-31,22.03,2025-03-31,21.12,4.308712121212121,6.250000000000002,31.428571428571427,False,0.7316,10.1562,2,2,2,100.0,16.92397166319034,18.998628257887525,3.6912878787878793,4.308712121212121,历史2/2次成功; 当前距低点4.31%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
38,75.04053412910714,74.57000476842036,301366,一博科技,bottom_area,2025-03-31,53.63,2025-03-31,51.73,3.672917069398813,3.7115793543398454,31.483443708609276,False,-0.5747,6.6421,2,2,2,100.0,26.366966057256242,36.479591836734706,4.327082930601187,3.672917069398813,历史2/2次成功; 当前距低点3.67%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
39,74.89453034683133,72.36727683985437,000890,法尔胜,bottom_area,2025-03-31,3.23,2025-03-31,3.16,2.2151898734177164,3.797468354430369,27.853881278538807,False,-2.4169,4.8477,3,4,3,75.0,17.488762103477214,32.954545454545446,5.7848101265822836,2.2151898734177164,历史3/4次成功; 当前距低点2.22%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
40,73.60216011540875,71.91786605039434,300509,新美星,bottom_area,2025-03-31,7.72,2025-03-31,7.51,2.7962716378162447,3.8615179760319576,30.783410138248847,False,-0.5155,2.952,1,1,1,100.0,18.028846153846153,18.028846153846153,5.203728362183756,2.7962716378162447,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
41,72.5167800112471,72.2203842147588,301608,博实结,bottom_area,2025-03-31,83.04,2025-03-31,80.01,3.7870266216722923,4.186976627921502,29.506607929515415,False,0.399,8.0895,1,1,1,100.0,9.326908129954921,9.326908129954921,4.212973378327708,3.7870266216722923,历史1/1次成功; 当前距低点3.79%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
42,72.29413909856676,72.14399550750016,002599,盛通股份,bottom_area,2025-03-31,9.61,2025-03-31,9.25,3.8918918918918854,5.081081081081088,31.53219837157661,False,-1.8386,6.4902,2,2,2,100.0,16.008113016202447,22.107969151670947,4.108108108108115,3.8918918918918854,历史2/2次成功; 当前距低点3.89%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
43,72.19419292791879,72.72130033977759,000555,神州信息,bottom_area,2025-03-31,11.92,2025-03-31,11.42,4.378283712784588,4.903677758318743,28.580362726704188,False,-1.1609,5.4043,2,2,2,100.0,25.074124757669058,41.139240506329116,3.6217162872154116,4.378283712784588,历史2/2次成功; 当前距低点4.38%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
44,72.14612318603774,71.16323223305578,002123,梦网科技,bottom_area,2025-03-31,14.77,2025-03-31,14.3,3.2867132867132782,3.6363636363636336,30.141670737664867,False,0.2716,5.0009,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,4.713286713286722,3.2867132867132782,历史2/3次成功; 当前距低点3.29%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
45,71.61007724576267,70.01491541874655,300183,东软载波,bottom_area,2025-03-31,18.54,2025-03-31,18.03,2.828618968386012,3.7160288408208437,28.67879746835443,False,-1.4878,3.2629,1,1,1,100.0,8.194444444444441,8.194444444444441,5.171381031613988,2.828618968386012,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
46,71.1466135845347,70.5997654383456,000710,贝瑞基因,bottom_area,2025-03-31,13.53,2025-03-31,13.06,3.5987748851454735,4.5941807044410385,31.443569553805773,False,-1.6715,7.6467,4,5,4,80.0,14.11275363697457,17.3469387755102,4.401225114854527,3.5987748851454735,历史4/5次成功; 当前距低点3.60%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
47,70.81519199190214,71.32037336190865,301596,瑞迪智驱,bottom_area,2025-03-31,128.98,2025-03-31,123.58,4.3696391001780155,7.242272212332095,28.151162790697676,False,-3.8897,10.734,3,3,3,100.0,10.984680162981347,12.830898307536534,3.630360899821985,4.3696391001780155,历史3/3次成功; 当前距低点4.37%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
48,69.45464707499866,70.57585210128863,601789,宁波建工,bottom_area,2025-03-31,5.64,2025-03-31,5.38,4.832713754646837,5.762081784386627,27.882037533512065,False,0.3559,6.5598,1,1,1,100.0,13.303437967115093,13.303437967115093,3.167286245353164,4.832713754646837,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
49,68.5495922810678,68.2290812767479,300530,领湃科技,bottom_area,2025-03-31,22.65,2025-03-31,21.83,3.7562986715529108,5.222171323866242,28.660130718954257,False,-1.436,2.608,5,7,5,71.42857142857143,21.869505172979846,34.07510431154381,4.24370132844709,3.7562986715529108,历史5/7次成功; 当前距低点3.76%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
50,65.37862844801376,60.53576708149422,600960,渤海汽车,bottom_area,2025-03-31,3.38,2025-03-31,3.38,0.0,4.733727810650891,30.737704918032787,False,-10.1064,5.5565,2,4,2,50.0,43.20304882523773,69.9604743083004,8.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-10.11%; 状态bottom_area; 底部未确认
51,52.99053839392725,53.05967151642421,300451,创业慧康,bottom_area,2025-03-31,6.14,2025-03-31,5.9,4.06779661016948,4.745762711864396,27.60736196319018,False,-0.9677,4.3912,1,2,1,50.0,23.89380530973452,23.89380530973452,3.93220338983052,4.06779661016948,历史1/2次成功; 当前距低点4.07%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
