rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.8923371333598,89.33619137332045,688206,概伦电子,bottom_area,2025-04-29,20.8,2025-04-28,20.51,1.4139444173573823,4.388103364212572,27.75625220147939,False,0.241,1.9574,4,4,4,100.0,22.257981961802596,39.570720968629594,6.586055582642618,1.4139444173573823,历史4/4次成功; 当前距低点1.41%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
2,90.71619967806076,85.84372881355931,301058,中粮科工,bottom_area,2025-04-29,10.74,2025-04-24,10.62,1.129943502824868,3.860640301318269,28.629032258064523,False,0.656,1.9746,1,1,1,100.0,57.794273594909875,57.794273594909875,6.870056497175132,1.129943502824868,历史1/1次成功; 当前距低点1.13%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
3,89.46117162409011,84.53800188784153,603169,兰石重装,bottom_area,2025-04-29,6.69,2025-04-29,6.62,1.057401812688826,3.927492447129906,32.44897959183674,False,-5.6417,6.903,4,4,4,100.0,24.778914090172343,49.872122762148344,6.942598187311175,1.057401812688826,历史4/4次成功; 当前距低点1.06%; 最新日涨幅-5.64%; 状态bottom_area; 底部未确认
4,84.76835273846504,82.4148086561493,000524,岭南控股,bottom_area,2025-04-29,12.13,2025-04-29,11.83,2.5359256128486956,3.127641589180044,29.41527446300717,False,0.4139,3.6943,3,3,3,100.0,15.46623147013077,21.550094517958406,5.464074387151305,2.5359256128486956,历史3/3次成功; 当前距低点2.54%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
5,84.53884116710447,83.1118022727551,000697,炼石航空,confirmed_rebound,2025-04-29,6.29,2025-04-25,6.1,3.1147540983606623,8.688524590163938,28.904428904428908,False,0.319,1.0127,4,4,4,100.0,19.857212994717187,30.58161350844277,4.885245901639338,3.1147540983606623,历史4/4次成功; 当前距低点3.11%; 最新日涨幅0.32%; 状态confirmed_rebound; 底部未确认
6,82.59526771098257,77.97675945418038,688050,爱博医疗,bottom_area,2025-04-29,78.11,2025-04-29,77.33,1.008664166558905,3.2070347859821595,28.688675765400223,False,-1.4385,2.0633,2,2,2,100.0,12.024267494272554,12.90770757525636,6.991335833441095,1.008664166558905,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
7,81.66630777063119,76.90346965027129,600371,万向德农,bottom_area,2025-04-29,9.21,2025-04-29,9.13,0.876232201533407,1.7524644030667946,28.671874999999996,False,0.3268,2.5376,1,1,1,100.0,38.66279069767441,38.66279069767441,7.123767798466593,0.876232201533407,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,81.53928952366202,75.4993421515389,000965,天保基建,bottom_area,2025-04-29,4.08,2025-04-29,4.08,0.0,2.9411764705882377,28.79581151832461,False,-9.9338,7.8849,4,4,4,100.0,15.319043825477877,16.666666666666664,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.93%; 状态bottom_area; 底部未确认
9,80.94705365630796,79.28030316108189,300721,怡达股份,bottom_area,2025-04-29,14.46,2025-04-28,14.05,2.9181494661921716,4.697508896797154,32.71072796934865,False,0.9072,9.5115,7,8,7,87.5,13.71604270967764,22.270742358078603,5.081850533807828,2.9181494661921716,历史7/8次成功; 当前距低点2.92%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
10,80.87253034056646,77.11749592021795,001299,美能能源,bottom_area,2025-04-29,10.63,2025-04-29,10.47,1.5281757402101255,2.674307545367711,31.11842105263157,False,-1.9373,8.6684,2,2,2,100.0,13.772777461812025,15.247322794492616,6.471824259789874,1.5281757402101255,历史2/2次成功; 当前距低点1.53%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
11,80.14470728155375,75.2969218425187,603322,超讯通信,confirmed_rebound,2025-04-29,29.3,2025-04-29,29.08,0.7565337001375599,10.00687757909216,30.463892874222864,False,-9.316,16.8207,6,6,6,100.0,21.461390746410416,39.45833333333333,7.24346629986244,0.7565337001375599,历史6/6次成功; 当前距低点0.76%; 最新日涨幅-9.32%; 状态confirmed_rebound; 底部未确认
