rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
60,66.18898099957688,56.71881284832503,300665,飞鹿股份,bottom_area,2022-04-26,6.66,2022-04-26,6.56,1.5243902439024473,7.012195121951219,32.371134020618555,False,-3.7572,2.8135,1,2,1,50.0,22.6044226044226,22.6044226044226,18.475609756097555,1.5243902439024473,历史1/2次成功; 当前距低点1.52%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
61,65.99747196722964,56.87962526983892,601666,平煤股份,bottom_area,2022-04-26,13.3,2022-04-26,13.06,1.8376722817764182,7.886676875957116,31.0454065469905,False,-3.8322,2.1108,1,2,1,50.0,27.30923694779115,27.30923694779115,18.162327718223583,1.8376722817764182,历史1/2次成功; 当前距低点1.84%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
62,64.53741697416973,53.78118081180811,600331,宏达股份,bottom_area,2022-04-26,2.86,2022-04-26,2.86,0.0,10.139860139860142,28.320802005012542,False,-10.0629,4.6762,1,2,1,50.0,40.221402214022135,40.221402214022135,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
63,64.27728587034123,53.7124844229416,605300,佳禾食品,bottom_area,2022-04-26,13.3,2022-04-26,13.28,0.1506024096385644,8.88554216867471,28.21621621621622,False,-9.8916,9.1714,1,2,1,50.0,29.440096327513547,29.440096327513547,19.849397590361438,0.1506024096385644,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
64,63.997167359005616,54.105660524852595,300505,川金诺,bottom_area,2022-04-26,29.45,2022-04-26,29.22,0.7871321013004806,12.525667351129377,32.09388798512666,False,-8.6538,12.2403,1,2,1,50.0,39.35656836461126,39.35656836461126,19.21286789869952,0.7871321013004806,历史1/2次成功; 当前距低点0.79%; 最新日涨幅-8.65%; 状态bottom_area; 底部未确认
65,63.966570057362276,53.50732022009994,605333,沪光股份,bottom_area,2022-04-26,14.58,2022-04-26,14.55,0.20618556701030485,9.415807560137452,30.813124108416552,False,-7.3109,3.8864,1,2,1,50.0,29.01840490797546,29.01840490797546,19.793814432989695,0.20618556701030485,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-7.31%; 状态bottom_area; 底部未确认
66,63.52176835721442,53.519654171013144,002805,丰元股份,bottom_area,2022-04-26,21.81,2022-04-26,21.68,0.5996309963099585,7.011070110701105,29.701686121919586,False,-6.435,5.2548,1,2,1,50.0,33.907595927956166,33.907595927956166,19.400369003690045,0.5996309963099585,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-6.43%; 状态bottom_area; 底部未确认
67,63.49893226298324,53.2326378252554,688079,美迪凯,bottom_area,2022-04-26,9.24,2022-04-26,9.21,0.32573289902279434,5.4288816503800215,31.422189128816076,False,-4.0498,0.5114,1,2,1,50.0,29.007036747458958,29.007036747458958,19.674267100977207,0.32573289902279434,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
68,62.775240716541674,54.024697402088705,603233,大参林,bottom_area,2022-04-26,23.72,2022-04-26,23.31,1.7589017589017597,5.4483054483054465,30.313901345291487,False,-0.2523,0.5775,1,3,1,33.33333333333333,20.223978919631097,20.223978919631097,18.241098241098243,1.7589017589017597,历史1/3次成功; 当前距低点1.76%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
69,62.73914435859714,52.87096692111959,002584,西陇科学,bottom_area,2022-04-26,6.59,2022-04-26,6.55,0.6106870229007639,6.259541984732826,28.021978021978022,False,-4.0757,5.9827,1,3,1,33.33333333333333,68.08510638297875,68.08510638297875,19.389312977099237,0.6106870229007639,历史1/3次成功; 当前距低点0.61%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
