rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.04049576356351,80.31211971532383,300561,汇金科技,bottom_area,2022-03-07,12.8,2022-03-07,12.67,1.026045777426999,3.1570639305445964,30.689277899343548,False,-1.9157,6.0322,2,2,2,100.0,24.79303273041607,27.62128325508607,6.973954222573001,1.026045777426999,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
2,81.13501721464374,76.60150126220387,603348,文灿股份,bottom_area,2022-03-07,36.97,2022-03-07,36.6,1.010928961748627,4.071038251366126,27.164179104477608,False,-4.3219,2.3415,1,1,1,100.0,31.539888682745836,31.539888682745836,6.989071038251374,1.010928961748627,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
3,79.65770867210169,74.91289211416326,300521,爱司凯,bottom_area,2022-03-07,14.98,2022-03-07,14.86,0.807537012113062,3.7685060565275945,32.17708808763122,False,-1.5769,3.4578,3,3,3,100.0,16.258475816027065,20.590790616854918,7.192462987886938,0.807537012113062,历史3/3次成功; 当前距低点0.81%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
4,79.38880847339802,75.49383085709853,002706,良信股份,bottom_area,2022-03-07,13.18,2022-03-07,13.0,1.3846153846153824,4.692307692307688,28.845101258894363,False,-3.4432,1.5771,2,2,2,100.0,13.49867706463227,14.727153188691638,6.615384615384618,1.3846153846153824,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-3.44%; 状态bottom_area; 底部未确认
5,76.1364690261047,74.82949713625177,600211,西藏药业,bottom_area,2022-03-07,41.91,2022-01-28,40.65,3.0996309963099584,7.72447724477245,28.18021201413428,True,-2.7836,1.0021,2,2,2,100.0,11.541160257196122,13.252533280349695,4.900369003690042,3.0996309963099584,历史2/2次成功; 当前距低点3.10%; 最新日涨幅-2.78%; 状态bottom_area; 底部已确认
6,76.06809460029763,72.72552572646411,300418,昆仑万维,bottom_area,2022-03-07,17.11,2022-03-07,16.83,1.663695781342847,3.3868092691622125,28.625954198473284,False,-2.9495,1.7942,1,1,1,100.0,8.487914558740876,8.487914558740876,6.336304218657153,1.663695781342847,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
7,76.04714157838744,71.97836458056915,600305,恒顺醋业,bottom_area,2022-03-07,11.52,2022-03-07,11.39,1.1413520632133363,6.848112379280065,30.07980356046654,False,-5.8054,2.1526,1,1,1,100.0,8.283049917718035,8.283049917718035,6.858647936786663,1.1413520632133363,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-5.81%; 状态bottom_area; 底部未确认
8,75.62376590601141,70.50523629591642,002600,领益智造,bottom_area,2022-03-07,5.62,2022-03-07,5.6,0.3571428571428654,4.107142857142865,30.6930693069307,False,-3.7671,0.7169,2,2,2,100.0,13.922161345172867,16.20253164556961,7.642857142857134,0.3571428571428654,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
9,75.42090848586355,70.4333325683058,300735,光弘科技,bottom_area,2022-03-07,11.32,2022-03-07,11.27,0.44365572315883506,3.726708074534161,27.98722044728435,False,-3.413,0.6917,1,1,1,100.0,31.262729124236255,31.262729124236255,7.556344276841164,0.44365572315883506,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
10,75.38679968150018,71.940748989179,603308,应流股份,bottom_area,2022-03-07,16.2,2022-03-07,15.95,1.5673981191222572,4.890282131661449,31.92488262910798,False,-4.142,0.9425,1,1,1,100.0,13.303315595579207,13.303315595579207,6.432601880877743,1.5673981191222572,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
11,74.78048124699626,69.35148015784381,002695,煌上煌,bottom_area,2022-03-07,12.11,2022-03-07,12.1,0.0826446280991718,2.892561983471072,27.890345649582844,False,-3.12,0.7667,1,1,1,100.0,21.021021021021024,21.021021021021024,7.917355371900828,0.0826446280991718,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
