rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.83238530666769,86.82083441845265,605136,丽人丽妆,bottom_area,2025-06-26,10.54,2025-06-26,10.27,2.629016553067182,4.67380720545278,29.318651066758434,False,0.7648,7.0042,4,4,4,100.0,23.62899010454739,52.667814113597245,7.370983446932819,2.629016553067182,历史4/4次成功; 当前距低点2.63%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
2,88.87476002269506,84.50124941127373,603333,尚纬股份,bottom_area,2025-06-26,7.4,2025-06-23,7.23,2.3513139695712297,7.1922544951590535,28.838582677165352,True,-1.4647,3.0045,5,5,5,100.0,21.03357667686099,47.19626168224298,7.648686030428771,2.3513139695712297,历史5/5次成功; 当前距低点2.35%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
3,85.94255519322208,83.96846220754794,603327,福蓉科技,bottom_area,2025-06-26,9.06,2025-06-23,8.73,3.780068728522337,5.154639175257723,28.148148148148145,False,-0.8753,0.6719,6,6,6,100.0,44.87644574504772,129.39632545931758,6.219931271477663,3.780068728522337,历史6/6次成功; 当前距低点3.78%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
4,84.62874399982583,78.76726207086797,300703,创源股份,bottom_area,2025-06-26,20.52,2025-06-26,20.27,1.23334977799704,4.0947212629501815,31.404399323181053,False,-1.3462,8.8567,2,2,2,100.0,19.02849228333993,20.914127423822727,8.766650222002962,1.23334977799704,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
5,83.91604115155495,79.52099087133432,002155,湖南黄金,bottom_area,2025-06-26,17.84,2025-06-26,17.46,2.176403207331037,2.978235967926687,28.995526636844243,False,0.507,2.4864,1,1,1,100.0,28.834355828220854,28.834355828220854,7.823596792668964,2.176403207331037,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
6,83.8817180407227,81.62985983828719,002678,珠江钢琴,bottom_area,2025-06-26,4.93,2025-06-23,4.76,3.57142857142857,4.201680672268911,29.79351032448378,False,0.2033,1.5343,3,3,3,100.0,23.939338608302766,35.5191256830601,6.428571428571431,3.57142857142857,历史3/3次成功; 当前距低点3.57%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
7,79.34827568594307,75.68414072553585,002041,登海种业,bottom_area,2025-06-26,9.77,2025-06-23,9.53,2.518363064008397,3.147953830010501,29.719764011799416,False,-0.3061,0.5626,2,2,2,100.0,18.2043468358871,21.395106715252467,7.481636935991603,2.518363064008397,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
8,79.33686799304095,76.28217226648101,605198,安德利,bottom_area,2025-06-26,40.28,2025-06-20,39.13,2.9389215435727025,5.877843087145405,29.748653500897664,False,-0.2476,1.0234,1,1,1,100.0,43.241469816272954,43.241469816272954,7.061078456427299,2.9389215435727025,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
9,78.96635845447717,74.76463779068987,605377,华旺科技,bottom_area,2025-06-26,8.63,2025-06-23,8.45,2.130177514792917,3.0769230769230957,30.04966887417219,False,-0.8046,0.4691,1,1,1,100.0,25.16904583020285,25.16904583020285,7.869822485207084,2.130177514792917,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
10,78.53210384744088,73.88741278642902,600281,华阳新材,bottom_area,2025-06-26,6.22,2025-06-26,6.11,1.8003273322422166,4.255319148936167,27.692307692307683,False,-1.5823,9.4279,3,4,3,75.0,20.576124214738076,24.86486486486486,8.199672667757785,1.8003273322422166,历史3/4次成功; 当前距低点1.80%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
11,78.34431142954692,75.1702563469542,300436,广生堂,bottom_area,2025-06-26,33.44,2025-06-20,32.52,2.829028290282886,7.595325953259528,29.671280276816603,True,-1.9067,4.5923,4,5,4,80.0,20.056133595694508,35.88379705400981,7.170971709717115,2.829028290282886,历史4/5次成功; 当前距低点2.83%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
