rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.1881193056451,88.70733219227408,605117,德业股份,bottom_area,2023-03-29,252.3,2023-03-24,245.0,2.9795918367346985,7.591836734693887,28.913390396053963,True,0.2782,2.4402,5,5,5,100.0,28.875277311984927,59.18895599654874,7.0204081632653015,2.9795918367346985,历史5/5次成功; 当前距低点2.98%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
2,89.07092812287925,82.02452589807793,300382,斯莱克,bottom_area,2023-03-29,14.9,2023-03-28,14.8,0.6756756756756733,3.783783783783775,32.788374205267935,False,0.1344,1.3493,3,3,3,100.0,30.403583003325068,49.70059880239522,9.324324324324328,0.6756756756756733,历史3/3次成功; 当前距低点0.68%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,84.49466171194886,78.67923965080259,002708,光洋股份,bottom_area,2023-03-29,6.44,2023-03-20,6.36,1.2578616352201268,6.132075471698108,31.759656652360512,False,-1.0753,1.1658,1,1,1,100.0,35.522388059701484,35.522388059701484,8.742138364779874,1.2578616352201268,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
4,83.51340929455316,78.90415658325415,002660,茂硕电源,bottom_area,2023-03-29,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,-0.9804,1.8627,2,2,2,100.0,20.21622144792876,24.71428571428572,7.979797979797984,2.020202020202017,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
5,82.32753384361658,77.74197220201346,002347,泰尔股份,bottom_area,2023-03-29,5.12,2023-03-20,5.02,1.9920318725099708,6.175298804780887,29.09604519774012,False,-0.9671,2.2641,2,2,2,100.0,22.816155222237516,29.585798816568047,8.00796812749003,1.9920318725099708,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
6,80.90722738697248,74.12438894552082,300699,光威复材,bottom_area,2023-03-29,51.92,2023-03-29,51.71,0.4061110036743393,5.182749951653451,29.41577941577942,False,-4.5588,3.6385,2,2,2,100.0,33.98022598870056,49.6271186440678,9.593888996325662,0.4061110036743393,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
7,79.92652885475692,78.10066202630415,300393,中来股份,bottom_area,2023-03-29,14.8,2023-03-20,14.26,3.7868162692847194,7.8541374474053365,27.61421319796954,True,-1.0695,2.3459,3,3,3,100.0,20.884963012222048,23.89610389610389,6.213183730715281,3.7868162692847194,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
8,79.79551668224252,72.91542349772205,603051,鹿山新材,bottom_area,2023-03-29,48.38,2023-03-29,48.25,0.2694300518134768,4.455958549222795,27.985074626865668,False,-2.4793,6.4176,2,2,2,100.0,15.58991406374611,18.738110336081178,9.730569948186524,0.2694300518134768,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
9,79.58200754150768,74.08699431036958,300767,震安科技,bottom_area,2023-03-29,40.65,2023-03-28,40.15,1.2453300124533002,3.6861768368617787,28.9128895184136,False,-0.3432,0.5182,1,1,1,100.0,10.679283541737075,10.679283541737075,8.7546699875467,1.2453300124533002,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
10,79.3760776832611,76.87296978004238,600418,江淮汽车,confirmed_rebound,2023-03-29,13.39,2023-03-20,12.96,3.3179012345678984,10.339506172839505,27.55729457797652,True,-2.2628,2.8277,3,3,3,100.0,18.751530079877334,24.365079365079367,6.682098765432102,3.3179012345678984,历史3/3次成功; 当前距低点3.32%; 最新日涨幅-2.26%; 状态confirmed_rebound; 底部已确认
11,77.56602221697369,75.83916792387144,601702,华峰铝业,bottom_area,2023-03-29,12.78,2023-03-20,12.31,3.8180341186027524,9.098294069861893,29.212190914318576,True,1.2678,3.1692,1,1,1,100.0,19.96927803379416,19.96927803379416,6.181965881397248,3.8180341186027524,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.27%; 状态bottom_area; 底部已确认
12,77.52417527093212,73.06836277219868,002729,好利科技,bottom_area,2023-03-29,20.99,2023-03-29,20.6,1.893203883495131,2.281553398058247,30.49932523616734,False,-0.0476,3.5763,1,1,1,100.0,13.144449605202036,13.144449605202036,8.106796116504869,1.893203883495131,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
13,77.08858953733471,75.36914144356517,300681,英搏尔,bottom_area,2023-03-29,31.56,2023-03-20,30.4,3.8157894736842115,8.190789473684218,31.22171945701358,True,0.0951,1.9929,3,4,3,75.0,21.58140561056545,27.487589035182385,6.184210526315789,3.8157894736842115,历史3/4次成功; 当前距低点3.82%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
14,74.95421991916355,73.02396852192788,000887,中鼎股份,bottom_area,2023-03-29,12.56,2023-03-20,12.12,3.630363036303641,6.600660066006607,28.45336481700119,False,-0.6329,1.3526,2,2,2,100.0,17.53331314354936,23.84615384615385,6.36963696369636,3.630363036303641,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
15,74.23336731051613,71.33448707631726,688348,昱能科技,bottom_area,2023-03-29,328.29,2023-03-29,319.01,2.908999717877192,5.184790445440588,32.018497208370626,False,-0.8247,6.054,1,1,1,100.0,16.27422813482398,16.27422813482398,7.091000282122809,2.908999717877192,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
16,73.69725170713728,72.61585019700918,605128,上海沿浦,bottom_area,2023-03-29,41.7,2023-03-28,40.01,4.223944013996514,4.39890027493128,32.75630252100841,False,3.0648,2.9045,1,1,1,100.0,16.80883090817863,16.80883090817863,5.776055986003486,4.223944013996514,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
17,59.15145106170559,57.33355776666498,605333,沪光股份,bottom_area,2023-03-29,18.45,2023-03-20,17.85,3.361344537815114,8.403361344537814,30.409356725146193,True,-0.3241,2.3605,1,2,1,50.0,29.01840490797546,29.01840490797546,6.638655462184887,3.361344537815114,历史1/2次成功; 当前距低点3.36%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
18,55.489310344827594,50.4448275862069,002374,中锐股份,bottom_area,2023-03-29,4.44,2023-03-27,4.44,0.0,3.6036036036035863,28.155339805825236,False,-1.5521,0.9268,1,2,1,50.0,12.068965517241388,12.068965517241388,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
