rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.34333840181402,84.16494556765164,000957,中通客车,bottom_area,2022-10-10,13.1,2022-09-30,12.86,1.8662519440124437,6.531881804043545,29.534246575342472,False,1.5504,9.3016,1,1,1,100.0,354.54545454545456,354.54545454545456,8.133748055987557,1.8662519440124437,历史1/1次成功; 当前距低点1.87%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
2,89.15631504567558,83.52616968342268,601778,晶科科技,bottom_area,2022-10-10,4.51,2022-09-29,4.44,1.576576576576563,2.9279279279279256,28.271405492730207,False,0.4454,0.8483,2,2,2,100.0,26.348195043103452,42.344827586206904,8.423423423423436,1.576576576576563,历史2/2次成功; 当前距低点1.58%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
3,87.26852428672684,81.16025874018175,002221,东华能源,bottom_area,2022-10-10,7.64,2022-10-10,7.55,1.1920529801324484,4.238410596026494,27.26396917148363,False,0.2625,0.6571,1,1,1,100.0,25.581395348837223,25.581395348837223,8.807947019867552,1.1920529801324484,历史1/1次成功; 当前距低点1.19%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
4,85.89269783426323,79.75438077634014,603333,尚纬股份,bottom_area,2022-10-10,5.47,2022-10-10,5.41,1.109057301293893,4.0665434380776295,28.62796833773087,False,0.367,1.5317,1,1,1,100.0,17.005545286506468,17.005545286506468,8.890942698706107,1.109057301293893,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,85.71818268296039,80.95606142279593,000510,新金路,bottom_area,2022-10-10,5.61,2022-09-30,5.5,2.0000000000000058,5.272727272727273,29.66751918158568,False,0.3578,2.697,2,2,2,100.0,17.7207603376126,23.043478260869577,7.999999999999995,2.0000000000000058,历史2/2次成功; 当前距低点2.00%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
6,85.07282019249944,80.26914249832143,605288,凯迪股份,bottom_area,2022-10-10,33.47,2022-10-10,32.83,1.949436491014318,2.16265610721901,27.20620842572063,False,1.4242,2.4744,2,2,2,100.0,13.407837085129392,16.670746634026916,8.050563508985682,1.949436491014318,历史2/2次成功; 当前距低点1.95%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
7,85.0076139119889,79.06442645074223,600178,东安动力,bottom_area,2022-10-10,5.92,2022-10-10,5.85,1.1965811965812014,3.247863247863255,28.13267813267814,False,-0.6711,0.5975,1,1,1,100.0,36.84210526315788,36.84210526315788,8.8034188034188,1.1965811965812014,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
8,84.62748315395186,78.59488703428188,603236,移远通信,bottom_area,2022-10-10,110.22,2022-10-10,109.0,1.1192660550458704,6.8807339449541285,29.93057341218822,False,-3.3921,1.1607,2,2,2,100.0,26.918352902077746,39.389337383102855,8.88073394495413,1.1192660550458704,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
9,84.32531182093275,76.65937438266613,601127,赛力斯,bottom_area,2022-10-10,49.73,2022-10-10,49.73,0.0,5.911924391715273,28.42544617156017,False,-10.0072,1.8866,6,6,6,100.0,21.555776250893118,30.591200733272228,10.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
10,83.89639504086911,77.85918547217135,603088,宁波精达,bottom_area,2022-10-10,7.48,2022-10-10,7.4,1.081081081081082,5.540540540540531,28.43326885880077,False,-3.1088,1.5267,2,2,2,100.0,22.4948942851409,32.23388305847077,8.918918918918918,1.081081081081082,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
11,83.77877260704894,78.47529632054872,002173,创新医疗,bottom_area,2022-10-10,5.83,2022-10-10,5.74,1.5679442508710777,6.445993031358886,32.62910798122065,False,-1.8519,4.1313,2,2,2,100.0,21.560264583520393,24.903474903474905,8.432055749128923,1.5679442508710777,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
12,83.70664044984767,76.7755173552743,002600,领益智造,bottom_area,2022-10-10,4.32,2022-10-10,4.3,0.4651162790697782,4.651162790697678,30.533117932148635,False,-2.9213,0.4076,3,3,3,100.0,22.07517457824405,38.381201044386415,9.534883720930223,0.4651162790697782,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
13,83.6784152228474,76.07128656622491,000620,盈新发展,bottom_area,2022-10-10,3.24,2022-10-10,3.24,0.0,8.024691358024684,27.516778523489926,False,-10.0,10.9653,3,3,3,100.0,35.0606804635748,58.4192439862543,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
14,83.03740495816395,76.00911791179117,002202,金风科技,bottom_area,2022-10-10,11.15,2022-10-10,11.11,0.36003600360036836,3.78037803780378,29.50507614213198,False,-1.6755,0.48,1,1,1,100.0,55.172413793103445,55.172413793103445,9.639963996399633,0.36003600360036836,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
15,83.00499725553868,76.72175045133454,688195,腾景科技,bottom_area,2022-10-10,23.2,2022-10-10,23.0,0.8695652173913012,7.695652173913041,32.09329790374962,False,-4.6836,2.0564,5,5,5,100.0,20.292253478423152,38.77410468319559,9.1304347826087,0.8695652173913012,历史5/5次成功; 当前距低点0.87%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
16,82.55553085998702,77.70699691693272,002034,旺能环境,bottom_area,2022-10-10,17.87,2022-10-10,17.55,1.823361823361825,4.216524216524207,27.419354838709676,False,-0.279,0.3891,1,1,1,100.0,37.22721437740692,37.22721437740692,8.176638176638177,1.823361823361825,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
17,82.51770483068911,75.71780487804881,600135,乐凯胶片,bottom_area,2022-10-10,6.18,2022-10-10,6.15,0.4878048780487701,3.2520325203251916,29.553264604810998,False,-1.9048,0.583,1,1,1,100.0,56.981132075471706,56.981132075471706,9.512195121951232,0.4878048780487701,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
