rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
18,81.50532677113296,78.90281791267509,002093,国脉科技,confirmed_rebound,2025-04-02,11.06,2025-03-28,10.81,2.3126734505087883,8.140610545790924,31.926952141057935,True,-3.3217,7.3261,3,3,3,100.0,27.557598816317896,52.409638554216855,5.687326549491212,2.3126734505087883,历史3/3次成功; 当前距低点2.31%; 最新日涨幅-3.32%; 状态confirmed_rebound; 底部已确认
19,81.00469338752879,78.22341636134753,000536,华映科技,bottom_area,2025-04-02,4.68,2025-03-31,4.58,2.18340611353711,6.1135371179039355,27.3015873015873,False,-0.8475,1.6735,3,3,3,100.0,11.083775807592168,11.280487804878053,5.81659388646289,2.18340611353711,历史3/3次成功; 当前距低点2.18%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
20,80.51384544758501,75.74559796888781,002300,太阳电缆,bottom_area,2025-04-02,6.1,2025-04-02,6.05,0.8264462809917326,3.4710743801652884,31.171786120591577,False,-1.1345,8.9062,2,2,2,100.0,37.633846718005124,38.41584158415842,7.173553719008267,0.8264462809917326,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
21,80.47425291626219,81.02328554651419,001202,炬申股份,bottom_area,2025-04-02,15.82,2025-03-31,15.16,4.353562005277046,6.926121372031667,32.109270040304516,False,0.7643,3.9196,6,6,6,100.0,13.598961927665792,15.531135531135526,3.6464379947229544,4.353562005277046,历史6/6次成功; 当前距低点4.35%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
22,79.75399808951222,76.33818765868303,601798,蓝科高新,bottom_area,2025-04-02,6.49,2025-03-31,6.38,1.724137931034488,5.799373040752353,29.96706915477497,False,-1.6667,3.1722,5,6,5,83.33333333333334,14.762843054345781,21.74721189591078,6.2758620689655125,1.724137931034488,历史5/6次成功; 当前距低点1.72%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
23,79.74070126753087,79.20835244890408,300386,飞天诚信,bottom_area,2025-04-02,14.76,2025-03-31,14.24,3.651685393258424,4.6348314606741585,30.536585365853657,False,1.304,2.6574,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,4.348314606741576,3.651685393258424,历史8/9次成功; 当前距低点3.65%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
24,79.7059854327359,78.26038683289732,300397,天和防务,confirmed_rebound,2025-04-02,12.17,2025-03-31,11.81,3.0482641828958457,8.552074513124468,28.42424242424242,True,-1.2976,5.2317,3,3,3,100.0,22.905533171504533,45.75260804769001,4.951735817104154,3.0482641828958457,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-1.30%; 状态confirmed_rebound; 底部已确认
25,79.58971156069153,75.37158280226436,603081,大丰实业,bottom_area,2025-04-02,11.25,2025-03-31,11.12,1.169064748201446,5.6654676258992875,32.68765133171913,False,-0.4425,3.731,1,1,1,100.0,16.65080875356803,16.65080875356803,6.830935251798555,1.169064748201446,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
26,79.45361837323952,78.59268604478216,600097,开创国际,bottom_area,2025-04-02,9.64,2025-03-31,9.32,3.433476394849788,4.07725321888411,27.751937984496124,False,0.4167,2.3106,2,2,2,100.0,22.586087231396153,30.552291421856637,4.566523605150212,3.433476394849788,历史2/2次成功; 当前距低点3.43%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
27,79.14028370845737,77.89001040232297,002178,延华智能,bottom_area,2025-04-02,6.18,2025-03-31,5.99,3.171953255425701,4.674457429048403,27.305825242718445,False,0.1621,1.4658,5,6,5,83.33333333333334,18.38027145892594,29.076086956521735,4.8280467445743,3.171953255425701,历史5/6次成功; 当前距低点3.17%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
