rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.77913213259836,80.47564179669928,002136,安纳达,bottom_area,2025-06-05,10.87,2025-06-05,10.76,1.0223048327137494,2.5092936802973935,28.026755852842804,False,-1.8067,8.0515,1,1,1,100.0,42.29299363057326,42.29299363057326,18.977695167286253,1.0223048327137494,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
2,94.23068513173047,80.65964943032428,688682,霍莱沃,bottom_area,2025-06-05,28.41,2025-06-05,28.0,1.4642857142857149,3.9285714285714333,31.37254901960784,False,0.602,1.9289,1,1,1,100.0,26.22699386503069,26.22699386503069,18.535714285714285,1.4642857142857149,历史1/1次成功; 当前距低点1.46%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
3,90.63795043052681,79.16750608272507,002889,东方嘉盛,bottom_area,2025-06-05,14.77,2025-06-05,14.4,2.569444444444439,2.7083333333333246,32.92966930600838,False,1.0951,2.0116,1,1,1,100.0,31.751824817518237,31.751824817518237,17.430555555555564,2.569444444444439,历史1/1次成功; 当前距低点2.57%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
4,90.4003615423779,80.59837401385236,301316,慧博云通,bottom_area,2025-06-05,42.1,2025-06-05,40.6,3.694581280788177,5.147783251231518,32.47962747380676,False,1.937,18.7036,2,2,2,100.0,36.56999641962048,43.333333333333336,16.305418719211822,3.694581280788177,历史2/2次成功; 当前距低点3.69%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
5,89.96443384287068,77.3645060978324,002779,中坚科技,bottom_area,2025-06-05,97.75,2025-06-05,96.1,1.7169614984391317,4.058272632674304,29.48859050553966,False,-0.1532,4.5287,1,1,1,100.0,34.08160384018072,34.08160384018072,18.28303850156087,1.7169614984391317,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
6,89.47309827759409,78.06217485798629,688448,磁谷科技,bottom_area,2025-06-05,29.43,2025-06-03,28.71,2.5078369905956075,2.7168234064785706,27.113480578827115,False,0.478,3.3396,1,1,1,100.0,25.053995680345576,25.053995680345576,17.492163009404393,2.5078369905956075,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
7,87.87721664525705,77.83193036863767,688543,国科军工,bottom_area,2025-06-05,44.97,2025-06-04,43.52,3.3318014705882257,3.6534926470588145,31.604589030331603,False,0.4692,2.9893,1,1,1,100.0,33.916331836445266,33.916331836445266,16.668198529411775,3.3318014705882257,历史1/1次成功; 当前距低点3.33%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
8,84.90106080711568,71.60228698601104,605378,野马电池,bottom_area,2025-06-05,16.96,2025-06-04,16.85,0.6528189910979194,3.9762611275964277,32.24768797748291,False,-2.1915,2.311,1,1,1,100.0,29.89631336405531,29.89631336405531,19.34718100890208,0.6528189910979194,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
9,84.41711966549744,76.00866148834882,000811,冰轮环境,bottom_area,2025-06-05,9.6,2025-06-03,9.21,4.234527687296404,6.297502714440806,28.54926299456943,False,2.7837,3.201,1,1,1,100.0,35.17948717948718,35.17948717948718,15.765472312703599,4.234527687296404,历史1/1次成功; 当前距低点4.23%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
10,83.34451600110461,73.32943307009046,600770,综艺股份,bottom_area,2025-06-05,5.55,2025-06-05,5.39,2.968460111317257,4.267161410018561,28.60927152317881,False,-0.3591,6.6996,1,1,1,100.0,27.72861356932153,27.72861356932153,17.031539888682744,2.968460111317257,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
11,82.79004162651094,70.17254367655295,603192,汇得科技,bottom_area,2025-06-05,20.7,2025-06-05,20.51,0.9263773768893112,2.876645538761579,31.610536845615194,False,-2.4505,5.5978,1,1,1,100.0,25.562817719680464,25.562817719680464,19.07362262311069,0.9263773768893112,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
12,66.6541899897398,57.82239574298186,300819,聚杰微纤,bottom_area,2025-06-05,22.81,2025-06-05,22.32,2.1953405017921077,3.225806451612898,27.999999999999996,False,-0.0438,3.0804,1,2,1,50.0,26.54716175842936,26.54716175842936,17.804659498207894,2.1953405017921077,历史1/2次成功; 当前距低点2.20%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
