rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.32332421055766,87.11082425636673,002246,北化股份,bottom_area,2025-02-05,9.26,2025-02-05,9.02,2.660753880266078,2.660753880266078,28.808208366219418,False,2.3204,1.3206,4,4,4,100.0,25.577113458996685,31.992687385740403,12.339246119733922,2.660753880266078,历史4/4次成功; 当前距低点2.66%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
2,92.62522310556554,83.16223603656294,002358,森源电气,bottom_area,2025-02-05,4.75,2025-02-05,4.67,1.713062098501072,3.6402569593147733,27.14508580343214,False,0.211,5.3608,1,1,1,100.0,42.73127753303966,42.73127753303966,13.286937901498927,1.713062098501072,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,79.72944284931125,72.78974279472905,600693,东百集团,bottom_area,2025-02-05,5.9,2025-02-05,5.75,2.6086956521739193,6.260869565217398,31.872037914691937,False,-4.065,9.906,1,1,1,100.0,30.632090761750412,30.632090761750412,12.39130434782608,2.6086956521739193,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
4,78.41565466186039,69.72334121050639,605162,新中港,bottom_area,2025-02-05,6.79,2025-02-05,6.71,1.1922503725782425,1.7883755588673638,28.081457663451232,False,0.2954,1.8006,2,4,2,50.0,22.428344408520275,26.46502835538753,13.807749627421757,1.1922503725782425,历史2/4次成功; 当前距低点1.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
5,78.18855612713377,68.4017246438506,300502,新易盛,confirmed_rebound,2025-02-05,102.51,2025-02-05,102.18,0.3229594832648251,15.482481894695626,29.08106607440311,False,-18.4941,8.4722,3,4,3,75.0,33.242324009109716,34.5909668057319,14.677040516735174,0.3229594832648251,历史3/4次成功; 当前距低点0.32%; 最新日涨幅-18.49%; 状态confirmed_rebound; 底部未确认
6,77.78672017016811,71.1268982377907,600325,华发股份,bottom_area,2025-02-05,5.34,2025-01-13,5.2,2.6923076923076863,5.961538461538454,29.539295392953925,False,0.3759,0.9796,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,12.307692307692314,2.6923076923076863,历史2/3次成功; 当前距低点2.69%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
7,76.33639909946146,70.49677647749697,688253,英诺特,bottom_area,2025-02-05,29.45,2025-01-24,28.53,3.2246757798808208,6.62460567823344,28.09979838709677,False,-0.1695,3.926,1,1,1,100.0,15.639985245296947,15.639985245296947,11.77532422011918,3.2246757798808208,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
8,76.20471392182489,67.77338241856316,300422,博世科,bottom_area,2025-02-05,4.2,2025-02-05,4.15,1.2048192771084292,3.614457831325288,29.541595925297102,False,0.0,3.9007,1,2,1,50.0,45.4320987654321,45.4320987654321,13.79518072289157,1.2048192771084292,历史1/2次成功; 当前距低点1.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,75.9483516338117,69.71888561969637,002767,先锋电子,bottom_area,2025-02-05,14.18,2025-01-27,13.78,2.902757619738755,4.354136429608138,31.442786069651753,False,2.6792,6.7339,2,4,2,50.0,43.37189781021898,52.04379562043795,12.097242380261244,2.902757619738755,历史2/4次成功; 当前距低点2.90%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
10,74.40965902452099,68.85279748776043,300399,天利科技,bottom_area,2025-02-05,22.65,2025-02-05,21.92,3.330291970802905,4.744525547445251,27.894736842105257,False,2.027,7.0292,3,5,3,60.0,22.289586995650758,31.95098963242225,11.669708029197094,3.330291970802905,历史3/5次成功; 当前距低点3.33%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
11,69.58935161561102,65.74960378319507,300476,胜宏科技,bottom_area,2025-02-05,45.3,2025-02-05,43.37,4.450080700945354,14.134194143417114,29.226501305483033,False,-14.8976,10.9046,1,1,1,100.0,15.353697749196144,15.353697749196144,10.549919299054645,4.450080700945354,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-14.90%; 状态bottom_area; 底部未确认
12,69.01088271629733,64.17688097861118,300347,泰格医药,bottom_area,2025-02-05,49.52,2025-01-24,47.8,3.5983263598326487,4.393305439330547,30.824891461649784,False,1.0612,1.5272,2,4,2,50.0,22.102500424890394,23.423271500843175,11.40167364016735,3.5983263598326487,历史2/4次成功; 当前距低点3.60%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
13,66.036740927675,61.74581481034795,600202,哈空调,bottom_area,2025-02-05,4.54,2025-01-24,4.37,3.89016018306636,3.89016018306636,29.967948717948715,False,1.7937,3.2623,2,5,2,40.0,34.27623670827554,41.50485436893204,11.10983981693364,3.89016018306636,历史2/5次成功; 当前距低点3.89%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
14,63.345144085517404,56.611129013572366,300394,天孚通信,bottom_area,2025-02-05,83.79,2025-02-05,82.58,1.4652458222329958,12.981351416807943,31.183333333333334,False,-16.875,8.6553,1,2,1,50.0,21.300481119696745,21.300481119696745,13.534754177767002,1.4652458222329958,历史1/2次成功; 当前距低点1.47%; 最新日涨幅-16.88%; 状态bottom_area; 底部未确认
15,62.387946650851106,58.08479588322014,300515,三德科技,bottom_area,2025-02-05,15.01,2025-02-05,14.48,3.6602209944751336,4.972375690607727,27.016129032258064,False,2.248,9.817,1,2,1,50.0,23.441396508728182,23.441396508728182,11.339779005524866,3.6602209944751336,历史1/2次成功; 当前距低点3.66%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
16,60.01232328045523,55.71561091340453,002571,德力股份,bottom_area,2025-02-05,4.13,2025-01-22,3.99,3.5087719298245528,6.265664160401002,28.749999999999993,False,1.2255,3.4509,1,3,1,33.33333333333333,28.291814946619215,28.291814946619215,11.491228070175447,3.5087719298245528,历史1/3次成功; 当前距低点3.51%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
17,59.701275191130584,54.61193156834852,300601,康泰生物,bottom_area,2025-02-05,14.76,2025-01-27,14.37,2.7139874739039707,2.8531663187195555,29.316281357599607,False,2.714,1.1288,1,5,1,20.0,24.837758112094402,24.837758112094402,12.28601252609603,2.7139874739039707,历史1/5次成功; 当前距低点2.71%; 最新日涨幅2.71%; 状态bottom_area; 底部未确认
18,59.67651158004628,54.52765616362632,000421,南京公用,bottom_area,2025-02-05,6.19,2025-02-05,6.03,2.6533996683250436,2.6533996683250436,30.046403712296975,False,1.1438,3.2511,1,6,1,16.666666666666664,30.864197530864196,30.864197530864196,12.346600331674956,2.6533996683250436,历史1/6次成功; 当前距低点2.65%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
19,55.839592340232635,48.617679042374796,300563,神宇股份,bottom_area,2025-02-05,44.33,2025-02-05,44.3,0.0677200902934563,10.338600451467281,30.781250000000004,False,-14.75,19.2117,1,3,1,33.33333333333333,20.477137176938378,20.477137176938378,14.932279909706544,0.0677200902934563,历史1/3次成功; 当前距低点0.07%; 最新日涨幅-14.75%; 状态bottom_area; 底部未确认
20,54.75250479461672,52.10328693837278,001219,青岛食品,bottom_area,2025-02-05,13.01,2025-01-13,12.41,4.834810636583398,11.361804995970992,29.287749287749286,True,-1.8113,1.6053,2,6,2,33.33333333333333,21.73828955080431,27.212020033388985,10.165189363416602,4.834810636583398,历史2/6次成功; 当前距低点4.83%; 最新日涨幅-1.81%; 状态bottom_area; 底部已确认
