rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.38119147087195,85.62454834570559,300521,爱司凯,bottom_area,2024-09-23,10.23,2024-09-18,9.88,3.542510121457486,4.149797570850185,28.920863309352512,False,0.4912,0.7998,6,6,6,100.0,28.395007648541178,73.27586206896554,4.457489878542514,3.542510121457486,历史6/6次成功; 当前距低点3.54%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,85.28278049665923,82.34582805038615,603060,国检集团,bottom_area,2024-09-23,5.63,2024-09-18,5.51,2.177858439201454,4.537205081669692,29.719387755102044,False,-1.2281,0.5553,4,4,4,100.0,16.51260909551329,36.2098138747885,5.8221415607985465,2.177858439201454,历史4/4次成功; 当前距低点2.18%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
3,82.82382413713671,81.41327400373861,300473,德尔股份,bottom_area,2024-09-23,15.93,2024-09-18,15.45,3.1067961165048574,4.919093851132696,29.612756264236907,False,1.3359,5.8592,3,3,3,100.0,17.0794040288693,21.37137137137137,4.893203883495143,3.1067961165048574,历史3/3次成功; 当前距低点3.11%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
4,82.04226840629578,78.61192965760048,301386,未来电器,bottom_area,2024-09-23,17.16,2024-09-18,16.86,1.7793594306049865,4.626334519572961,28.224776500638566,False,-0.8666,1.337,2,2,2,100.0,24.88639332999926,27.880184331797242,6.220640569395014,1.7793594306049865,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
5,81.56814935377476,80.42536557048611,000591,太阳能,bottom_area,2024-09-23,4.11,2024-08-23,3.98,3.266331658291466,7.035175879396981,28.158844765342963,True,0.489,0.3803,2,2,2,100.0,21.19678360962714,32.84132841328414,4.733668341708534,3.266331658291466,历史2/2次成功; 当前距低点3.27%; 最新日涨幅0.49%; 状态bottom_area; 底部已确认
6,81.40834793512799,78.84705690333935,603306,华懋科技,confirmed_rebound,2024-09-23,17.51,2024-09-19,17.11,2.3378141437755824,8.12390414962011,31.367829923786605,False,-1.6844,4.2449,3,3,3,100.0,26.54447930724555,49.205252246026255,5.662185856224418,2.3378141437755824,历史3/3次成功; 当前距低点2.34%; 最新日涨幅-1.68%; 状态confirmed_rebound; 底部未确认
7,80.98922189187529,79.00450448989427,688358,祥生医疗,bottom_area,2024-09-23,19.33,2024-09-18,18.82,2.7098831030818173,5.5791710945802375,29.274708756106726,False,-0.155,0.2519,3,3,3,100.0,21.73676325226245,29.46360153256704,5.290116896918183,2.7098831030818173,历史3/3次成功; 当前距低点2.71%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
8,80.75494363463231,78.79161167166622,002674,兴业科技,bottom_area,2024-09-23,7.93,2024-09-18,7.72,2.72020725388601,3.367875647668403,32.16168717047452,False,0.7624,0.3126,1,1,1,100.0,31.578947368421055,31.578947368421055,5.27979274611399,2.72020725388601,历史1/1次成功; 当前距低点2.72%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
9,80.71935651816682,78.07855295116971,603079,圣达生物,bottom_area,2024-09-23,10.36,2024-09-18,10.13,2.270483711747272,4.6396841066140055,30.616438356164377,False,0.0,0.853,1,1,1,100.0,22.232558139534888,22.232558139534888,5.729516288252729,2.270483711747272,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,79.83384459223713,74.49245935825279,301456,盘古智能,bottom_area,2024-09-23,17.55,2024-09-23,17.48,0.40045766590389176,2.1167048054919966,30.079999999999995,False,-0.8475,1.6226,1,1,1,100.0,42.34141309953585,42.34141309953585,7.599542334096109,0.40045766590389176,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
11,78.6904167633186,76.50295582120654,603132,金徽股份,bottom_area,2024-09-23,10.52,2024-09-18,10.26,2.534113060428848,5.165692007797265,31.554369579719815,False,-1.2207,1.1634,2,2,2,100.0,22.799643005292072,33.20754716981132,5.465886939571152,2.534113060428848,历史2/2次成功; 当前距低点2.53%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
12,78.47565474535214,76.52412253741119,600166,福田汽车,bottom_area,2024-09-23,2.29,2024-08-28,2.23,2.690582959641258,7.174887892376688,27.5974025974026,True,0.0,0.6158,1,1,1,100.0,9.831460674157306,9.831460674157306,5.309417040358742,2.690582959641258,历史1/1次成功; 当前距低点2.69%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
13,77.94018251260684,75.24388007591286,002840,华统股份,bottom_area,2024-09-23,9.89,2024-09-18,9.68,2.1694214876033144,6.921487603305784,32.35499650593991,False,-0.9018,1.1215,2,2,2,100.0,11.560005740045224,14.46540880503144,5.830578512396686,2.1694214876033144,历史2/2次成功; 当前距低点2.17%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
14,77.87944096987106,79.33641714281899,300455,航天智装,bottom_area,2024-09-23,10.15,2024-09-18,9.67,4.963805584281287,6.721820062047573,29.82583454281567,False,1.6016,1.3879,3,3,3,100.0,28.676848790216763,53.103448275862064,3.0361944157187133,4.963805584281287,历史3/3次成功; 当前距低点4.96%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
15,77.72027473756519,75.99235336928733,601808,中海油服,bottom_area,2024-09-23,13.44,2024-09-18,13.07,2.830910482019887,3.519510328997698,30.25613660618996,False,0.6742,0.1361,1,1,1,100.0,17.88617886178861,17.88617886178861,5.1690895179801135,2.830910482019887,历史1/1次成功; 当前距低点2.83%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
16,77.07185802511427,75.00036144578313,601033,永兴股份,bottom_area,2024-09-23,12.31,2024-09-18,12.0,2.5833333333333375,3.333333333333336,28.783382789317514,False,0.1627,1.3619,1,1,1,100.0,9.518072289156615,9.518072289156615,5.4166666666666625,2.5833333333333375,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
17,76.3763605531927,76.08386423302912,300761,立华股份,bottom_area,2024-09-23,17.48,2024-09-20,16.84,3.8004750593824266,4.750593824228033,32.369477911646584,False,1.216,0.8591,1,1,1,100.0,30.263157894736853,30.263157894736853,4.199524940617573,3.8004750593824266,历史1/1次成功; 当前距低点3.80%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
18,76.29355965935015,77.26299974514014,605266,健之佳,confirmed_rebound,2024-09-23,17.98,2024-09-18,17.18,4.656577415599539,11.757857974388822,27.203389830508478,True,-2.2295,2.1866,5,5,5,100.0,20.591377702726223,33.154615273148806,3.343422584400461,4.656577415599539,历史5/5次成功; 当前距低点4.66%; 最新日涨幅-2.23%; 状态confirmed_rebound; 底部已确认
19,75.76608034783764,75.8851158236394,000683,博源化工,bottom_area,2024-09-23,5.1,2024-09-18,4.9,4.0816326530612095,6.530612244897946,29.69870875179339,False,0.1965,0.7971,2,2,2,100.0,15.974399315155651,22.50673854447439,3.9183673469387905,4.0816326530612095,历史2/2次成功; 当前距低点4.08%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
20,75.52012446989107,74.83230414245405,301326,捷邦科技,bottom_area,2024-09-23,30.55,2024-09-18,29.51,3.5242290748898646,6.743476787529645,30.054515287982923,False,-0.196,7.6368,2,2,2,100.0,25.954550716144787,41.81240063593006,4.475770925110136,3.5242290748898646,历史2/2次成功; 当前距低点3.52%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
21,75.4673430678678,75.66260139404598,000966,长源电力,bottom_area,2024-09-23,4.03,2024-09-18,3.87,4.134366925064603,4.392764857881136,28.33333333333334,False,1.0025,0.2448,2,2,2,100.0,15.424505285985354,20.94117647058823,3.8656330749353978,4.134366925064603,历史2/2次成功; 当前距低点4.13%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
22,75.35511860722498,74.83559874814694,688009,中国通号,bottom_area,2024-09-23,4.84,2024-09-18,4.67,3.6402569593147733,4.710920770877939,28.153846153846157,False,0.4149,0.1715,1,1,1,100.0,21.588089330024815,21.588089330024815,4.359743040685227,3.6402569593147733,历史1/1次成功; 当前距低点3.64%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
23,75.03750810450889,75.10239137999916,000155,川能动力,bottom_area,2024-09-23,9.26,2024-08-23,8.9,4.044943820224713,7.752808988764039,29.08366533864542,True,-0.8565,0.3589,2,2,2,100.0,24.596039194147934,37.70685579196216,3.955056179775287,4.044943820224713,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
