rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.94448457497722,82.45229143162103,300437,清水源,bottom_area,2023-10-20,12.1,2023-10-19,11.9,1.680672268907557,3.8655462184873866,29.082240762812877,False,0.0827,1.3068,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,18.319327731092443,1.680672268907557,历史5/6次成功; 当前距低点1.68%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
2,94.47549722376537,79.61635696821514,000663,永安林业,bottom_area,2023-10-20,8.23,2023-10-20,8.18,0.6112469437652899,1.3447432762836116,28.056288478452064,False,0.0,1.1145,1,1,1,100.0,50.39215686274511,50.39215686274511,19.388753056234712,0.6112469437652899,历史1/1次成功; 当前距低点0.61%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,91.71068034169821,77.43418271202174,601226,华电科工,bottom_area,2023-10-20,5.63,2023-10-20,5.59,0.7155635062611813,2.5044722719141426,31.411042944785283,False,0.3565,0.4353,1,1,1,100.0,39.54659949622166,39.54659949622166,19.28443649373882,0.7155635062611813,历史1/1次成功; 当前距低点0.72%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
4,90.8246943063062,79.9311777478287,601155,新城控股,bottom_area,2023-10-20,11.74,2023-10-20,11.4,2.982456140350876,4.73684210526315,27.06333973128599,False,1.645,0.9528,2,2,2,100.0,24.2536438055306,24.642857142857142,17.017543859649127,2.982456140350876,历史2/2次成功; 当前距低点2.98%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
5,90.75274487186927,79.35138564851509,300351,永贵电器,bottom_area,2023-10-20,18.36,2023-10-20,17.89,2.6271660145332523,7.266629401900507,30.089878858929264,False,0.0545,15.5996,1,1,1,100.0,33.447979363714516,33.447979363714516,17.372833985466748,2.6271660145332523,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
6,88.67770100348922,74.5783175803403,000524,岭南控股,bottom_area,2023-10-20,8.04,2023-10-19,8.0,0.49999999999998934,1.8750000000000044,28.571428571428566,False,0.1245,0.5874,1,1,1,100.0,21.550094517958406,21.550094517958406,19.50000000000001,0.49999999999998934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
7,87.04692908665979,72.92626438118998,600004,白云机场,bottom_area,2023-10-20,10.36,2023-10-20,10.33,0.2904162633107392,1.2584704743465709,29.966101694915253,False,-0.2887,0.3144,1,1,1,100.0,32.57211538461537,32.57211538461537,19.70958373668926,0.2904162633107392,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
8,86.55642477876104,72.13035398230087,601890,亚星锚链,bottom_area,2023-10-20,8.79,2023-10-20,8.79,0.0,1.8202502844141086,27.235099337748352,False,-0.9019,0.7558,1,1,1,100.0,36.991150442477874,36.991150442477874,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
9,86.1373850729553,72.63476795341094,300735,光弘科技,bottom_area,2023-10-20,17.16,2023-10-20,17.05,0.6451612903225773,5.630498533724345,32.9004329004329,False,-4.2411,7.6253,2,2,2,100.0,28.901804813690458,31.262729124236255,19.354838709677423,0.6451612903225773,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
10,85.73060400896166,74.47226431261583,002708,光洋股份,bottom_area,2023-10-20,7.66,2023-10-20,7.49,2.2696929238985306,7.343124165554057,28.869895536562197,False,-3.4048,11.4335,1,1,1,100.0,35.522388059701484,35.522388059701484,17.73030707610147,2.2696929238985306,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
11,83.92504514554925,70.87534287992679,001322,箭牌家居,bottom_area,2023-10-20,12.47,2023-10-20,12.38,0.7269789983844899,2.3424878836833534,29.257142857142853,False,-0.1601,2.7206,1,1,1,100.0,26.897069872276486,26.897069872276486,19.27302100161551,0.7269789983844899,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
12,81.2762457337884,67.730204778157,002099,海翔药业,bottom_area,2023-10-20,6.92,2023-10-20,6.92,0.0,6.6473988439306355,31.55291790306627,False,-10.013,3.9959,1,1,1,100.0,23.549488054607508,23.549488054607508,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
13,77.6104581315854,66.99017026850036,688103,国力电子,bottom_area,2023-10-20,46.69,2023-10-20,45.81,1.920977952412127,3.252564942152357,29.523076923076918,False,0.1716,0.8857,1,2,1,50.0,57.609964966913196,57.609964966913196,18.079022047587873,1.920977952412127,历史1/2次成功; 当前距低点1.92%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
14,71.9680706015816,60.35362693100937,600009,上海机场,bottom_area,2023-10-20,34.92,2023-10-20,34.8,0.3448275862069096,1.4080459770115001,28.877988963825878,False,-0.6826,0.4044,2,4,2,50.0,23.97760122344691,27.704918032786885,19.655172413793093,0.3448275862069096,历史2/4次成功; 当前距低点0.34%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
15,70.54009947617114,61.095996591863354,000014,沙河股份,bottom_area,2023-10-20,11.14,2023-10-19,10.91,2.1081576535288766,3.6663611365719557,31.167192429022077,False,0.9973,3.0652,1,2,1,50.0,20.605355064027936,20.605355064027936,17.891842346471122,2.1081576535288766,历史1/2次成功; 当前距低点2.11%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
16,70.29698547548944,58.770180334342484,002333,罗普斯金,bottom_area,2023-10-20,5.69,2023-10-20,5.68,0.1760563380281809,1.7605633802816996,30.816077953714995,False,-1.2153,1.4991,1,2,1,50.0,46.728971962616825,46.728971962616825,19.82394366197182,0.1760563380281809,历史1/2次成功; 当前距低点0.18%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
17,69.10847831024302,59.2685294117647,002366,融发核电,bottom_area,2023-10-20,5.18,2023-10-20,5.1,1.5686274509803935,2.5490196078431526,27.03862660944207,False,0.1934,0.7656,1,4,1,25.0,25.0,25.0,18.43137254901961,1.5686274509803935,历史1/4次成功; 当前距低点1.57%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
18,67.57671526866555,57.080579419386424,600202,哈空调,bottom_area,2023-10-20,5.46,2023-10-19,5.42,0.7380073800738014,2.583025830258297,27.73333333333333,False,0.0,2.5604,1,3,1,33.33333333333333,41.50485436893204,41.50485436893204,19.2619926199262,0.7380073800738014,历史1/3次成功; 当前距低点0.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
19,67.0830377600205,56.75897693483629,600408,安泰集团,bottom_area,2023-10-20,2.43,2023-10-19,2.41,0.8298755186721999,2.9045643153526903,29.532163742690052,False,0.0,1.8725,1,2,1,50.0,21.457489878542503,21.457489878542503,19.170124481327804,0.8298755186721999,历史1/2次成功; 当前距低点0.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
