rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.13182311429885,74.65355743075791,603315,福鞍股份,bottom_area,2023-03-30,14.52,2023-03-30,14.48,0.276243093922646,4.834254143646404,27.089627391742194,False,-2.6157,1.0578,1,1,1,100.0,41.68490153172865,41.68490153172865,19.723756906077355,0.276243093922646,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
2,85.67314694582576,72.59327718310428,603356,华菱精工,bottom_area,2023-03-30,12.21,2023-03-30,12.1,0.9090909090909192,7.3553719008264515,28.613569321533923,False,-8.0572,8.2394,2,2,2,100.0,31.91400245070737,38.38297872340427,19.09090909090908,0.9090909090909192,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-8.06%; 状态bottom_area; 底部未确认
3,85.57216871255534,72.34471134891581,002708,光洋股份,bottom_area,2023-03-30,6.41,2023-03-20,6.36,0.7861635220125759,6.132075471698108,31.759656652360512,False,-0.4658,1.0501,1,1,1,100.0,35.522388059701484,35.522388059701484,19.213836477987424,0.7861635220125759,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
4,77.9367358446021,71.12097567568253,300707,威唐工业,bottom_area,2023-03-30,15.84,2023-03-20,15.09,4.970178926441352,9.542743538767404,32.27109515260324,True,-1.0618,2.587,3,4,3,75.0,35.36550337617637,59.14285714285715,15.029821073558649,4.970178926441352,历史3/4次成功; 当前距低点4.97%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
5,73.74682213364196,63.770796536796546,002660,茂硕电源,bottom_area,2023-03-30,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,0.0,1.6207,1,2,1,50.0,24.71428571428572,24.71428571428572,17.979797979797986,2.020202020202017,历史1/2次成功; 当前距低点2.02%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
6,72.95635876976559,62.89509201732344,300699,光威复材,bottom_area,2023-03-30,51.66,2023-03-30,50.72,1.853312302839112,2.917981072555213,30.767130767130773,False,-0.5008,2.2718,1,2,1,50.0,49.6271186440678,49.6271186440678,18.14668769716089,1.853312302839112,历史1/2次成功; 当前距低点1.85%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
7,67.91864916208573,60.619440119606146,605333,沪光股份,bottom_area,2023-03-30,18.52,2023-03-20,17.85,3.7535014005602134,8.403361344537814,30.409356725146193,True,0.3794,1.9811,1,2,1,50.0,29.01840490797546,29.01840490797546,16.24649859943979,3.7535014005602134,历史1/2次成功; 当前距低点3.75%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
8,66.86139073195052,56.79037699433509,688357,建龙微纳,bottom_area,2023-03-30,93.19,2023-03-30,92.23,1.0408760706928264,2.992518703241885,27.108195684817826,False,-0.8617,0.8487,1,3,1,33.33333333333333,26.291618828932272,26.291618828932272,18.959123929307175,1.0408760706928264,历史1/3次成功; 当前距低点1.04%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
9,66.01998820376907,57.39625099088088,002192,融捷股份,bottom_area,2023-03-30,78.27,2023-03-30,76.5,2.3137254901960733,3.1503267973856164,27.336626139817632,False,-1.3238,4.8202,1,2,1,50.0,25.707231766279197,25.707231766279197,17.68627450980393,2.3137254901960733,历史1/2次成功; 当前距低点2.31%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
10,63.2891006652753,53.71204224522027,002347,泰尔股份,bottom_area,2023-03-30,5.07,2023-03-20,5.02,0.9960159362549943,6.175298804780887,29.09604519774012,False,-0.9766,2.1973,1,2,1,50.0,29.585798816568047,29.585798816568047,19.00398406374501,0.9960159362549943,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
11,61.726711703638195,55.97073115003808,000887,中鼎股份,bottom_area,2023-03-30,12.68,2023-03-20,12.12,4.620462046204625,6.600660066006607,28.45336481700119,False,0.9554,0.9337,1,2,1,50.0,23.84615384615385,23.84615384615385,15.379537953795374,4.620462046204625,历史1/2次成功; 当前距低点4.62%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
