rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.2180118324331,85.25028607586987,002481,双塔食品,bottom_area,2024-07-04,3.9,2024-06-28,3.84,1.5625000000000013,7.552083333333334,27.819548872180455,True,-2.9851,1.0519,3,3,3,100.0,32.057989655214385,54.6583850931677,13.437499999999996,1.5625000000000013,历史3/3次成功; 当前距低点1.56%; 最新日涨幅-2.99%; 状态bottom_area; 底部已确认
2,92.5795916573184,82.22011893645698,002299,圣农发展,bottom_area,2024-07-04,12.54,2024-07-04,12.4,1.1290322580645062,4.112903225806449,28.735632183908038,False,-2.7153,1.2318,3,3,3,100.0,19.64684131636587,26.73830594184577,13.870967741935495,1.1290322580645062,历史3/3次成功; 当前距低点1.13%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
3,91.49216277454211,82.16425086666885,300765,新诺威,bottom_area,2024-07-04,22.99,2024-07-03,22.6,1.725663716814146,7.079646017699106,28.997800816839455,False,-0.8197,0.6881,3,3,3,100.0,26.66002226346828,28.947368421052634,13.274336283185853,1.725663716814146,历史3/3次成功; 当前距低点1.73%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
4,87.90339730085722,78.1387318087318,001218,丽臣实业,bottom_area,2024-07-04,14.6,2024-06-24,14.43,1.1781011781011776,6.1677061677061715,27.121212121212125,False,-3.1188,1.3204,2,2,2,100.0,25.18711018711019,29.999999999999993,13.82189882189882,1.1781011781011776,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
5,87.57723783045614,77.48855773196257,603368,柳药集团,bottom_area,2024-07-04,17.37,2024-07-04,17.21,0.9296920395119125,2.9633933759442064,28.58921161825726,False,-1.5306,1.2344,3,3,3,100.0,31.603524634675978,42.85714285714285,14.070307960488087,0.9296920395119125,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
6,87.50971963017065,77.99742497554445,000862,银星能源,bottom_area,2024-07-04,4.6,2024-07-04,4.54,1.3215859030836918,4.625550660792951,29.062500000000004,False,-2.5424,1.7743,1,1,1,100.0,32.63785394932937,32.63785394932937,13.678414096916308,1.3215859030836918,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
7,87.35912907347151,76.14041738896621,688102,斯瑞新材,bottom_area,2024-07-04,8.09,2024-07-04,8.08,0.12376237623762112,4.7029702970297125,30.881094952951237,False,-3.3453,1.2396,3,3,3,100.0,24.691374230042936,37.1943371943372,14.876237623762378,0.12376237623762112,历史3/3次成功; 当前距低点0.12%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
8,86.95657970521187,79.05143609564715,000717,中南股份,bottom_area,2024-07-04,1.72,2024-06-24,1.68,2.380952380952383,7.738095238095245,29.411764705882355,True,-3.9106,0.5603,2,2,2,100.0,35.64520174311065,56.020942408376975,12.619047619047615,2.380952380952383,历史2/2次成功; 当前距低点2.38%; 最新日涨幅-3.91%; 状态bottom_area; 底部已确认
9,86.29110608779385,75.36075444786428,301332,德尔玛,bottom_area,2024-07-04,8.67,2024-07-04,8.65,0.23121387283236502,3.468208092485537,31.458003169572102,False,-2.6936,0.952,1,1,1,100.0,44.935064935064936,44.935064935064936,14.768786127167635,0.23121387283236502,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
10,86.28521696661137,75.71780487804875,002687,乔治白,bottom_area,2024-07-04,4.12,2024-06-24,4.1,0.48780487804879175,4.390243902439039,29.914529914529915,False,-1.9048,1.1134,1,1,1,100.0,64.00000000000001,64.00000000000001,14.512195121951207,0.48780487804879175,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
11,86.27593077414069,77.19512759279475,002345,潮宏基,bottom_area,2024-07-04,4.65,2024-07-04,4.58,1.5283842794759888,4.803493449781654,30.28919330289194,False,-2.5157,0.7751,1,1,1,100.0,30.859375,30.859375,13.47161572052401,1.5283842794759888,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
