rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.50315224603621,80.11388255915865,603368,柳药集团,bottom_area,2022-02-24,16.5,2022-01-28,16.3,1.2269938650306704,6.871165644171786,30.282292557741652,False,-1.4337,3.1087,1,1,1,100.0,42.85714285714285,42.85714285714285,6.77300613496933,1.2269938650306704,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
2,79.47351321228254,75.87353010890399,688208,道通科技,bottom_area,2022-02-24,49.2,2022-02-24,48.43,1.589923601073721,6.937848441048936,32.24678231673196,False,-4.2429,1.5053,1,1,1,100.0,34.72341892124764,34.72341892124764,6.410076398926279,1.589923601073721,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
3,76.7052153982109,73.70590729656786,002707,众信旅游,bottom_area,2022-02-24,6.35,2022-02-24,6.23,1.9261637239165204,7.704654895666124,28.636884306987398,False,-3.2012,6.8309,2,2,2,100.0,10.524519285470474,11.76470588235293,6.0738362760834805,1.9261637239165204,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
4,76.5411219666432,72.44671412328833,002705,新宝股份,bottom_area,2022-02-24,18.6,2022-02-24,18.39,1.1419249592169702,7.123436650353446,27.88235294117647,False,-3.9752,1.1181,1,1,1,100.0,10.808080808080812,10.808080808080812,6.85807504078303,1.1419249592169702,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
5,75.72619390668565,72.30553143712575,002355,兴民智通,bottom_area,2022-02-24,5.09,2022-02-24,5.01,1.5968063872255505,6.586826347305391,27.18023255813954,False,-4.1431,1.5512,1,1,1,100.0,15.624999999999991,15.624999999999991,6.40319361277445,1.5968063872255505,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
6,74.33312805444484,73.35833258417381,300624,万兴科技,confirmed_rebound,2022-02-24,38.35,2022-02-24,37.12,3.3135775862069075,8.755387931034484,32.790150280644575,False,-5.332,4.7682,2,2,2,100.0,35.87790043400834,51.195680123425035,4.6864224137930925,3.3135775862069075,历史2/2次成功; 当前距低点3.31%; 最新日涨幅-5.33%; 状态confirmed_rebound; 底部未确认
7,73.96577863371203,73.7317735521239,603196,璞源材料,confirmed_rebound,2022-02-24,7.31,2022-01-27,7.04,3.8352272727272667,10.227272727272723,28.960645812310798,True,-3.9422,1.7848,3,3,3,100.0,18.419848031946557,22.85714285714286,4.164772727272734,3.8352272727272667,历史3/3次成功; 当前距低点3.84%; 最新日涨幅-3.94%; 状态confirmed_rebound; 底部已确认
8,72.79551619676114,73.08194688194688,300511,雪榕生物,confirmed_rebound,2022-02-24,6.94,2022-01-27,6.66,4.204204204204208,8.70870870870871,31.198347107438014,True,-2.2535,4.2942,2,2,2,100.0,25.900712191034756,29.220779220779214,3.795795795795792,4.204204204204208,历史2/2次成功; 当前距低点4.20%; 最新日涨幅-2.25%; 状态confirmed_rebound; 底部已确认
9,72.46325927588228,71.22004332669383,688276,百克生物,confirmed_rebound,2022-02-24,50.55,2022-02-14,49.03,3.1001427697328086,8.341831531715268,30.55240793201132,True,-3.1052,2.9535,2,2,2,100.0,12.571875492928125,16.844155844155843,4.899857230267192,3.1001427697328086,历史2/2次成功; 当前距低点3.10%; 最新日涨幅-3.11%; 状态confirmed_rebound; 底部已确认
10,72.3837823654523,71.88554879676833,600211,西藏药业,bottom_area,2022-02-24,42.13,2022-01-28,40.65,3.6408364083640934,6.519065190651903,28.18021201413428,False,-0.1185,1.4581,2,2,2,100.0,11.541160257196122,13.252533280349695,4.359163591635907,3.6408364083640934,历史2/2次成功; 当前距低点3.64%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
11,72.14606504535806,70.94219745222932,000518,四环生物,confirmed_rebound,2022-02-24,3.3,2022-01-27,3.2,3.124999999999989,8.4375,27.272727272727277,True,-0.9009,2.0183,1,1,1,100.0,17.834394904458602,17.834394904458602,4.8750000000000115,3.124999999999989,历史1/1次成功; 当前距低点3.12%; 最新日涨幅-0.90%; 状态confirmed_rebound; 底部已确认
