rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.19645459710709,84.3970890265275,002006,精工科技,bottom_area,2023-04-12,22.31,2023-04-11,21.6,3.2870370370370243,4.62962962962963,29.938371715861166,False,0.5861,0.9604,3,3,3,100.0,35.330825112752166,61.48648648648647,6.712962962962976,3.2870370370370243,历史3/3次成功; 当前距低点3.29%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
2,87.09925853298772,81.7157131728587,000887,中鼎股份,bottom_area,2023-04-12,12.31,2023-04-06,12.11,1.6515276630883657,6.853839801816681,28.512396694214885,False,0.0,1.2342,2,2,2,100.0,17.53331314354936,23.84615384615385,8.348472336911634,1.6515276630883657,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,85.66924792733495,82.50499389992312,000983,山西焦煤,bottom_area,2023-04-12,10.56,2023-04-11,10.25,3.024390243902444,3.8048780487804934,27.715091678420308,False,1.2464,1.009,3,3,3,100.0,21.938729333444627,27.212389380530986,6.9756097560975565,3.024390243902444,历史3/3次成功; 当前距低点3.02%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
4,83.06911582652869,79.82763023516154,002347,泰尔股份,bottom_area,2023-04-12,4.95,2023-04-11,4.81,2.9106029106029228,2.9106029106029228,32.06214689265538,False,2.0619,2.0866,2,2,2,100.0,22.816155222237516,29.585798816568047,7.089397089397077,2.9106029106029228,历史2/2次成功; 当前距低点2.91%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
5,82.37501840530109,79.11651293040785,603356,华菱精工,bottom_area,2023-04-12,12.14,2023-04-06,11.8,2.8813559322033884,7.711864406779662,30.3834808259587,True,-0.5733,0.9248,2,2,2,100.0,31.91400245070737,38.38297872340427,7.118644067796612,2.8813559322033884,历史2/2次成功; 当前距低点2.88%; 最新日涨幅-0.57%; 状态bottom_area; 底部已确认
6,82.30184421014599,77.44438569885675,002729,好利科技,bottom_area,2023-04-12,20.28,2023-04-12,19.92,1.8072289156626478,1.9076305220883483,32.79352226720647,False,0.8454,2.3989,1,1,1,100.0,13.144449605202036,13.144449605202036,8.192771084337352,1.8072289156626478,历史1/1次成功; 当前距低点1.81%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
7,82.28336895270249,77.58764604472003,001299,美能能源,bottom_area,2023-04-12,16.49,2023-04-11,16.18,1.9159456118664941,3.4610630407910925,28.407079646017703,False,0.8563,2.2042,1,1,1,100.0,15.247322794492616,15.247322794492616,8.084054388133506,1.9159456118664941,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
8,80.64852662258484,77.2574551192586,300530,领湃科技,bottom_area,2023-04-12,23.58,2023-04-06,22.95,2.745098039215682,6.753812636165581,28.393135725429016,False,0.0,0.1611,3,4,3,75.0,27.802573379948058,34.07510431154381,7.254901960784318,2.745098039215682,历史3/4次成功; 当前距低点2.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,80.41324949114416,77.8923045215542,002125,湘潭电化,bottom_area,2023-04-12,12.73,2023-04-10,12.32,3.327922077922079,7.629870129870126,29.236071223434806,False,-1.1646,1.1448,3,3,3,100.0,23.333155157078114,32.067510548523195,6.6720779220779205,3.327922077922079,历史3/3次成功; 当前距低点3.33%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
10,79.82578229927293,75.87156398104268,001227,兰州银行,bottom_area,2023-04-12,3.07,2023-04-11,3.0,2.3333333333333277,2.6666666666666687,28.571428571428577,False,1.6556,1.4156,1,1,1,100.0,11.137440758293856,11.137440758293856,7.666666666666673,2.3333333333333277,历史1/1次成功; 当前距低点2.33%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
11,79.51974529186627,74.1898770772909,601888,中国中免,bottom_area,2023-04-12,176.0,2023-04-06,173.64,1.3591338401290105,5.638101819857188,27.646985291053806,False,-1.8241,0.6679,1,1,1,100.0,12.627431359059372,12.627431359059372,8.64086615987099,1.3591338401290105,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
12,78.02320043706293,71.58091783216783,002329,皇氏集团,bottom_area,2023-04-12,6.3,2023-04-12,6.27,0.4784688995215351,2.0733652312599804,29.312288613303267,False,-0.9434,2.4966,1,1,1,100.0,27.644230769230756,27.644230769230756,9.521531100478466,0.4784688995215351,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
13,76.7232479200868,76.18200844986657,300393,中来股份,bottom_area,2023-04-12,14.92,2023-03-20,14.26,4.628330995792427,7.8541374474053365,27.61421319796954,True,-1.7128,2.676,3,3,3,100.0,20.884963012222048,23.89610389610389,5.371669004207574,4.628330995792427,历史3/3次成功; 当前距低点4.63%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
14,75.1017778856798,68.69687925478736,000799,酒鬼酒,bottom_area,2023-04-12,121.05,2023-04-12,120.66,0.3232222774738941,2.105088678932543,28.45962290999644,False,-1.6014,1.675,1,1,1,100.0,10.235623910902333,10.235623910902333,9.676777722526106,0.3232222774738941,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
15,72.09810691965484,71.77443416131744,600141,兴发集团,bottom_area,2023-04-12,26.61,2023-04-12,25.4,4.763779527559059,5.5511811023622055,29.79546710889995,False,-0.8939,4.6398,2,2,2,100.0,24.70887894705429,36.58969804618119,5.236220472440942,4.763779527559059,历史2/2次成功; 当前距低点4.76%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
16,71.95274416904103,66.19467877305776,300767,震安科技,bottom_area,2023-04-12,38.73,2023-04-12,38.49,0.6235385814497139,4.7544816835541654,31.851983002832856,False,-3.8481,1.2905,1,1,1,100.0,10.679283541737075,10.679283541737075,9.376461418550287,0.6235385814497139,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-3.85%; 状态bottom_area; 底部未确认
17,69.78634485867335,66.17054611829974,688357,建龙微纳,bottom_area,2023-04-12,92.6,2023-04-12,90.6,2.207505518763797,4.492273730684335,28.396427724650287,False,-1.174,1.0165,2,3,2,66.66666666666666,18.801032443088825,26.291618828932272,7.792494481236203,2.207505518763797,历史2/3次成功; 当前距低点2.21%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
18,61.20324272395095,58.44129128644108,002374,中锐股份,bottom_area,2023-04-12,4.38,2023-04-07,4.27,2.5761124121779937,4.215456674473082,30.90614886731392,False,2.0979,1.4612,1,2,1,50.0,12.068965517241388,12.068965517241388,7.423887587822006,2.5761124121779937,历史1/2次成功; 当前距低点2.58%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
19,61.1504193565618,56.07791687554647,300763,锦浪科技,bottom_area,2023-04-12,125.4,2023-04-12,124.83,0.456621004566216,3.580869983177131,29.310833003001303,False,-2.7907,1.7561,1,2,1,50.0,35.693617021276594,35.693617021276594,9.543378995433786,0.456621004566216,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
20,58.74437512551648,56.318603932057364,002192,融捷股份,bottom_area,2023-04-12,76.36,2023-04-06,74.29,2.7863777089783186,4.118993135011425,29.43579027355623,False,-1.0368,3.1153,1,2,1,50.0,25.707231766279197,25.707231766279197,7.213622291021682,2.7863777089783186,历史1/2次成功; 当前距低点2.79%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
21,54.59316344544401,54.558741526499844,002520,日发精机,bottom_area,2023-04-12,6.34,2023-04-06,6.04,4.9668874172185395,7.284768211920537,27.316486161251508,True,2.0934,2.8019,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,5.033112582781461,4.9668874172185395,历史1/3次成功; 当前距低点4.97%; 最新日涨幅2.09%; 状态bottom_area; 底部已确认
