rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.66548163296717,80.17094084178899,002374,中锐股份,bottom_area,2023-03-22,4.57,2023-03-20,4.49,1.7817371937639215,3.1180400890868527,27.346278317152095,False,0.4396,1.1012,2,2,2,100.0,10.82420238478892,12.068965517241388,6.218262806236079,1.7817371937639215,历史2/2次成功; 当前距低点1.78%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
2,83.37268846010089,81.0397266327932,300382,斯莱克,bottom_area,2023-03-22,15.84,2023-03-14,15.45,2.524271844660198,5.501618122977356,29.836512261580385,False,-1.4925,1.4975,3,3,3,100.0,30.403583003325068,49.70059880239522,5.4757281553398025,2.524271844660198,历史3/3次成功; 当前距低点2.52%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
3,78.15701404194006,77.83432279962302,002347,泰尔股份,bottom_area,2023-03-22,5.21,2023-03-20,5.02,3.784860557768933,4.581673306772918,29.09604519774012,False,0.0,2.2143,2,2,2,100.0,22.816155222237516,29.585798816568047,4.2151394422310675,3.784860557768933,历史2/2次成功; 当前距低点3.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,75.14683614053192,74.34374906646752,002645,华宏科技,bottom_area,2023-03-22,15.33,2023-03-20,14.82,3.441295546558703,4.588394062078271,29.22636103151863,False,0.2616,1.2538,1,1,1,100.0,16.50485436893203,16.50485436893203,4.5587044534412975,3.441295546558703,历史1/1次成功; 当前距低点3.44%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
5,74.74918054846891,75.86223285379364,300393,中来股份,bottom_area,2023-03-22,14.94,2023-03-20,14.26,4.768583450210376,7.22300140252454,27.61421319796954,True,-0.994,3.1006,3,3,3,100.0,20.884963012222048,23.89610389610389,3.2314165497896243,4.768583450210376,历史3/3次成功; 当前距低点4.77%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
6,74.52438697170976,75.33093776401014,002708,光洋股份,bottom_area,2023-03-22,6.65,2023-03-20,6.36,4.5597484276729565,5.18867924528302,31.759656652360512,False,0.4532,1.7918,1,1,1,100.0,35.522388059701484,35.522388059701484,3.440251572327044,4.5597484276729565,历史1/1次成功; 当前距低点4.56%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
7,73.7952021830172,74.97685018594775,002660,茂硕电源,bottom_area,2023-03-22,9.34,2023-03-20,8.91,4.82603815937149,4.938271604938266,28.31858407079646,False,1.1918,2.5725,2,2,2,100.0,20.21622144792876,24.71428571428572,3.17396184062851,4.82603815937149,历史2/2次成功; 当前距低点4.83%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
8,73.64623718503454,71.90193082372554,002324,普利特,bottom_area,2023-03-22,14.18,2023-03-20,13.8,2.75362318840579,7.391304347826083,29.01234567901235,True,-2.0041,2.1762,1,1,1,100.0,8.226837060702884,8.226837060702884,5.24637681159421,2.75362318840579,历史1/1次成功; 当前距低点2.75%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
9,73.19720428506321,68.32649205720209,300751,迈为股份,bottom_area,2023-03-22,310.3,2023-03-22,309.0,0.420711974110036,3.8511326860841346,32.219005001316134,False,-2.1136,1.4104,1,1,1,100.0,9.439329882650446,9.439329882650446,7.579288025889965,0.420711974110036,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
10,72.62996987165,72.45961208628432,000887,中鼎股份,bottom_area,2023-03-22,12.59,2023-03-20,12.12,3.8778877887788834,6.600660066006607,28.45336481700119,False,-0.788,1.4628,2,2,2,100.0,17.53331314354936,23.84615384615385,4.122112211221117,3.8778877887788834,历史2/2次成功; 当前距低点3.88%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
11,71.27881547545232,71.97465525202313,605128,上海沿浦,bottom_area,2023-03-22,42.45,2023-03-20,40.62,4.505169867060575,6.893156080748411,31.731092436974794,False,0.0707,2.1246,1,1,1,100.0,16.80883090817863,16.80883090817863,3.4948301329394256,4.505169867060575,历史1/1次成功; 当前距低点4.51%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
12,68.68848203933473,69.87567117001949,603290,斯达半导,confirmed_rebound,2023-03-22,269.57,2023-03-20,257.0,4.891050583657585,9.256809338521409,27.605633802816904,True,-1.6455,1.2478,2,2,2,100.0,17.082077961068716,23.2822670787034,3.108949416342415,4.891050583657585,历史2/2次成功; 当前距低点4.89%; 最新日涨幅-1.65%; 状态confirmed_rebound; 底部已确认
13,67.7539052323181,67.68408783512427,688234,天岳先进,confirmed_rebound,2023-03-22,69.8,2023-03-08,67.15,3.9463886820550873,10.647803425167522,28.472518108223255,True,-0.8523,1.02,1,1,1,100.0,10.386311990375614,10.386311990375614,4.053611317944913,3.9463886820550873,历史1/1次成功; 当前距低点3.95%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
14,64.33534842083289,65.10002790266235,603025,大豪科技,bottom_area,2023-03-22,16.55,2023-03-22,15.82,4.614412136536033,6.763590391908977,28.834907782276204,False,-4.0023,3.4438,1,1,1,100.0,13.87573964497043,13.87573964497043,3.385587863463967,4.614412136536033,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
15,50.2042596815777,50.39496346052663,601633,长城汽车,bottom_area,2023-03-22,27.06,2023-03-20,25.97,4.197150558336542,5.3908355795148335,27.80094523213789,False,0.4827,0.4316,1,3,1,33.33333333333333,8.124373119358085,8.124373119358085,3.8028494416634584,4.197150558336542,历史1/3次成功; 当前距低点4.20%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
