rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.14609910037225,85.38688923987607,300665,飞鹿股份,bottom_area,2025-09-02,9.43,2025-08-28,9.32,1.1802575107296076,6.115879828326183,27.470817120622566,False,-1.3598,8.808,5,5,5,100.0,20.633743894298735,23.50486787204451,6.819742489270393,1.1802575107296076,历史5/5次成功; 当前距低点1.18%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
2,88.88458096589446,85.16556084179847,300510,金冠股份,bottom_area,2025-09-02,4.58,2025-09-02,4.5,1.7777777777777795,3.555555555555559,28.90995260663507,False,-1.9272,6.0616,4,4,4,100.0,26.76824825339677,40.000000000000014,6.2222222222222205,1.7777777777777795,历史4/4次成功; 当前距低点1.78%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
3,84.4899787375693,83.71451793981105,603221,爱丽家居,bottom_area,2025-09-02,12.35,2025-09-02,11.93,3.5205364626990776,5.616093880972338,32.2159090909091,False,1.0638,3.8379,4,4,4,100.0,17.856672444972688,20.699708454810505,4.479463537300923,3.5205364626990776,历史4/4次成功; 当前距低点3.52%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
4,83.51540435623846,79.86086596319042,002826,易明医药,bottom_area,2025-09-02,19.44,2025-09-02,19.12,1.673640167364018,5.1255230125523035,28.73648900484531,False,-2.3116,5.1727,2,2,2,100.0,30.305191100969765,50.0,6.326359832635982,1.673640167364018,历史2/2次成功; 当前距低点1.67%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
5,83.2443427795761,79.24813357918498,002148,北纬科技,bottom_area,2025-09-02,10.55,2025-09-02,10.4,1.4423076923076956,5.86538461538461,27.72758860319666,False,-4.0909,10.4955,3,3,3,100.0,17.72362966476626,19.756097560975626,6.557692307692305,1.4423076923076956,历史3/3次成功; 当前距低点1.44%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
6,81.92530685377774,76.70826086956524,301259,艾布鲁,bottom_area,2025-09-02,45.11,2025-09-02,44.85,0.5797101449275318,6.6666666666666705,27.591217307071354,False,-3.1974,8.8987,2,2,2,100.0,52.009763002213916,74.57627118644068,7.420289855072467,0.5797101449275318,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
7,81.59216446441859,77.00487410690712,688115,思林杰,bottom_area,2025-09-02,56.0,2025-09-02,55.45,0.9918845807033313,5.320108205590614,27.144921823676256,False,-3.4483,3.6324,7,7,7,100.0,23.313822316724192,53.58819584171696,7.0081154192966695,0.9918845807033313,历史7/7次成功; 当前距低点0.99%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
8,81.58258994898277,76.71356475300402,002097,山河智能,bottom_area,2025-09-02,15.1,2025-08-28,14.98,0.8010680907877117,7.009345794392528,28.59866539561487,True,-2.4548,6.3952,1,1,1,100.0,50.210970464135016,50.210970464135016,7.1989319092122885,0.8010680907877117,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-2.45%; 状态bottom_area; 底部已确认
9,80.25970782090941,76.48339866475044,603367,辰欣药业,bottom_area,2025-09-02,24.45,2025-09-02,24.09,1.4943960149439577,6.351183063511836,31.28921848260126,False,-3.6643,3.4335,2,2,2,100.0,20.164632144207957,31.216931216931226,6.505603985056043,1.4943960149439577,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
10,79.9961471682706,75.75900628574068,603511,爱慕股份,bottom_area,2025-09-02,14.69,2025-09-02,14.52,1.1707988980716248,2.4793388429752152,32.14953271028037,False,-1.0774,0.8138,1,1,1,100.0,18.754988028731056,18.754988028731056,6.829201101928375,1.1707988980716248,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
11,79.63120370822688,77.39414072553585,002041,登海种业,bottom_area,2025-09-02,9.77,2025-06-23,9.53,2.518363064008397,7.345225603357829,29.719764011799416,True,-0.1022,1.28,2,2,2,100.0,18.2043468358871,21.395106715252467,5.481636935991603,2.518363064008397,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
12,79.39118881000827,75.65303866424556,600658,电子城,bottom_area,2025-09-02,6.12,2025-09-02,6.03,1.4925373134328335,6.633499170812594,32.247191011235955,False,-4.6729,6.591,1,1,1,100.0,32.344213649851625,32.344213649851625,6.507462686567167,1.4925373134328335,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
