rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.26886430993497,83.15058747777168,001212,中旗新材,bottom_area,2024-06-21,21.12,2024-06-21,20.83,1.3922227556409155,2.256361017762854,27.040280210157626,False,0.7153,1.323,3,4,3,75.0,42.90244817544601,82.06521739130437,18.607777244359085,1.3922227556409155,历史3/4次成功; 当前距低点1.39%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
2,95.23155172413792,81.95,002491,通鼎互联,bottom_area,2024-06-21,3.48,2024-06-06,3.42,1.7543859649122824,8.479532163742691,29.48453608247422,True,-0.8547,0.494,1,1,1,100.0,52.39520958083833,52.39520958083833,18.24561403508772,1.7543859649122824,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
3,95.19134097289196,81.21688084090185,002790,瑞尔特,bottom_area,2024-06-21,9.45,2024-06-21,9.33,1.286173633440506,1.9292604501607686,32.732516222062,False,-0.1057,1.0941,1,1,1,100.0,49.512670565302145,49.512670565302145,18.713826366559495,1.286173633440506,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
4,95.07580907244419,79.92428571428573,002687,乔治白,bottom_area,2024-06-21,4.22,2024-06-06,4.2,0.476190476190466,5.714285714285719,28.2051282051282,False,0.0,0.9344,1,1,1,100.0,64.00000000000001,64.00000000000001,19.523809523809536,0.476190476190466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,94.5306122631967,82.14722466451593,600162,香江控股,bottom_area,2024-06-21,1.34,2024-06-20,1.31,2.2900763358778646,3.8167938931297747,31.770833333333325,False,1.5152,0.4145,2,2,2,100.0,27.68063822751323,28.90624999999999,17.709923664122137,2.2900763358778646,历史2/2次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
6,93.6046287428607,80.60556265303951,002162,悦心健康,bottom_area,2024-06-21,2.84,2024-06-06,2.79,1.7921146953404954,9.318996415770602,28.64450127877238,True,-2.7397,1.0021,1,1,1,100.0,43.23432343234324,43.23432343234324,18.207885304659506,1.7921146953404954,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
7,91.96794101015297,78.35693548387098,000520,凤凰航运,bottom_area,2024-06-21,2.51,2024-06-21,2.48,1.209677419354831,4.435483870967737,29.142857142857142,False,-4.1985,4.475,2,2,2,100.0,26.74731182795698,28.49462365591398,18.790322580645167,1.209677419354831,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
8,90.8272083291807,76.67231871943827,002483,润邦股份,bottom_area,2024-06-21,4.29,2024-06-21,4.26,0.704225352112682,2.3474178403755994,27.054794520547947,False,0.2336,0.7715,1,1,1,100.0,35.31157270029672,35.31157270029672,19.29577464788732,0.704225352112682,历史1/1次成功; 当前距低点0.70%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
9,89.41196232430623,76.61111739284372,300662,科锐国际,bottom_area,2024-06-21,17.38,2024-06-21,17.12,1.5186915887850352,3.9719626168224282,28.992119452509325,False,-1.9187,2.0316,1,1,1,100.0,27.600721587492483,27.600721587492483,18.481308411214968,1.5186915887850352,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
10,88.19587624140564,74.38792207792207,301332,德尔玛,bottom_area,2024-06-21,9.18,2024-06-21,9.12,0.6578947368421107,3.728070175438615,27.733755942947703,False,-1.1841,0.6936,1,1,1,100.0,44.935064935064936,44.935064935064936,19.34210526315789,0.6578947368421107,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
11,87.89729577052344,74.36062660144421,000402,金融街,bottom_area,2024-06-21,2.45,2024-06-20,2.43,0.8230452674897125,3.292181069958832,30.571428571428566,False,0.823,0.8139,1,1,1,100.0,24.339622641509433,24.339622641509433,19.17695473251029,0.8230452674897125,历史1/1次成功; 当前距低点0.82%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
