rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.99400322962144,84.36915614097282,300538,同益股份,bottom_area,2023-12-08,18.76,2023-12-08,18.55,1.1320754716981178,2.9649595687331574,29.198473282442745,False,0.0,4.2398,2,2,2,100.0,25.431657077658826,30.150753768844226,13.86792452830188,1.1320754716981178,历史2/2次成功; 当前距低点1.13%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,84.24471723472726,75.0547565840002,300683,海特生物,bottom_area,2023-12-08,36.67,2023-12-06,36.2,1.2983425414364609,5.220994475138123,29.89930286599535,False,-0.4344,1.0457,1,1,1,100.0,16.532137518684582,16.532137518684582,13.701657458563538,1.2983425414364609,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
3,81.86869581761988,76.44828247803979,688303,大全能源,bottom_area,2023-12-08,29.9,2023-12-07,28.8,3.819444444444437,3.819444444444437,32.10749646393211,False,1.253,2.0848,1,1,1,100.0,32.45492371705965,32.45492371705965,11.180555555555562,3.819444444444437,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
4,81.64419384486821,75.2656496812222,688282,理工导航,bottom_area,2023-12-08,38.55,2023-12-06,37.38,3.130016051364351,4.842161583734604,32.62436914203315,False,0.4168,2.9791,1,1,1,100.0,17.645625152327572,17.645625152327572,11.869983948635648,3.130016051364351,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
5,80.31661877706426,72.47900709219857,002137,实益达,bottom_area,2023-12-08,7.19,2023-11-30,7.05,1.9858156028368874,5.6737588652482325,27.31958762886598,False,-2.8378,8.5084,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,13.014184397163111,1.9858156028368874,历史2/3次成功; 当前距低点1.99%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
6,80.23653607621526,70.8524941620953,002142,宁波银行,bottom_area,2023-12-08,20.82,2023-12-07,20.65,0.8232445520581197,2.421307506053269,28.988995873452545,False,-0.9986,0.4561,1,1,1,100.0,27.95425667090217,27.95425667090217,14.17675544794188,0.8232445520581197,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
7,79.91100400337129,69.9491150442478,002369,卓翼科技,bottom_area,2023-12-08,5.67,2023-12-08,5.65,0.3539823008849482,3.539823008849545,27.47111681643132,False,-1.9031,5.8876,1,1,1,100.0,17.345132743362825,17.345132743362825,14.646017699115053,0.3539823008849482,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
8,79.310734743054,72.25301616759569,603353,和顺石油,bottom_area,2023-12-08,26.3,2023-12-08,25.66,2.494154325798911,5.416991426344507,30.271739130434778,False,-1.9023,3.7798,3,4,3,75.0,20.294021668909693,27.079174983366617,12.505845674201089,2.494154325798911,历史3/4次成功; 当前距低点2.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
9,77.98046908515207,69.4376474100612,300511,雪榕生物,bottom_area,2023-12-08,5.58,2023-10-30,5.51,1.270417422867519,8.34845735027223,27.212681638044923,True,-3.125,2.8927,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,13.729582577132483,1.270417422867519,历史2/3次成功; 当前距低点1.27%; 最新日涨幅-3.12%; 状态bottom_area; 底部已确认
10,76.31961050234929,67.3702047413793,605188,国光连锁,bottom_area,2023-12-08,8.77,2023-12-08,8.7,0.8045977011494285,5.40229885057472,27.680798004987533,False,-4.6739,3.078,1,1,1,100.0,19.218749999999993,19.218749999999993,14.19540229885057,0.8045977011494285,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
11,68.72482023902174,62.64073115643729,603178,圣龙股份,bottom_area,2023-12-08,39.85,2023-12-08,38.87,2.5212245948032006,6.071520452791355,30.552081472217264,False,-3.4408,11.1474,2,4,2,50.0,33.32861953004617,44.66270354096666,12.4787754051968,2.5212245948032006,历史2/4次成功; 当前距低点2.52%; 最新日涨幅-3.44%; 状态bottom_area; 底部未确认
12,62.307673992674,54.18058608058609,605218,伟时电子,bottom_area,2023-12-08,25.29,2023-12-08,25.29,0.0,4.468169236852521,27.701543739279582,False,-10.0,11.1555,1,2,1,50.0,42.36874236874236,42.36874236874236,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
13,60.272868104415465,55.121700270124265,603211,晋拓股份,bottom_area,2023-12-08,19.01,2023-12-07,18.51,2.7012425715829282,6.050783360345744,28.200155159038008,False,1.7121,28.0171,1,3,1,33.33333333333333,15.200000000000008,15.200000000000008,12.29875742841707,2.7012425715829282,历史1/3次成功; 当前距低点2.70%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
14,60.173686526991276,52.76583494994092,605086,龙高股份,bottom_area,2023-12-08,26.85,2023-11-30,26.73,0.4489337822671193,6.808829031051254,32.889781571679634,False,-2.5762,8.3913,1,2,1,50.0,17.79249448123621,17.79249448123621,14.551066217732881,0.4489337822671193,历史1/2次成功; 当前距低点0.45%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
