rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.084133858416,79.17185426502442,603151,邦基科技,bottom_area,2025-11-19,19.03,2025-11-19,18.82,1.1158342189160513,3.613177470775769,30.218761586948457,False,-2.4103,2.2054,1,1,1,100.0,36.42987249544626,36.42987249544626,18.88416578108395,1.1158342189160513,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
2,90.85780085016508,75.94573594767057,603809,豪能股份,bottom_area,2025-11-19,12.06,2025-11-19,12.04,0.16611295681064245,2.4086378737541607,29.176470588235297,False,-1.9512,1.4635,2,2,2,100.0,30.615448866660387,31.661442006269603,19.833887043189357,0.16611295681064245,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
3,90.10342025254454,75.71001135268568,002790,瑞尔特,bottom_area,2025-11-19,8.9,2025-11-19,8.86,0.45146726862303527,3.273137697516941,32.9803328290469,False,-1.8743,4.2928,1,1,1,100.0,49.512670565302145,49.512670565302145,19.548532731376966,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
4,88.53595965459164,74.00208786050263,688608,恒玄科技,bottom_area,2025-11-19,207.67,2025-11-19,207.33,0.16398977475520907,5.13191530410456,28.01041666666666,False,-2.8944,2.2817,1,1,1,100.0,36.80636853195971,36.80636853195971,19.83601022524479,0.16398977475520907,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
5,86.10967291954427,72.61922012525389,603173,福斯达,bottom_area,2025-11-19,38.65,2025-11-19,38.4,0.6510416666666667,3.072916666666666,30.041901985789764,False,-2.0527,4.7975,1,1,1,100.0,35.34190927555856,35.34190927555856,19.348958333333336,0.6510416666666667,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
6,78.25429731721547,69.30190207511357,002062,宏润建设,bottom_area,2025-11-19,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.5219,2.0627,2,3,2,66.66666666666666,26.875948363286994,33.22683706070288,16.673819742489265,3.326180257510735,历史2/3次成功; 当前距低点3.33%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
7,77.9870378294017,65.19484837818345,605333,沪光股份,bottom_area,2025-11-19,29.06,2025-11-19,29.01,0.1723543605653125,1.5511892450878981,27.256770310932797,False,-0.853,0.4315,3,5,3,60.0,26.224818926195436,29.01840490797546,19.82764563943469,0.1723543605653125,历史3/5次成功; 当前距低点0.17%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
8,70.70571428571428,58.92142857142857,000691,亚太实业,bottom_area,2025-11-19,9.03,2025-11-19,9.03,0.0,2.657807308970102,30.10835913312694,False,-4.9474,7.068,3,7,3,42.857142857142854,78.98005062798568,127.39965095986037,20.0,0.0,历史3/7次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
9,66.64741291714346,56.041067445012004,300611,美力科技,bottom_area,2025-11-19,26.63,2025-11-19,26.5,0.4905660377358453,2.45283018867924,29.011518885614784,False,-1.6617,3.885,1,2,1,50.0,35.911602209944746,35.911602209944746,19.509433962264154,0.4905660377358453,历史1/2次成功; 当前距低点0.49%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
10,65.25107001987072,55.54051565576146,002338,奥普光电,bottom_area,2025-11-19,50.71,2025-11-18,50.13,1.1569918212647083,2.533413125872723,28.742004264392314,False,-0.2165,1.4111,1,3,1,33.33333333333333,20.995288574793882,20.995288574793882,18.843008178735293,1.1569918212647083,历史1/3次成功; 当前距低点1.16%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
11,64.99982644422148,55.2833575427657,300563,神宇股份,bottom_area,2025-11-19,36.3,2025-11-19,35.9,1.1142061281337008,4.6518105849582225,30.29126213592233,False,-2.9152,3.9997,1,4,1,25.0,20.477137176938378,20.477137176938378,18.885793871866298,1.1142061281337008,历史1/4次成功; 当前距低点1.11%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
12,64.07753848851807,54.2327660174993,002123,梦网科技,bottom_area,2025-11-19,11.91,2025-11-13,11.81,0.8467400508044001,3.217612193056723,31.93083573487032,False,-1.6515,1.7868,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,19.1532599491956,0.8467400508044001,历史1/3次成功; 当前距低点0.85%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
13,63.66969901168014,53.99190476190476,600094,大名城,bottom_area,2025-11-19,4.24,2025-11-19,4.2,0.9523809523809532,2.3809523809523725,29.054054054054053,False,-0.9346,1.6753,1,3,1,33.33333333333333,87.28070175438596,87.28070175438596,19.047619047619047,0.9523809523809532,历史1/3次成功; 当前距低点0.95%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
14,63.613318064078754,55.84375249900042,002678,珠江钢琴,bottom_area,2025-11-19,5.06,2025-11-03,4.92,2.8455284552845463,7.113821138211375,29.613733905579405,True,-2.8791,1.6454,1,4,1,25.0,35.5191256830601,35.5191256830601,17.154471544715456,2.8455284552845463,历史1/4次成功; 当前距低点2.85%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
15,63.197139264192465,53.182512722646315,600292,电投水电,bottom_area,2025-11-19,13.17,2025-11-19,13.1,0.5343511450381702,2.7480916030534446,29.3800539083558,False,-1.7164,1.9246,1,3,1,33.33333333333333,40.524193548387096,40.524193548387096,19.46564885496183,0.5343511450381702,历史1/3次成功; 当前距低点0.53%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
16,61.47841191066997,55.96774193548386,002491,通鼎互联,bottom_area,2025-11-19,5.2,2025-10-13,4.96,4.8387096774193585,10.483870967741945,28.01161103047895,True,-3.525,2.3265,1,2,1,50.0,52.39520958083833,52.39520958083833,15.161290322580642,4.8387096774193585,历史1/2次成功; 当前距低点4.84%; 最新日涨幅-3.52%; 状态bottom_area; 底部已确认
17,59.538517504648375,49.918468313169924,001209,洪兴股份,bottom_area,2025-11-19,21.14,2025-11-19,21.07,0.3322259136212638,4.176554342667295,31.701782820097247,False,-1.537,5.3053,1,4,1,25.0,21.88679245283018,21.88679245283018,19.667774086378735,0.3322259136212638,历史1/4次成功; 当前距低点0.33%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
18,58.999935562687405,49.836325117425126,000661,长春高新,bottom_area,2025-11-19,102.32,2025-11-19,101.57,0.7384070099438811,1.3094417643004947,28.355787543203792,False,-0.2729,1.0803,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,19.26159299005612,0.7384070099438811,历史1/3次成功; 当前距低点0.74%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
