rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.21711322385482,78.10153846153848,600250,南京商旅,bottom_area,2025-06-24,10.68,2025-06-23,10.4,2.6923076923076863,5.673076923076922,28.52233676975945,False,-0.0935,7.1663,1,1,1,100.0,53.93258426966293,53.93258426966293,17.307692307692317,2.6923076923076863,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
2,88.97125116569946,78.54168342746934,002678,珠江钢琴,bottom_area,2025-06-24,4.91,2025-06-23,4.76,3.151260504201688,3.991596638655471,29.79351032448378,False,0.409,1.8623,1,1,1,100.0,35.5191256830601,35.5191256830601,16.848739495798313,3.151260504201688,历史1/1次成功; 当前距低点3.15%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
3,87.5878742948753,76.11127737502844,300483,首华燃气,bottom_area,2025-06-24,12.07,2025-06-24,11.8,2.288135593220335,9.999999999999996,28.915662650602414,False,-18.0027,23.9122,1,1,1,100.0,44.56035767511176,44.56035767511176,17.711864406779664,2.288135593220335,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-18.00%; 状态bottom_area; 底部未确认
4,85.55988028296753,77.69783783783784,301260,格力博,bottom_area,2025-06-24,19.37,2025-06-23,18.5,4.702702702702708,5.999999999999997,29.3353705118411,False,3.5275,4.7495,1,1,1,100.0,58.71313672922254,58.71313672922254,15.297297297297293,4.702702702702708,历史1/1次成功; 当前距低点4.70%; 最新日涨幅3.53%; 状态bottom_area; 底部未确认
5,85.1156466489035,77.44857142857146,000605,渤海股份,bottom_area,2025-06-24,6.97,2025-06-20,6.65,4.812030075187961,4.962406015037595,29.25531914893617,False,2.1994,1.6412,1,1,1,100.0,56.66666666666668,56.66666666666668,15.18796992481204,4.812030075187961,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
6,84.83105246646643,75.7162573017594,600770,综艺股份,bottom_area,2025-06-24,5.25,2025-06-23,5.06,3.7549407114624587,4.150197628458498,32.980132450331126,False,1.7442,1.8898,1,1,1,100.0,27.72861356932153,27.72861356932153,16.24505928853754,3.7549407114624587,历史1/1次成功; 当前距低点3.75%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
7,84.08474140367218,75.70701122725512,002127,南极电商,bottom_area,2025-06-24,3.94,2025-06-20,3.78,4.232804232804237,4.497354497354507,29.34579439252336,False,1.8088,1.6418,1,1,1,100.0,33.53658536585366,33.53658536585366,15.767195767195762,4.232804232804237,历史1/1次成功; 当前距低点4.23%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
8,82.10412293974466,73.77683644941466,603327,福蓉科技,bottom_area,2025-06-24,9.09,2025-06-23,8.73,4.123711340206179,4.352806414662074,28.148148148148145,False,1.1123,0.7269,1,1,1,100.0,21.82203389830509,21.82203389830509,15.876288659793822,4.123711340206179,历史1/1次成功; 当前距低点4.12%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
9,81.71116259141263,73.89641336858989,002615,哈尔斯,bottom_area,2025-06-24,8.17,2025-06-23,7.82,4.47570332480818,4.859335038363159,30.673758865248217,False,1.3648,10.719,1,1,1,100.0,26.779661016949152,26.779661016949152,15.52429667519182,4.47570332480818,历史1/1次成功; 当前距低点4.48%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
10,81.67577553196219,73.72435315030614,600706,曲江文旅,bottom_area,2025-06-24,9.55,2025-06-23,9.15,4.371584699453555,4.699453551912565,27.66798418972332,False,1.8124,4.6563,1,1,1,100.0,24.578313253012034,24.578313253012034,15.628415300546447,4.371584699453555,历史1/1次成功; 当前距低点4.37%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
11,81.28509928003031,73.67474137931033,603577,汇金通,bottom_area,2025-06-24,9.1,2025-06-23,8.7,4.597701149425292,4.827586206896551,32.34836702954899,False,1.4493,2.6649,1,1,1,100.0,27.083333333333325,27.083333333333325,15.402298850574708,4.597701149425292,历史1/1次成功; 当前距低点4.60%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
