rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,102.2071378290655,90.69908223380814,002246,北化股份,bottom_area,2025-01-13,9.3,2025-01-06,9.2,1.086956521739146,4.347826086956526,27.38752959747435,False,0.7584,2.047,4,4,4,100.0,25.577113458996685,31.992687385740403,13.913043478260853,1.086956521739146,历史4/4次成功; 当前距低点1.09%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
2,91.37780418805481,84.29784770295785,000628,高新发展,bottom_area,2025-01-13,49.18,2025-01-13,47.67,3.1676106565974367,3.524229074889867,27.143512150389736,False,0.1018,3.8461,2,2,2,100.0,60.6627015650631,99.77973568281939,11.832389343402564,3.1676106565974367,历史2/2次成功; 当前距低点3.17%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
3,90.87268431529013,84.84234122386421,002819,东方中科,bottom_area,2025-01-13,24.79,2025-01-06,23.88,3.810720268006701,6.616415410385268,28.072289156626518,False,1.3077,1.3987,4,4,4,100.0,27.47733029526597,51.677148846960186,11.189279731993299,3.810720268006701,历史4/4次成功; 当前距低点3.81%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
4,89.8733686574284,82.27621613324732,002537,海联金汇,bottom_area,2025-01-13,5.22,2025-01-13,5.08,2.7559055118110174,3.346456692913384,28.651685393258425,False,0.3846,1.0158,2,2,2,100.0,34.08430483965821,39.33649289099527,12.244094488188981,2.7559055118110174,历史2/2次成功; 当前距低点2.76%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
5,87.47834503364598,81.05830268895731,000735,罗牛山,bottom_area,2025-01-13,5.77,2025-01-13,5.58,3.4050179211469445,3.9426523297490994,27.058823529411768,False,0.1736,1.4175,2,2,2,100.0,35.493244888023355,44.303797468354425,11.594982078853056,3.4050179211469445,历史2/2次成功; 当前距低点3.41%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
6,86.6773350336221,79.92737107401756,600231,凌钢股份,bottom_area,2025-01-13,1.64,2025-01-13,1.59,3.1446540880503036,3.1446540880503036,29.955947136563875,False,0.6135,0.2197,2,2,2,100.0,26.221410724581972,29.302325581395344,11.855345911949696,3.1446540880503036,历史2/2次成功; 当前距低点3.14%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
7,85.46183031174796,78.94313212303503,001212,中旗新材,bottom_area,2025-01-13,19.77,2025-01-13,19.15,3.2375979112271596,3.6553524804177693,29.80205278592376,False,0.152,1.3143,3,4,3,75.0,42.90244817544601,82.06521739130437,11.76240208877284,3.2375979112271596,历史3/4次成功; 当前距低点3.24%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
8,84.66917199318618,76.85713610060716,600199,金种子酒,bottom_area,2025-01-13,11.56,2025-01-13,11.3,2.30088495575221,2.4778761061946843,27.93367346938775,False,0.5217,1.0474,3,4,3,75.0,20.20512795549562,23.70304114490161,12.699115044247788,2.30088495575221,历史3/4次成功; 当前距低点2.30%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
9,84.28761602915536,79.11697883002756,600996,贵广网络,bottom_area,2025-01-13,7.62,2025-01-13,7.32,4.098360655737703,4.781420765027318,27.810650887573967,False,-0.3922,0.8624,3,3,3,100.0,39.36151142531999,47.237076648841345,10.901639344262296,4.098360655737703,历史3/3次成功; 当前距低点4.10%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
10,83.86852036574312,76.21086441188135,300682,朗新科技,bottom_area,2025-01-13,10.42,2025-01-13,10.18,2.357563850687625,3.6345776031434283,29.256428075052128,False,-0.4776,1.1259,2,2,2,100.0,19.0651074809093,21.503593145384194,12.642436149312374,2.357563850687625,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
11,83.76251834805436,76.92424295029213,000818,航锦科技,bottom_area,2025-01-13,15.13,2025-01-13,14.7,2.9251700680272212,3.605442176870756,31.340495095749652,False,-0.6566,1.7813,1,1,1,100.0,46.52489626556016,46.52489626556016,12.074829931972777,2.9251700680272212,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
