rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.88007752856501,73.91398187156899,000767,晋控电力,bottom_area,2021-04-29,3.2,2021-04-27,3.15,1.5873015873015959,5.396825396825395,27.419354838709676,False,-0.3115,0.9055,1,1,1,100.0,13.941018766756033,13.941018766756033,8.412698412698404,1.5873015873015959,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
2,77.9805855855856,70.89144144144144,300437,清水源,bottom_area,2021-04-29,7.9,2021-04-29,7.9,0.0,4.3037974683544284,30.457746478873233,False,-1.3733,5.6348,1,1,1,100.0,30.330330330330323,30.330330330330323,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
3,77.19948013716206,70.27186878157003,002222,福晶科技,bottom_area,2021-04-29,14.82,2021-04-28,14.81,0.06752194463200396,4.321404456448338,30.273069679849336,False,-3.3898,4.133,1,1,1,100.0,25.783972125435533,25.783972125435533,9.932478055367996,0.06752194463200396,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
4,73.79332290226992,71.51130679796623,600257,大湖股份,bottom_area,2021-04-29,5.86,2021-04-27,5.67,3.350970017636691,8.465608465608474,32.014388489208635,True,-1.8425,14.1507,1,1,1,100.0,13.44902386117137,13.44902386117137,6.649029982363309,3.350970017636691,历史1/1次成功; 当前距低点3.35%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
5,73.51693170932535,70.90002106073183,600333,长春燃气,bottom_area,2021-04-29,4.66,2021-04-27,4.52,3.0973451327433756,5.530973451327434,32.030075187969935,False,-0.2141,1.3944,1,1,1,100.0,16.247139588100683,16.247139588100683,6.902654867256625,3.0973451327433756,历史1/1次成功; 当前距低点3.10%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
