rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.23031733443892,82.88307272527231,002636,金安国纪,bottom_area,2025-07-18,12.08,2025-07-16,11.92,1.342281879194632,5.956375838926182,28.192771084337352,False,-2.7375,7.7022,2,2,2,100.0,42.49180327868853,69.0,6.657718120805368,1.342281879194632,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
2,86.15964278337943,82.5542320409488,300649,杭州园林,confirmed_rebound,2025-07-18,17.75,2025-07-18,17.44,1.777522935779809,9.461009174311918,27.333333333333325,False,-4.0022,15.2717,4,4,4,100.0,33.1558297555202,71.60305343511452,6.222477064220191,1.777522935779809,历史4/4次成功; 当前距低点1.78%; 最新日涨幅-4.00%; 状态confirmed_rebound; 底部未确认
3,83.6763282627777,79.10512712998481,603022,新通联,bottom_area,2025-07-18,10.3,2025-07-15,10.19,1.0794896957801885,2.2571148184494643,32.202262142381905,False,-0.1938,2.455,2,2,2,100.0,18.958944281524914,26.099706744868023,6.920510304219812,1.0794896957801885,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
4,81.98482771207735,79.59692010881298,000637,茂化实华,bottom_area,2025-07-18,4.16,2025-07-07,4.06,2.4630541871921316,5.665024630541883,27.370304114490168,False,0.0,2.5833,2,2,2,100.0,16.089697073177668,22.627737226277358,5.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,81.82788935389539,79.89991818864941,002155,湖南黄金,bottom_area,2025-07-18,17.87,2025-06-30,17.39,2.760207015526167,7.073030477285798,29.28019520130134,True,0.4497,1.5357,1,1,1,100.0,28.834355828220854,28.834355828220854,5.239792984473833,2.760207015526167,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
6,81.17986734863238,76.26263477787953,002658,雪迪龙,bottom_area,2025-07-18,8.04,2025-07-17,7.98,0.7518796992481042,2.1303258145363397,30.36649214659686,False,-0.2481,4.5932,3,3,3,100.0,22.83290587185592,34.81481481481481,7.248120300751896,0.7518796992481042,历史3/3次成功; 当前距低点0.75%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
7,80.53987293569608,78.73066294571588,600241,时代万恒,bottom_area,2025-07-18,8.39,2025-07-15,8.16,2.8186274509803972,4.044117647058824,30.25641025641025,False,0.1193,2.2636,2,2,2,100.0,15.79104050511391,22.50673854447439,5.181372549019603,2.8186274509803972,历史2/2次成功; 当前距低点2.82%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
8,78.62919528234778,77.17873470659656,301348,蓝箭电子,bottom_area,2025-07-18,20.39,2025-07-15,19.79,3.031834259727142,3.4360788276907512,29.92209631728045,False,0.1473,3.5725,1,1,1,100.0,26.727509778357234,26.727509778357234,4.968165740272858,3.031834259727142,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
9,78.118470661246,77.4716958147279,002041,登海种业,bottom_area,2025-07-18,9.87,2025-06-23,9.53,3.567681007345224,4.931794333683113,29.719764011799416,False,0.3049,0.6576,2,2,2,100.0,18.2043468358871,21.395106715252467,4.432318992654776,3.567681007345224,历史2/2次成功; 当前距低点3.57%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
10,77.4573560848261,75.45637263807899,300698,万马科技,bottom_area,2025-07-18,43.17,2025-07-14,42.06,2.6390870185449344,7.489300998573463,27.093083723348926,True,-1.5956,5.6768,3,4,3,75.0,30.099414195491608,63.86182462356068,5.360912981455066,2.6390870185449344,历史3/4次成功; 当前距低点2.64%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
11,76.51480947125633,71.81611439444285,603928,兴业股份,bottom_area,2025-07-18,15.7,2025-07-18,15.59,0.7055805003207147,1.8601667735728091,30.058322117541497,False,-0.6329,3.3848,1,1,1,100.0,31.69267707082834,31.69267707082834,7.294419499679286,0.7055805003207147,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
