rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.84940421510444,77.59746518859,300637,扬帆新材,bottom_area,2023-12-05,10.54,2023-11-30,10.4,1.3461538461538345,8.17307692307692,27.221833449965004,True,-3.4799,7.2727,1,1,1,100.0,31.810193321616865,31.810193321616865,18.653846153846164,1.3461538461538345,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-3.48%; 状态bottom_area; 底部已确认
2,90.65395293039226,78.7978403948992,603273,天元智能,bottom_area,2023-12-05,24.87,2023-12-01,24.31,2.303578774167019,8.144796380090499,27.389486260454,True,-3.38,13.5336,1,1,1,100.0,201.34228187919464,201.34228187919464,17.69642122583298,2.303578774167019,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
3,88.13160205876744,73.48890619992115,688303,大全能源,bottom_area,2023-12-05,29.35,2023-12-05,29.34,0.03408316291752408,2.692569870483978,30.83451202263084,False,-2.4917,1.1542,1,1,1,100.0,32.45492371705965,32.45492371705965,19.965916837082474,0.03408316291752408,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
4,87.23374081177474,72.9774930867463,300538,同益股份,bottom_area,2023-12-05,18.93,2023-12-05,18.89,0.2117522498676503,3.5997882477501304,27.900763358778626,False,-3.0225,5.7552,2,2,2,100.0,25.431657077658826,30.150753768844226,19.788247750132353,0.2117522498676503,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
5,83.99740171601914,75.6099060636178,002103,广博股份,bottom_area,2023-12-05,7.41,2023-11-30,7.11,4.219409282700419,9.704641350210963,28.47082494969818,True,-3.1373,14.7301,2,2,2,100.0,39.6782754202944,51.366120218579226,15.780590717299582,4.219409282700419,历史2/2次成功; 当前距低点4.22%; 最新日涨幅-3.14%; 状态bottom_area; 底部已确认
6,83.778429089495,70.18053538405154,002142,宁波银行,bottom_area,2023-12-05,21.14,2023-12-05,21.08,0.28462998102467874,3.6527514231499207,27.510316368638243,False,-3.6902,0.8981,1,1,1,100.0,27.95425667090217,27.95425667090217,19.715370018975324,0.28462998102467874,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
7,83.74220197030536,73.71556573597182,000966,长源电力,bottom_area,2023-12-05,4.47,2023-10-24,4.34,2.9953917050691223,9.907834101382482,27.424749163879607,True,-1.5419,0.6662,1,1,1,100.0,20.94117647058823,20.94117647058823,17.00460829493088,2.9953917050691223,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
8,82.69171265283639,71.83219858156029,002137,实益达,bottom_area,2023-12-05,7.21,2023-11-30,7.05,2.269503546099293,5.6737588652482325,27.31958762886598,False,-2.3035,7.8596,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,17.730496453900706,2.269503546099293,历史2/3次成功; 当前距低点2.27%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
9,79.11073251461417,71.8941842125266,600004,白云机场,bottom_area,2023-12-05,10.6,2023-10-23,10.12,4.743083003952574,9.980237154150213,31.38983050847458,True,-1.9426,0.4271,1,1,1,100.0,32.57211538461537,32.57211538461537,15.256916996047426,4.743083003952574,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-1.94%; 状态bottom_area; 底部已确认
10,76.21488959356978,67.19971637557845,300511,雪榕生物,bottom_area,2023-12-05,5.68,2023-10-30,5.51,3.085299455535389,8.34845735027223,27.212681638044923,True,-1.5598,1.6186,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,16.914700544464612,3.085299455535389,历史2/3次成功; 当前距低点3.09%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
11,65.72454082852163,58.441591258039985,600328,中盐化工,bottom_area,2023-12-05,7.88,2023-10-26,7.61,3.547963206307484,8.147174770039422,28.207547169811313,True,-2.1118,0.8115,1,2,1,50.0,37.26315789473683,37.26315789473683,16.452036793692518,3.547963206307484,历史1/2次成功; 当前距低点3.55%; 最新日涨幅-2.11%; 状态bottom_area; 底部已确认
12,65.45025171624714,54.541876430205946,300337,银邦股份,bottom_area,2023-12-05,8.09,2023-12-05,8.09,0.0,7.169344870210137,32.52710592160133,False,-2.5301,9.927,1,2,1,50.0,34.09610983981694,34.09610983981694,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
