rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.9760941176471,79.12470588235297,600708,光明地产,bottom_area,2025-12-18,3.15,2025-12-17,3.06,2.9411764705882306,3.921568627450984,27.65957446808511,False,0.9615,0.6387,1,1,1,100.0,36.07843137254903,36.07843137254903,17.05882352941177,2.9411764705882306,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
2,89.50167112885173,78.10998241009413,003038,鑫铂股份,bottom_area,2025-12-18,15.03,2025-12-17,14.66,2.5238744884038145,3.7517053206002777,32.098193608151924,False,0.6024,1.6422,1,1,1,100.0,25.507614213197975,25.507614213197975,17.476125511596187,2.5238744884038145,历史1/1次成功; 当前距低点2.52%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
3,89.1362577677529,78.52847665847668,003016,欣贺股份,bottom_area,2025-12-18,9.15,2025-12-17,8.88,3.0405405405405355,5.1801801801801695,30.5707584050039,False,0.5495,4.2994,1,1,1,100.0,34.09090909090909,34.09090909090909,16.959459459459467,3.0405405405405355,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
4,87.61452185984399,74.32013594245723,600048,保利发展,bottom_area,2025-12-18,6.25,2025-12-17,6.19,0.969305331179315,1.93861066235863,27.60233918128655,False,-0.4777,0.7863,2,2,2,100.0,31.721247836269217,31.987577639751546,19.030694668820686,0.969305331179315,历史2/2次成功; 当前距低点0.97%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
5,86.8934168087661,77.54897795075132,301024,霍普股份,bottom_area,2025-12-18,34.59,2025-12-17,33.34,3.7492501499700057,5.068986202759441,27.913513513513504,False,0.8455,1.327,1,1,1,100.0,37.51219512195122,37.51219512195122,16.250749850029994,3.7492501499700057,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
6,86.40358916771469,74.65397648008648,603072,天和磁材,bottom_area,2025-12-18,40.27,2025-12-17,39.49,1.9751835907824793,3.7731071157254865,27.05947543405984,False,-0.0992,2.2492,1,1,1,100.0,22.674167027260935,22.674167027260935,18.02481640921752,1.9751835907824793,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
7,85.06705923700127,76.20700595007244,603030,全筑股份,bottom_area,2025-12-18,2.89,2025-12-17,2.78,3.956834532374112,10.071942446043176,30.845771144278604,True,1.049,3.9904,5,7,5,71.42857142857143,35.553088162210365,51.87969924812029,16.04316546762589,3.956834532374112,历史5/7次成功; 当前距低点3.96%; 最新日涨幅1.05%; 状态bottom_area; 底部已确认
8,84.66973118677925,73.65338031950637,000692,惠天热电,bottom_area,2025-12-18,3.49,2025-12-17,3.41,2.346041055718477,3.8123167155425186,28.511530398322844,False,0.2874,2.9971,3,5,3,60.0,36.0341608954005,59.042553191489375,17.653958944281523,2.346041055718477,历史3/5次成功; 当前距低点2.35%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
9,84.04208232270015,72.08163417430826,000668,荣丰控股,bottom_area,2025-12-18,9.04,2025-12-17,8.9,1.5730337078651548,7.303370786516858,28.685897435897434,True,-4.2373,2.2482,2,3,2,66.66666666666666,43.82518473964597,67.04545454545452,18.426966292134846,1.5730337078651548,历史2/3次成功; 当前距低点1.57%; 最新日涨幅-4.24%; 状态bottom_area; 底部已确认
10,83.66725402262986,70.96172594811094,002235,安妮股份,bottom_area,2025-12-18,10.5,2025-12-18,10.4,0.9615384615384581,5.288461538461528,27.475592747559276,False,-1.9608,22.3464,3,4,3,75.0,34.40340666891737,46.16438356164384,19.038461538461544,0.9615384615384581,历史3/4次成功; 当前距低点0.96%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
11,83.53793879343722,75.14393411323024,300358,楚天科技,bottom_area,2025-12-18,8.97,2025-12-17,8.61,4.1811846689895615,5.458768873403027,30.564516129032267,False,1.9318,2.8581,3,4,3,75.0,34.04319977702382,38.205499276411004,15.818815331010438,4.1811846689895615,历史3/4次成功; 当前距低点4.18%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
12,82.16856842866747,71.30809442657171,300768,迪普科技,bottom_area,2025-12-18,18.45,2025-12-17,18.05,2.216066481994452,3.379501385041548,29.43706020328381,False,-0.378,0.9372,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,17.783933518005547,2.216066481994452,历史2/3次成功; 当前距低点2.22%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
13,80.4129931663872,72.79708681701092,300878,维康药业,bottom_area,2025-12-18,21.22,2025-12-17,20.3,4.5320197044334884,5.172413793103452,28.771929824561397,False,1.677,1.5847,1,1,1,100.0,21.55963302752294,21.55963302752294,15.467980295566514,4.5320197044334884,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
14,79.83552706020478,72.64118164246638,605033,美邦股份,bottom_area,2025-12-18,18.74,2025-12-18,17.88,4.809843400447424,7.326621923937374,28.135048231511256,False,-1.056,4.4531,2,2,2,100.0,29.933465567131744,31.96664350243223,15.190156599552576,4.809843400447424,历史2/2次成功; 当前距低点4.81%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
15,79.50295484183562,71.16641574923997,300035,中科电气,bottom_area,2025-12-18,20.71,2025-12-16,19.93,3.913697942799805,6.6231811339688935,30.798611111111114,False,-1.1456,3.8484,1,1,1,100.0,27.686274509803933,27.686274509803933,16.086302057200196,3.913697942799805,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
16,79.16755008039483,66.31510952828923,603327,福蓉科技,bottom_area,2025-12-18,10.66,2025-12-18,10.63,0.2822201317027221,2.1636876763875694,28.8487282463186,False,-3.0909,4.2107,4,7,4,57.14285714285714,60.30969475756576,129.39632545931758,19.717779868297278,0.2822201317027221,历史4/7次成功; 当前距低点0.28%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
17,79.0383602782285,69.2528380968352,688337,普源精电,bottom_area,2025-12-18,36.73,2025-12-04,35.75,2.7412587412587324,6.545454545454556,28.499999999999996,False,0.0,0.6325,3,6,3,50.0,38.886602295188766,54.46153846153845,17.25874125874127,2.7412587412587324,历史3/6次成功; 当前距低点2.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,77.21079186326745,69.32074806793939,603178,圣龙股份,bottom_area,2025-12-18,18.38,2025-12-05,17.66,4.077010192525475,5.832389580973959,28.182187881252542,False,-0.863,1.2863,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,15.922989807474524,4.077010192525475,历史5/7次成功; 当前距低点4.08%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
19,75.30639905535017,64.77837973663844,603038,华立股份,bottom_area,2025-12-18,15.85,2025-12-17,15.58,1.7329910141206648,5.0064184852374805,29.661399548532724,False,-0.627,1.6703,2,4,2,50.0,24.944081982976137,28.753412192902637,18.267008985879336,1.7329910141206648,历史2/4次成功; 当前距低点1.73%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
20,75.16002326859658,64.56820003474684,300598,诚迈科技,bottom_area,2025-12-18,44.05,2025-12-17,43.33,1.6616662820216912,4.1310870066928205,32.296875,False,-0.833,2.1035,2,5,2,40.0,44.60644708471124,45.24950099800398,18.338333717978312,1.6616662820216912,历史2/5次成功; 当前距低点1.66%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
21,73.43530269401565,64.33011691524283,605228,神通科技,bottom_area,2025-12-18,14.3,2025-12-16,13.92,2.72988505747127,5.96264367816092,28.247422680412367,False,0.4919,1.5363,2,5,2,40.0,33.94760670041569,47.56554307116105,17.270114942528732,2.72988505747127,历史2/5次成功; 当前距低点2.73%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
22,73.19036224102912,66.06800244037589,600403,大有能源,bottom_area,2025-12-18,6.92,2025-12-17,6.63,4.374057315233786,7.993966817496233,27.934782608695645,True,0.5814,2.3134,2,4,2,50.0,32.585231823166296,37.18411552346569,15.625942684766214,4.374057315233786,历史2/4次成功; 当前距低点4.37%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
23,72.60646257573448,61.89776882763975,600161,天坛生物,bottom_area,2025-12-18,16.3,2025-12-17,16.1,1.242236024844716,1.5527950310559004,27.08333333333332,False,-0.0613,0.2611,1,2,1,50.0,36.77455357142857,36.77455357142857,18.757763975155285,1.242236024844716,历史1/2次成功; 当前距低点1.24%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
24,71.84074218328135,61.07905188131942,002017,东信和平,bottom_area,2025-12-18,20.33,2025-12-16,20.11,1.0939830929885572,10.691198408751875,30.342916522341532,False,-2.7273,3.4282,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,18.906016907011445,1.0939830929885572,历史1/3次成功; 当前距低点1.09%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
