rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,105.010330072873,90.12629482562606,300480,光力科技,bottom_area,2023-12-25,20.83,2023-12-25,20.5,1.6097560975609673,2.292682926829263,28.745220716023635,False,0.7741,1.2877,4,4,4,100.0,28.906122193898153,39.69465648854962,18.390243902439035,1.6097560975609673,历史4/4次成功; 当前距低点1.61%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
2,94.40213734736534,81.11788995679392,688182,灿勤科技,bottom_area,2023-12-25,17.0,2023-12-21,16.72,1.6746411483253658,5.263157894736858,28.055077452667813,False,-0.1175,2.1187,2,2,2,100.0,37.0756547041707,49.999999999999986,18.325358851674636,1.6746411483253658,历史2/2次成功; 当前距低点1.67%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
3,91.55591945080083,80.9852173913043,603013,亚普股份,bottom_area,2023-12-25,17.1,2023-12-21,16.56,3.260869565217408,4.166666666666675,27.208791208791215,False,1.2433,0.5335,1,1,1,100.0,53.30739299610896,53.30739299610896,16.73913043478259,3.260869565217408,历史1/1次成功; 当前距低点3.26%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
4,91.11468745691448,77.37642435682511,601628,中国人寿,bottom_area,2023-12-25,27.44,2023-12-21,27.16,1.0309278350515505,1.9882179675994076,29.16014606155452,False,-0.3269,0.0377,1,1,1,100.0,25.736235595390532,25.736235595390532,18.96907216494845,1.0309278350515505,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
5,88.04029175273597,74.37545266789492,002451,摩恩电气,bottom_area,2023-12-25,6.76,2023-12-25,6.71,0.7451564828613982,1.3412816691505194,28.99470899470899,False,0.1481,2.1232,1,1,1,100.0,23.464566929133863,23.464566929133863,19.254843517138603,0.7451564828613982,历史1/1次成功; 当前距低点0.75%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
6,88.03784035971249,74.68681344422545,002142,宁波银行,bottom_area,2023-12-25,19.68,2023-12-22,19.49,0.9748589020010329,2.5654181631605955,32.97799174690509,False,0.5107,0.2911,1,1,1,100.0,27.95425667090217,27.95425667090217,19.02514109799897,0.9748589020010329,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
7,87.80063756413514,73.71978236947496,301499,维科精密,bottom_area,2023-12-25,29.35,2023-12-25,29.23,0.4105371193978823,2.463222716387269,29.904076738609113,False,-0.744,3.8068,2,2,2,100.0,21.64412366506522,21.950454687989964,19.589462880602117,0.4105371193978823,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
8,85.0915674526121,73.7995238095238,603153,上海建科,bottom_area,2023-12-25,20.6,2023-12-25,20.16,2.182539682539689,4.117063492063484,32.75517011340894,False,-0.097,21.504,1,1,1,100.0,20.622119815668214,20.622119815668214,17.817460317460313,2.182539682539689,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,84.82579709763053,76.48227607163409,600199,金种子酒,bottom_area,2023-12-25,18.15,2023-12-21,17.4,4.310344827586207,5.000000000000006,27.1356783919598,False,0.6656,0.9006,2,2,2,100.0,21.988506873820672,23.70304114490161,15.689655172413794,4.310344827586207,历史2/2次成功; 当前距低点4.31%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
10,81.25913236591269,73.93902164061434,002129,TCL中环,bottom_area,2023-12-25,15.03,2023-12-21,14.34,4.811715481171545,6.136680613668067,27.502527805864514,False,0.6024,1.4796,1,1,1,100.0,31.12759643916912,31.12759643916912,15.188284518828457,4.811715481171545,历史1/1次成功; 当前距低点4.81%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
11,79.72303371187715,68.43009095586578,600152,维科技术,bottom_area,2023-12-25,6.92,2023-12-21,6.81,1.6152716593245278,3.377386196769463,27.78366914103924,False,-0.2882,1.1075,2,3,2,66.66666666666666,23.6894821099949,24.87644151565074,18.384728340675473,1.6152716593245278,历史2/3次成功; 当前距低点1.62%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
